Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total interception_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total accurate cross_Total,total big chances saved_Total,total goals_Total,total assists_Total,total direct corner goals_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total accurate cross_p90,total big chances saved_p90,total goals_p90,total assists_p90,total direct corner goals_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total accurate cross_TotalPR,total big chances saved_TotalPR,total goals_TotalPR,total assists_TotalPR,total direct corner goals_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total accurate cross_p90PR,total big chances saved_p90PR,total goals_p90PR,total assists_p90PR,total direct corner goals_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Salzburg,bonj6qc7po4anunhydmjmi6g5,24vsicnsc44o2mr9jk0qjvb2t,H. Tabaković,Haris Tabakovic,32,Attacker,Bosnia and Herzegovina,Striker,17.0,30.0,0.0,47.0,5.0,4.0,13.0,12.0,1.0,2.0,5.0,5.0,10.0,4.0,0.0,313.0,6.0,27.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,74.6,0.0,0.0,60.0,46.15,55.56,62.5,0.0,1.7727297931802102,0.2607309948390426,2.0,8.0,0.20954083,1.0,2.0,3.0,0.07521421,15.0,4.888178913738019,8.626198083067093,0.0,13.514376996805112,1.437699680511182,1.1501597444089458,3.7380191693290734,3.450479233226837,0.2875399361022364,0.5750798722044729,1.437699680511182,1.437699680511182,2.8753993610223643,1.1501597444089458,0.0,1.7252396166134183,7.763578274760383,0.0,0.8626198083067093,0.0,0.0,0.0,0.8626198083067093,0.0,0.0,0.0,74.6,0.0,0.0,60.0,46.15,55.56,62.5,0.0,0.5097306114575684,0.0749705735958908,0.5750798722044729,2.3003194888178915,0.0602513568690095,0.2875399361022364,0.5750798722044729,0.8626198083067093,0.0216270891373801,4.313099041533547,ST,58,46,17,54,46,48,73,88,25,58,23,23,21,71,19,79,87,6,54,12,27,52,83,37,52,52,69,17,27,81,69,92,83,12,88,42,42,73,50,35,40,35,31,38,69,50,17,58,50,65,81,88,31,69,27,23,27,69,19,88,100,6,58,12,27,52,92,37,52,52,69,17,27,81,69,92,83,12,88,46,54,69,69,38,42,38,31,42,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,2ep16uxfa2j2pqw2ky8rsgo44,K. Konaté,Karim Konaté,22,Attacker,Côte d'Ivoire,Striker,23.0,49.0,6.0,71.0,4.0,5.0,17.0,12.0,5.0,0.0,2.0,3.0,7.0,2.0,1.0,242.0,9.0,18.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,83.53,75.0,100.0,100.0,52.94,41.18,44.44,0.0,2.244262996036278,0.3911582350288698,5.0,12.0,0.3329937599999999,5.0,10.0,14.0,0.53245335,34.0,8.553719008264462,18.223140495867767,2.2314049586776856,26.404958677685947,1.487603305785124,1.8595041322314048,6.322314049586776,4.462809917355371,1.8595041322314048,0.0,0.743801652892562,1.1157024793388428,2.603305785123967,0.743801652892562,0.371900826446281,3.3471074380165287,6.694214876033057,0.371900826446281,0.743801652892562,0.0,0.371900826446281,0.0,1.487603305785124,0.0,0.0,0.0,83.53,75.0,100.0,100.0,52.94,41.18,44.44,0.0,0.8346432629886983,0.1454720708785053,1.8595041322314048,4.462809917355371,0.1238406545454545,1.8595041322314048,3.7190082644628095,5.206611570247934,0.1980198409090909,12.644628099173552,ST,85,71,96,73,35,69,94,88,94,6,8,15,12,48,50,98,44,12,35,12,65,52,94,37,52,52,96,87,96,100,77,62,58,12,100,62,90,88,85,90,94,96,85,85,96,92,100,96,54,81,100,100,96,6,12,15,19,65,62,100,77,12,46,12,73,52,100,37,52,52,96,87,96,100,77,62,58,12,100,81,92,100,96,96,100,100,100,100,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,52rchap28rfs3r9xacg42dzbo,V. Zabransky,Valentin Zabransky,19,Defender,Austria,Defender,181.0,168.0,13.0,349.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,15.0,4.0,393.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,95.62,68.42,0.0,0.0,0.0,70.0,72.73,16.67,0.1265931105579499,0.0750445607961261,0.0,6.0,0.12723731,1.0,30.0,25.0,0.5391644399999997,261.0,41.45038167938932,38.47328244274809,2.9770992366412217,79.92366412213741,1.8320610687022905,0.6870229007633588,0.2290076335877862,0.2290076335877862,0.0,0.0,0.0,0.0,3.206106870229008,3.435114503816794,0.9160305343511452,0.0,0.9160305343511452,0.0,0.0,0.2290076335877862,0.0,0.4580152671755725,0.0,0.0,0.0,0.0,95.62,68.42,0.0,0.0,0.0,70.0,72.73,16.67,0.0289907886773931,0.0171857772815555,0.0,1.3740458015267176,0.0291383152671755,0.2290076335877862,6.870229007633588,5.725190839694657,0.1234727725190839,59.77099236641222,CB,80,95,48,90,52,85,28,40,32,32,22,22,32,20,40,25,57,18,25,10,40,100,35,45,52,52,100,85,40,25,25,90,95,10,25,45,32,72,65,48,75,70,70,95,80,95,45,90,45,85,15,30,32,32,22,22,25,20,30,25,50,18,25,10,40,100,35,45,52,52,100,85,40,25,25,90,95,10,30,45,32,75,70,50,85,80,75,90,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,81sfrpdzz1nymxg1b5noo67ai,Y. Vertessen,Yorbe Vertessen,25,Attacker,Belgium,Striker,21.0,56.0,3.0,74.0,2.0,9.0,14.0,10.0,4.0,0.0,8.0,9.0,10.0,1.0,2.0,336.0,7.0,27.0,5.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,72.55,75.0,23.08,0.0,50.0,33.33,40.0,66.67,1.7693343880825587,0.9531233580515182,4.0,12.0,0.34996631,3.0,1.0,5.0,0.29198666,22.0,5.625,15.0,0.8035714285714286,19.82142857142857,0.5357142857142857,2.4107142857142856,3.75,2.6785714285714284,1.0714285714285714,0.0,2.142857142857143,2.4107142857142856,2.6785714285714284,0.2678571428571428,0.5357142857142857,1.875,7.232142857142857,1.3392857142857142,0.0,0.5357142857142857,0.8035714285714286,0.0,0.5357142857142857,0.2678571428571428,0.0,0.0,72.55,75.0,23.08,0.0,50.0,33.33,40.0,66.67,0.4739288539506853,0.2553008994780852,1.0714285714285714,3.2142857142857144,0.0937409758928571,0.8035714285714286,0.2678571428571428,1.3392857142857142,0.0782107125,5.892857142857142,ST,75,81,71,77,19,96,85,73,87,6,60,60,21,21,75,87,87,79,8,62,87,52,62,85,52,52,62,87,65,8,73,25,46,52,85,96,77,88,92,71,17,54,58,63,73,81,69,77,23,96,85,85,88,6,65,69,23,19,81,92,92,85,8,69,88,52,69,92,52,52,62,87,65,8,73,25,46,52,85,96,77,92,85,65,15,50,58,65,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,8s1ggifut0xesv052i43m742y,K. Boma,Kévin Boma,23,Defender,Togo,Defender,223.0,220.0,6.0,442.0,17.0,2.0,4.0,3.0,1.0,0.0,3.0,3.0,29.0,26.0,13.0,440.0,0.0,5.0,4.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,94.24,60.0,33.33,66.67,0.0,72.5,68.0,83.33,0.5199424968320138,0.254079231131965,1.0,11.0,0.22630117,6.0,43.0,43.0,0.8619819100000001,316.0,45.61363636363636,44.99999999999999,1.227272727272727,90.4090909090909,3.477272727272727,0.409090909090909,0.8181818181818181,0.6136363636363635,0.2045454545454545,0.0,0.6136363636363635,0.6136363636363635,5.931818181818182,5.3181818181818175,2.6590909090909087,0.0,1.0227272727272727,0.8181818181818181,0.409090909090909,1.0227272727272727,0.2045454545454545,0.0,0.0,0.2045454545454545,0.0,0.0,94.24,60.0,33.33,66.67,0.0,72.5,68.0,83.33,0.1063518743520028,0.0519707518224473,0.2045454545454545,2.25,0.0462888756818181,1.227272727272727,8.795454545454545,8.795454545454545,0.1763144815909091,64.63636363636363,CB,95,100,18,100,78,62,75,75,72,32,82,82,80,50,95,25,68,82,88,68,85,45,35,92,52,52,80,40,88,70,25,100,65,95,80,95,72,90,90,88,100,98,95,100,90,100,10,95,85,65,70,70,65,32,80,80,80,45,100,25,65,90,85,55,85,45,35,95,52,52,80,40,88,70,25,100,65,95,75,90,65,85,80,90,95,95,95,95,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,9kd9xpv9glq7whrmztrixu9sk,T. Drexler,Tim Drexler,21,Defender,Germany,Defender,166.0,83.0,14.0,249.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,7.0,2.0,237.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,94.68,60.87,0.0,0.0,0.0,63.64,66.67,100.0,0.1716988837339274,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.3146066500000001,172.0,63.03797468354431,31.51898734177216,5.316455696202532,94.55696202531644,0.759493670886076,0.0,0.379746835443038,0.379746835443038,0.0,0.379746835443038,0.0,0.0,2.6582278481012658,2.6582278481012658,0.759493670886076,0.0,0.379746835443038,0.0,0.0,1.89873417721519,0.0,0.379746835443038,0.0,0.0,0.0,0.0,94.68,60.87,0.0,0.0,0.0,63.64,66.67,100.0,0.065202107747061,0.0,0.0,0.0,0.0,0.0,3.79746835443038,3.79746835443038,0.1194708797468354,65.31645569620254,CB,65,55,55,65,15,18,28,40,32,78,22,22,10,15,10,25,15,18,25,68,40,92,35,45,52,52,85,50,40,25,25,50,60,100,40,20,32,12,12,20,48,35,45,75,100,85,80,100,20,18,35,45,32,95,22,22,15,15,15,25,15,18,25,95,40,95,35,45,52,52,85,50,40,25,25,50,60,100,50,20,32,12,12,20,55,50,70,100,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,ajo4x6z5r2r4g8daotcqdjl04,B. Mazurek,Bartosz Mazurek,19,Midfielder,Poland,Midfielder,117.0,151.0,12.0,267.0,1.0,3.0,10.0,1.0,9.0,3.0,16.0,16.0,39.0,3.0,3.0,393.0,3.0,8.0,17.0,9.0,9.0,1.0,0.0,1.0,2.0,0.0,0.0,89.6,66.67,25.0,56.25,30.0,63.93,25.0,75.0,1.0010772591689532,0.2639781810907047,5.0,21.0,0.48774628,14.0,24.0,24.0,0.67235312,128.0,26.793893129771,34.58015267175573,2.748091603053436,61.145038167938935,0.2290076335877862,0.6870229007633588,2.290076335877863,0.2290076335877862,2.0610687022900764,0.6870229007633588,3.664122137404581,3.664122137404581,8.931297709923665,0.6870229007633588,0.6870229007633588,0.6870229007633588,1.8320610687022905,3.893129770992367,2.0610687022900764,2.0610687022900764,0.2290076335877862,0.0,0.2290076335877862,0.4580152671755725,0.0,0.0,89.6,66.67,25.0,56.25,30.0,63.93,25.0,75.0,0.229254334160829,0.0604530185703903,1.1450381679389314,4.809160305343512,0.1116976213740458,3.206106870229008,5.496183206106871,5.496183206106871,0.1539739969465649,29.312977099236644,CM/AM,88,88,85,88,29,23,83,35,100,79,94,94,100,54,60,83,62,100,94,94,42,52,79,87,52,50,81,69,63,63,62,100,38,88,85,31,88,90,85,96,85,83,73,88,92,85,73,92,27,23,73,35,92,73,88,88,100,50,54,73,50,100,88,100,38,52,73,92,52,50,81,69,63,63,62,100,38,88,81,31,81,88,92,92,77,77,58,92,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,cg2dpmeot9vtf40lnvg5scxsk,S. Kitano,Sota Kitano,22,Attacker,Japan,Striker,56.0,80.0,5.0,136.0,0.0,8.0,8.0,5.0,3.0,2.0,7.0,7.0,11.0,1.0,2.0,344.0,3.0,18.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,80.95,62.5,0.0,42.86,37.5,33.33,0.0,50.0,0.9855594484701464,0.8180017314356374,3.0,3.0,0.08325087,1.0,10.0,10.0,0.59617282,45.0,14.651162790697674,20.930232558139533,1.3081395348837208,35.581395348837205,0.0,2.093023255813953,2.093023255813953,1.3081395348837208,0.7848837209302325,0.5232558139534883,1.8313953488372088,1.8313953488372088,2.877906976744186,0.2616279069767441,0.5232558139534883,0.7848837209302325,4.709302325581395,0.5232558139534883,0.7848837209302325,0.7848837209302325,0.0,0.0,0.2616279069767441,0.2616279069767441,0.0,0.0,80.95,62.5,0.0,42.86,37.5,33.33,0.0,50.0,0.2578498557043988,0.2140120808988586,0.7848837209302325,0.7848837209302325,0.021780750872093,0.2616279069767441,2.6162790697674416,2.6162790697674416,0.1559754470930232,11.773255813953488,ST,100,92,87,100,4,88,33,29,73,58,46,42,31,21,75,40,44,29,54,87,27,52,31,85,52,52,88,81,27,58,60,25,4,35,38,88,62,27,27,35,94,85,88,96,100,100,96,100,4,92,23,19,73,62,50,42,31,15,77,35,46,31,54,92,27,52,27,88,52,52,88,81,27,58,60,25,4,35,46,88,62,23,27,31,88,88,96,96,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,dphjm5otyeb004tqonfbbct90,D. Redzic,Damir Redzic,23,Attacker,Hungary,Striker,24.0,58.0,1.0,77.0,1.0,3.0,4.0,4.0,0.0,1.0,16.0,18.0,20.0,1.0,0.0,266.0,3.0,20.0,7.0,7.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,87.5,100.0,17.86,43.75,75.0,52.63,50.0,80.0,0.2751732748001262,0.3601810868482089,1.0,13.0,0.46880253,2.0,2.0,6.0,0.2086540299999999,20.0,8.120300751879698,19.62406015037594,0.3383458646616541,26.052631578947366,0.3383458646616541,1.0150375939849623,1.3533834586466165,1.3533834586466165,0.0,0.3383458646616541,5.413533834586466,6.090225563909774,6.7669172932330826,0.3383458646616541,0.0,1.0150375939849623,6.7669172932330826,2.3684210526315788,2.3684210526315788,1.3533834586466165,1.6917293233082706,0.0,0.0,0.0,0.0,0.0,87.5,100.0,17.86,43.75,75.0,52.63,50.0,80.0,0.0931037395940276,0.1218657812644315,0.3383458646616541,4.398496240601504,0.158617397368421,0.6766917293233082,0.6766917293233082,2.0300751879699246,0.0705972281954886,6.7669172932330826,RW,50,50,25,42,50,33,25,58,17,42,50,50,58,25,33,50,67,83,50,75,83,50,25,33,58,58,83,92,33,83,83,100,100,92,17,33,17,67,67,33,17,25,17,25,67,67,33,67,50,50,50,50,17,33,67,83,83,17,33,50,100,83,83,100,100,50,25,33,58,58,83,92,33,83,83,100,100,92,17,67,17,67,67,50,17,50,33,33,Austrian Bundesliga
Salzburg,bonj6qc7po4anunhydmjmi6g5,dtt29qocpooiymw666vz2iwdm,A. Barry,Abubakr Barry,26,Midfielder,Gambia,Midfielder,201.0,247.0,21.0,448.0,1.0,5.0,5.0,1.0,4.0,0.0,11.0,12.0,21.0,5.0,2.0,474.0,0.0,4.0,3.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,92.56,67.74,0.0,54.55,0.0,44.68,25.0,36.36,0.4036644935876249,0.3004221934757284,3.0,26.0,0.57358575,12.0,45.0,38.0,0.7154320299999998,249.0,38.16455696202532,46.89873417721519,3.987341772151898,85.0632911392405,0.189873417721519,0.949367088607595,0.949367088607595,0.189873417721519,0.759493670886076,0.0,2.088607594936709,2.278481012658228,3.987341772151898,0.949367088607595,0.379746835443038,0.0,0.759493670886076,0.569620253164557,1.139240506329114,0.759493670886076,0.0,0.0,0.0,0.379746835443038,0.0,0.0,92.56,67.74,0.0,54.55,0.0,44.68,25.0,36.36,0.0766451570103085,0.0570421886346319,0.569620253164557,4.936708860759493,0.1089086867088607,2.278481012658228,8.544303797468354,7.215189873417722,0.1358415246835442,47.27848101265823,CM/AM,100,100,98,100,29,54,37,35,60,10,83,87,73,67,44,10,31,27,83,69,17,52,33,87,52,50,96,77,17,54,10,42,38,25,38,46,52,96,96,92,96,100,77,100,96,100,92,100,19,35,19,31,38,10,69,65,50,62,38,10,23,15,73,42,17,52,33,85,52,50,96,77,17,54,10,42,38,25,31,23,27,92,88,81,96,96,50,100,Austrian Bundesliga
