Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total duels won_Total,total interception_Total,total mins played,total touches in opposition box_Total,total was fouled_Total,total won tackle_Total,total effective clearance_Total,total goals_Total,total ontarget attempt_Total,total big chances saved_Total,total contest_Total,total dribbles attempted_Total,total won contest_Total,total assists_Total,total direct setpiece goals_Total,total direct corner goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total duels won_p90,total interception_p90,total touches in opposition box_p90,total was fouled_p90,total won tackle_p90,total effective clearance_p90,total goals_p90,total ontarget attempt_p90,total big chances saved_p90,total contest_p90,total dribbles attempted_p90,total won contest_p90,total assists_p90,total direct setpiece goals_p90,total direct corner goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total duels won_TotalPR,total interception_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won tackle_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total big chances saved_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total won contest_TotalPR,total assists_TotalPR,total direct setpiece goals_TotalPR,total direct corner goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total duels won_p90PR,total interception_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won tackle_p90PR,total effective clearance_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total big chances saved_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total won contest_p90PR,total assists_p90PR,total direct setpiece goals_p90PR,total direct corner goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Horsens,a9vw7ikerpr4cuweeeka5aneg,14wqefw9b78oou3ocb1wrojys,J. Tauriainen,Jimi Tauriainen,22.0,Midfielder,Finland,Midfielder,31.0,5.0,37.0,6.0,63.0,2.0,6.0,5.0,0.0,5.0,1.0,16.0,3.0,295.0,3.0,6.0,4.0,2.0,0.0,2.0,0.0,6.0,6.0,2.0,3.0,0.0,0.0,75.9,50.0,35.71,33.33,40.0,37.21,20.0,66.67,0.2643882929025948,0.6489847572347478,2.0,5.0,0.12773753,0.0,9.0,9.0,0.4485210799999999,23.0,9.457627118644067,1.5254237288135597,11.28813559322034,1.8305084745762712,19.220338983050848,0.6101694915254238,1.8305084745762712,1.5254237288135597,0.0,1.5254237288135597,0.3050847457627119,4.88135593220339,0.9152542372881356,0.9152542372881356,1.8305084745762712,1.2203389830508475,0.6101694915254238,0.0,0.6101694915254238,0.0,1.8305084745762712,1.8305084745762712,0.6101694915254238,0.9152542372881356,0.0,0.0,75.9,50.0,35.71,33.33,40.0,37.21,20.0,66.67,0.0806608351228255,0.1979953496648383,0.6101694915254238,1.5254237288135597,0.0389707718644067,0.0,2.745762711864407,2.745762711864407,0.1368369396610169,7.016949152542373,DM/CM,3,90,10,29,7,21,66,60,21,84,53,21,16,36,50,26,9,34,74,45,69,66,62,100,52,52,14,52,86,41,69,3,21,76,45,86,57,38,48,7,17,21,52,3,10,97,17,55,10,41,97,83,21,100,69,59,28,59,86,48,14,34,86,45,90,90,76,100,52,52,14,52,86,41,69,3,21,76,72,97,79,69,76,7,41,41,79,3,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,2gsd0ocro9aqgqn4ql3rg8e8k,M. Kupijbida,Mikkel Kupijbida,18.0,Defender,Denmark,Defender,262.0,0.0,68.0,9.0,330.0,11.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,623.0,0.0,2.0,4.0,43.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,88.24,24.32,0.0,50.0,0.0,57.14,64.71,66.67,0.0005981850620907,0.0,0.0,5.0,0.09287556,0.0,14.0,10.0,0.41935227,238.0,37.84911717495987,0.0,9.823434991974317,1.3001605136436596,47.67255216693419,1.5890850722311396,0.0,0.0,0.0,0.0,0.0,2.889245585874799,0.4333868378812199,0.0,0.2889245585874799,0.5778491171749599,6.211878009630818,0.0,0.0,0.1444622792937399,0.2889245585874799,0.2889245585874799,0.1444622792937399,0.0,0.0,0.0,88.24,24.32,0.0,50.0,0.0,57.14,64.71,66.67,8.641517750908988e-05,0.0,0.0,0.7223113964686998,0.0134170150882825,0.0,2.02247191011236,1.4446227929373996,0.0605805847512038,34.38202247191011,CB,79,33,18,26,55,55,6,8,9,29,30,48,18,6,23,38,73,36,24,95,65,65,64,41,52,52,58,6,33,70,24,50,76,55,12,8,29,41,42,14,42,21,30,61,58,33,12,27,36,48,6,8,9,29,30,24,12,6,21,18,76,36,24,91,61,58,64,41,52,52,58,6,33,70,24,50,76,55,12,8,29,30,33,14,30,18,15,48,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,4braldrfw3y7g030lctguuuol,V. Pálsson,Victor Pálsson,35.0,Defender,Iceland,Defender,129.0,5.0,125.0,28.0,249.0,18.0,4.0,4.0,3.0,1.0,2.0,39.0,10.0,719.0,14.0,2.0,12.0,38.0,0.0,0.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,74.77,44.44,31.25,66.67,0.0,59.09,51.43,70.59,0.3688458050083062,0.221214557295966,0.0,3.0,0.06748893,6.0,31.0,34.0,1.4370694300000006,132.0,16.14742698191933,0.6258692628650904,15.64673157162726,3.5048678720445063,31.168289290681503,2.2531293463143256,0.5006954102920723,0.5006954102920723,0.3755215577190542,0.125173852573018,0.2503477051460361,4.881780250347705,1.2517385257301807,1.7524339360222532,0.2503477051460361,1.502086230876217,4.756606397774687,0.0,0.0,0.125173852573018,0.3755215577190542,0.3755215577190542,0.2503477051460361,0.0,0.0,0.0,74.77,44.44,31.25,66.67,0.0,59.09,51.43,70.59,0.0461698504182859,0.0276902783819707,0.0,0.3755215577190542,0.0084478493741307,0.7510431154381085,3.88038942976356,4.255910987482615,0.1798835169680112,16.522948539638385,RB/RCB,54,83,58,92,58,100,62,50,71,46,67,88,75,83,21,92,92,42,21,96,42,38,54,42,54,54,8,67,71,67,21,67,33,50,58,33,29,8,8,75,75,75,83,58,33,67,33,83,33,92,25,33,58,42,58,67,58,67,17,83,83,42,21,92,25,25,25,42,54,54,8,67,71,67,21,67,33,50,50,17,29,8,8,50,67,58,67,42,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,4lxxyqy78jkglhv2w6crzcnsa,O. Kolskogen,Ole Kolskogen,25.0,Defender,Norway,Defender,307.0,0.0,75.0,10.0,382.0,4.0,2.0,2.0,2.0,0.0,0.0,20.0,7.0,697.0,2.0,2.0,7.0,40.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.79,52.63,0.0,0.0,100.0,46.51,26.67,50.0,0.3087309167572603,0.068591681448649,0.0,3.0,0.05929272,0.0,11.0,12.0,0.3461510099999999,220.0,39.64131994261119,0.0,9.684361549497847,1.291248206599713,49.32568149210904,0.5164992826398852,0.2582496413199426,0.2582496413199426,0.2582496413199426,0.0,0.0,2.582496413199426,0.9038737446197992,0.2582496413199426,0.2582496413199426,0.9038737446197992,5.164992826398852,0.1291248206599713,0.2582496413199426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.79,52.63,0.0,0.0,100.0,46.51,26.67,50.0,0.0398648242584697,0.0088568885658226,0.0,0.3873744619799139,0.0076561618364418,0.0,1.4203730272596844,1.5494978479196555,0.0446966870875179,28.40746054519369,CB,88,33,27,33,68,24,48,30,39,29,30,48,61,15,23,74,64,83,82,45,20,18,23,41,52,52,97,64,33,23,98,12,8,27,48,24,29,21,21,14,30,26,15,58,64,33,9,24,45,9,39,24,27,29,30,9,30,15,15,55,45,76,76,45,20,18,23,41,52,52,97,64,33,23,98,12,8,27,36,21,29,21,18,14,18,24,9,39,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,51ymbnikkta369rn3exb1g7bo,A. Moro,Abdul Moro,20.0,Midfielder,Ghana,Midfielder,168.0,0.0,92.0,17.0,260.0,4.0,2.0,1.0,0.0,1.0,0.0,22.0,11.0,432.0,2.0,2.0,8.0,14.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,88.74,58.62,0.0,0.0,100.0,43.14,44.44,50.0,0.1522683867645442,0.1372491530503954,1.0,1.0,0.02385149,1.0,19.0,23.0,0.4114804599999999,139.0,35.0,0.0,19.166666666666668,3.541666666666667,54.16666666666667,0.8333333333333334,0.4166666666666667,0.2083333333333333,0.0,0.2083333333333333,0.0,4.583333333333334,2.291666666666667,0.4166666666666667,0.4166666666666667,1.6666666666666667,2.916666666666667,0.2083333333333333,0.2083333333333333,0.0,0.625,0.625,0.0,0.0,0.0,0.0,88.74,58.62,0.0,0.0,100.0,43.14,44.44,50.0,0.0317225805759467,0.0285935735521657,0.2083333333333333,0.2083333333333333,0.0049690604166666,0.2083333333333333,3.9583333333333335,4.791666666666667,0.0857250958333333,28.958333333333336,DM/CM,86,29,48,90,66,50,19,17,21,34,19,41,72,24,10,53,78,79,47,45,43,43,14,28,52,52,83,79,29,14,98,24,55,28,24,28,40,9,10,21,59,59,41,69,100,29,62,97,90,55,24,21,21,38,19,45,93,21,10,83,90,86,55,45,45,45,14,28,52,52,83,79,29,14,98,24,55,28,31,28,45,7,7,21,59,76,48,86,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,7353ysa16qgg30b9z5qiagys4,A. Saine,Alagie Saine,23.0,Defender,Gambia,Defender,182.0,1.0,113.0,13.0,294.0,9.0,7.0,6.0,6.0,0.0,0.0,48.0,8.0,720.0,16.0,9.0,13.0,49.0,0.0,2.0,1.0,17.0,17.0,10.0,1.0,0.0,0.0,81.67,35.14,12.5,58.82,33.33,51.06,36.0,65.0,0.7190904538910353,0.6593732453693764,0.0,8.0,0.17852169,4.0,18.0,23.0,1.0148073800000004,168.0,22.75,0.125,14.125,1.625,36.75,1.125,0.875,0.75,0.75,0.0,0.0,6.0,1.0,2.0,1.125,1.625,6.125,0.0,0.25,0.125,2.125,2.125,1.25,0.125,0.0,0.0,81.67,35.14,12.5,58.82,33.33,51.06,36.0,65.0,0.0898863067363794,0.082421655671172,0.0,1.0,0.02231521125,0.5,2.25,2.875,0.1268509225,21.0,LB/LCB,88,34,75,75,88,88,84,84,97,22,28,100,75,88,75,94,100,47,94,97,100,100,100,78,53,53,56,38,34,50,81,38,44,69,88,81,19,62,50,53,72,50,88,94,62,25,44,38,50,62,69,62,88,22,28,94,38,75,62,75,100,47,75,94,94,94,94,62,53,53,56,38,34,50,81,38,44,69,75,69,19,38,38,44,38,31,44,75,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,7hso2bszmf4qal560jhrg2904,Y. Ouorou,Yamirou Ouorou,20.0,Attacker,Benin,Striker,30.0,5.0,51.0,4.0,76.0,1.0,9.0,12.0,7.0,5.0,3.0,18.0,2.0,457.0,19.0,2.0,7.0,5.0,2.0,7.0,0.0,11.0,12.0,6.0,1.0,0.0,0.0,69.09,36.36,27.78,54.55,58.33,37.5,12.5,77.78,0.956912301596825,1.0803794035254344,5.0,7.0,0.30482024,2.0,5.0,14.0,0.9145729699999996,29.0,5.908096280087528,0.9846827133479212,10.043763676148798,0.7877461706783371,14.967177242888404,0.1969365426695842,1.7724288840262583,2.3632385120350112,1.3785557986870898,0.9846827133479212,0.5908096280087528,3.5448577680525166,0.3938730853391685,3.741794310722101,0.3938730853391685,1.3785557986870898,0.9846827133479212,0.3938730853391685,1.3785557986870898,0.0,2.166301969365427,2.3632385120350112,1.1816192560175056,0.1969365426695842,0.0,0.0,69.09,36.36,27.78,54.55,58.33,37.5,12.5,77.78,0.1884510003144732,0.2127661845017266,0.9846827133479212,1.3785557986870898,0.0600302442013129,0.3938730853391685,0.9846827133479212,2.7571115973741795,0.1801128387308533,5.711159737417943,ST,96,98,77,88,81,15,88,63,54,83,75,37,85,60,12,100,56,71,83,52,77,77,79,75,48,50,31,54,81,65,96,27,15,62,38,96,85,81,81,50,75,92,100,81,88,100,73,81,69,12,85,50,38,85,65,23,73,35,8,96,50,62,77,52,73,69,81,62,48,50,31,54,81,65,96,27,15,62,35,100,81,65,69,35,69,92,100,81,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,9dh7cnu4uzbraeck0t5iqlj4k,A. Herdonsson,Adam Herdonsson,22.0,Midfielder,Sweden,Midfielder,108.0,0.0,61.0,4.0,169.0,20.0,2.0,3.0,0.0,3.0,0.0,38.0,11.0,435.0,4.0,7.0,8.0,11.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,77.52,21.05,0.0,0.0,66.67,58.46,71.43,72.73,0.1765870504876484,0.0478805328194468,3.0,6.0,0.1363508199999999,3.0,13.0,13.0,0.25933014,77.0,22.344827586206897,0.0,12.620689655172416,0.8275862068965518,34.96551724137931,4.137931034482759,0.4137931034482759,0.6206896551724138,0.0,0.6206896551724138,0.0,7.862068965517242,2.2758620689655173,0.8275862068965518,1.4482758620689655,1.6551724137931036,2.2758620689655173,0.0,0.4137931034482759,0.0,0.4137931034482759,0.4137931034482759,0.0,0.0,0.0,0.0,77.52,21.05,0.0,0.0,66.67,58.46,71.43,72.73,0.0365352518250307,0.0099063171350579,0.6206896551724138,1.2413793103448276,0.0282105144827586,0.6206896551724138,2.689655172413793,2.689655172413793,0.0536545117241379,15.93103448275862,DM/CM,55,29,31,19,45,100,19,47,21,59,19,83,72,47,60,53,64,34,74,45,29,29,14,28,52,52,17,7,29,14,91,83,100,88,31,10,72,52,59,55,28,31,17,41,76,29,21,14,55,100,21,48,21,66,19,100,90,52,59,79,72,34,79,45,31,31,14,28,52,52,17,7,29,14,91,83,100,88,34,14,83,52,55,52,34,34,14,48,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,bcdrn5rkq3ig50nwr1vtbwfmc,K. Ehibhatiomhan,Kelvin Ehibhatiomhan,23.0,Attacker,England,Striker,15.0,0.0,33.0,1.0,48.0,15.0,1.0,16.0,12.0,4.0,2.0,37.0,1.0,525.0,23.0,14.0,3.0,8.0,4.0,11.0,0.0,13.0,14.0,4.0,0.0,0.0,0.0,66.67,100.0,0.0,30.77,68.75,44.05,46.88,75.0,1.6810652152574874,0.1011314436429228,7.0,5.0,0.15998931,3.0,1.0,6.0,0.13717453,10.0,2.571428571428572,0.0,5.6571428571428575,0.1714285714285714,8.22857142857143,2.571428571428572,0.1714285714285714,2.742857142857143,2.0571428571428574,0.6857142857142857,0.3428571428571428,6.342857142857143,0.1714285714285714,3.942857142857143,2.4,0.5142857142857143,1.3714285714285714,0.6857142857142857,1.885714285714286,0.0,2.2285714285714286,2.4,0.6857142857142857,0.0,0.0,0.0,66.67,100.0,0.0,30.77,68.75,44.05,46.88,75.0,0.288182608329855,0.0173368189102153,1.2,0.8571428571428572,0.0274267388571428,0.5142857142857143,0.1714285714285714,1.0285714285714287,0.0235156337142857,1.7142857142857144,ST,50,38,54,42,46,87,12,83,69,73,56,92,60,77,96,62,87,100,100,52,83,83,69,29,48,50,27,92,38,23,100,62,58,58,73,8,94,60,42,79,15,60,46,15,15,38,8,35,8,65,8,65,65,50,35,73,54,38,88,54,73,92,96,52,77,73,54,29,48,50,27,92,38,23,100,62,58,58,58,8,88,31,31,54,12,50,35,4,Danish Superliga
Horsens,a9vw7ikerpr4cuweeeka5aneg,dfxs5u8rdcxhzp33aks3acdn8,K. Lusavec,Karlo Lusavec,22.0,Midfielder,Croatia,Midfielder,184.0,0.0,125.0,16.0,309.0,3.0,1.0,1.0,0.0,1.0,1.0,19.0,13.0,562.0,0.0,5.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.79,76.19,0.0,0.0,0.0,41.3,42.86,72.73,0.0939121916851022,0.0512785903802559,0.0,7.0,0.13579086,1.0,17.0,17.0,0.4039388499999998,164.0,29.466192170818506,0.0,20.01779359430605,2.5622775800711746,49.48398576512456,0.4804270462633452,0.1601423487544484,0.1601423487544484,0.0,0.1601423487544484,0.1601423487544484,3.0427046263345194,2.0818505338078293,0.0,0.800711743772242,1.2811387900355873,1.7615658362989324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.79,76.19,0.0,0.0,0.0,41.3,42.86,72.73,0.0150393189531302,0.0082118739043114,0.0,1.1209964412811388,0.0217458672597864,0.1601423487544484,2.7224199288256226,2.7224199288256226,0.0646877161921707,26.26334519572954,DM/CM,90,29,67,81,79,33,10,17,21,34,53,34,86,7,43,53,64,34,17,45,5,5,14,28,52,52,100,100,29,14,17,21,47,88,17,14,16,59,55,21,52,43,38,79,90,29,66,76,83,24,10,17,21,34,45,10,79,7,34,59,55,34,17,45,5,5,14,28,52,52,100,100,29,14,17,21,47,88,17,10,16,45,41,14,38,38,28,79,Danish Superliga
