Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate pass_Total,total aerial won_Total,total duels won_Total,total mins played,total was fouled_Total,total accurate cross_Total,total accurate long balls_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total effective clearance_Total,total goals_Total,total interception_Total,total ontarget attempt_Total,total touches in opposition box_Total,total won tackle_Total,total won contest_Total,total direct setpiece goals_Total,total assists_Total,total big chances saved_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate pass_p90,total aerial won_p90,total duels won_p90,total was fouled_p90,total accurate cross_p90,total accurate long balls_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total effective clearance_p90,total goals_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total won tackle_p90,total won contest_p90,total direct setpiece goals_p90,total assists_p90,total big chances saved_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total duels won_TotalPR,total was fouled_TotalPR,total accurate cross_TotalPR,total accurate long balls_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total won tackle_TotalPR,total won contest_TotalPR,total direct setpiece goals_TotalPR,total assists_TotalPR,total big chances saved_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total duels won_p90PR,total was fouled_p90PR,total accurate cross_p90PR,total accurate long balls_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total effective clearance_p90PR,total goals_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total won tackle_p90PR,total won contest_p90PR,total direct setpiece goals_p90PR,total assists_p90PR,total big chances saved_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
AB,1uovb0izovmuzdhoq7eyk3ou3,1x74ueydb3hpmz8tkzblt68oa,Gabriel Noga,Gabriel Rodrigues Noga,24.0,Defender,Brazil,Defender,129.0,66.0,195.0,15.0,24.0,357.0,5.0,0.0,18.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,19.0,0.0,9.0,1.0,6.0,2.0,0.0,0.0,0.0,1.0,84.78,50.0,0.0,0.0,16.67,57.14,57.69,50.0,0.6940986366310918,0.0,0.0,0.0,0.0,0.0,10.0,18.0,0.3282720899999999,133.0,32.52100840336134,16.63865546218487,49.15966386554621,3.7815126050420167,6.050420168067227,1.2605042016806722,0.0,4.53781512605042,0.0,1.512605042016807,1.512605042016807,0.0,0.2521008403361344,0.0,0.0,4.7899159663865545,0.0,2.26890756302521,0.2521008403361344,1.512605042016807,0.5042016806722689,0.0,0.0,0.0,0.2521008403361344,84.78,50.0,0.0,0.0,16.67,57.14,57.69,50.0,0.1749828495708635,0.0,0.0,0.0,0.0,0.0,2.5210084033613445,4.53781512605042,0.0827576697478991,33.529411764705884,CB,38,21,32,57,44,71,37,65,13,68,81,28,63,16,16,40,37,62,44,46,19,25,51,38,84,56,74,37,25,28,35,43,26,74,13,25,10,10,16,31,40,21,41,59,41,53,82,82,91,37,82,13,91,100,28,76,16,16,50,37,88,56,62,24,25,51,38,97,56,74,37,25,28,35,43,26,94,13,25,10,10,16,29,47,29,68,Danish 2nd Tier
AB,1uovb0izovmuzdhoq7eyk3ou3,33sxiwcjeqcop3ukuok86ujmd,M. Dal Hende,Marc Dal Hende,35.0,Defender,Denmark,Defender,84.0,83.0,167.0,13.0,18.0,360.0,1.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,78.04,39.13,0.0,0.0,0.0,56.25,61.9,25.0,0.0,0.2654687160091377,0.0,1.0,0.06442595,0.0,28.0,31.0,0.7320640999999999,126.0,21.0,20.75,41.75,3.25,4.5,0.25,0.0,4.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.75,0.0,2.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,78.04,39.13,0.0,0.0,0.0,56.25,61.9,25.0,0.0,0.0663671790022844,0.0,0.25,0.0161064875,0.0,7.0,7.75,0.1830160249999999,31.5,CB,15,38,24,50,26,16,37,65,50,6,6,28,24,16,16,50,37,51,12,18,6,25,51,38,37,12,41,37,25,12,29,59,6,6,62,25,25,47,16,71,57,59,32,32,65,35,79,53,21,37,79,62,6,6,28,24,16,16,65,37,82,12,29,7,25,51,38,37,12,41,37,25,12,29,59,6,6,79,25,29,50,16,88,85,82,59,Danish 2nd Tier
AB,1uovb0izovmuzdhoq7eyk3ou3,4m23g10w898skztiwfiedqcd0,M. Vesterholm,Marco Vesterholm,27.0,Midfielder,Denmark,Midfielder,93.0,166.0,256.0,7.0,43.0,484.0,17.0,3.0,19.0,10.0,3.0,0.0,3.0,1.0,4.0,4.0,3.0,0.0,5.0,0.0,6.0,9.0,3.0,0.0,0.0,0.0,77.58,45.24,21.43,75.0,0.0,58.11,50.0,56.25,0.1589381023361624,0.7648574770156218,3.0,15.0,0.34651244,7.0,36.0,42.0,1.16033167,149.0,17.293388429752063,30.86776859504132,47.603305785123965,1.3016528925619837,7.995867768595041,3.161157024793388,0.5578512396694214,3.5330578512396693,1.8595041322314048,0.5578512396694214,0.0,0.5578512396694214,0.1859504132231405,0.743801652892562,0.743801652892562,0.5578512396694214,0.0,0.9297520661157024,0.0,1.1157024793388428,1.6735537190082643,0.5578512396694214,0.0,0.0,0.0,77.58,45.24,21.43,75.0,0.0,58.11,50.0,56.25,0.0295546058063111,0.1422255639078635,0.5578512396694214,2.789256198347107,0.0644341314049586,1.3016528925619837,6.694214876033057,7.8099173553719,0.2157641535123966,27.706611570247933,CM/AM,79,79,79,81,92,96,56,96,67,15,8,48,23,33,33,35,19,73,8,17,92,42,48,33,50,25,42,46,85,8,79,81,46,8,62,62,65,58,58,88,85,83,88,92,96,96,75,100,100,54,96,75,8,8,46,21,25,25,21,19,67,8,17,96,29,48,33,50,25,42,46,85,8,79,81,46,8,58,62,79,67,71,92,92,88,96,Danish 2nd Tier
AB,1uovb0izovmuzdhoq7eyk3ou3,4po6qfkmrc30lep6z6ka5db10,M. Rasmussen,Milan Rasmussen,23.0,Attacker,Denmark,Striker,29.0,89.0,116.0,3.0,24.0,679.0,4.0,2.0,1.0,4.0,23.0,14.0,9.0,2.0,26.0,27.0,1.0,4.0,0.0,12.0,25.0,3.0,13.0,0.0,0.0,0.0,69.46,20.0,33.33,50.0,52.17,41.38,30.0,75.0,2.368418141699453,0.3302683728139017,9.0,15.0,0.34083595,2.0,11.0,16.0,0.4857533400000001,49.0,3.8438880706921945,11.79675994108984,15.375552282768778,0.3976435935198822,3.1811487481590577,0.5301914580265096,0.2650957290132548,0.1325478645066274,0.5301914580265096,3.0486008836524303,1.855670103092784,1.1929307805596463,0.2650957290132548,3.4462444771723124,3.57879234167894,0.1325478645066274,0.5301914580265096,0.0,1.5905743740795288,3.313696612665685,0.3976435935198822,1.7231222385861562,0.0,0.0,0.0,69.46,20.0,33.33,50.0,52.17,41.38,30.0,75.0,0.3139287669410173,0.0437763675305613,1.1929307805596463,1.988217967599411,0.0451770773195876,0.2650957290132548,1.4580265095729013,2.1207658321060383,0.0643855678939617,6.494845360824742,ST,70,85,78,24,54,37,80,28,31,85,74,93,35,100,100,15,96,20,94,52,61,96,50,31,52,30,22,89,65,96,48,22,48,85,44,94,96,81,43,83,80,67,81,44,70,59,11,26,11,78,22,19,63,59,67,26,93,93,11,85,20,85,33,37,93,50,31,52,30,22,89,65,96,48,22,48,67,22,70,78,56,26,59,63,56,63,Danish 2nd Tier
AB,1uovb0izovmuzdhoq7eyk3ou3,4z0ebjgc0s506zay6ekwf5gmi,A. Liu,Aidan Liu,26.0,Defender,USA,Defender,222.0,76.0,298.0,43.0,57.0,572.0,5.0,0.0,29.0,0.0,7.0,7.0,0.0,1.0,0.0,0.0,42.0,0.0,8.0,0.0,13.0,9.0,0.0,0.0,0.0,1.0,83.01,51.79,0.0,0.0,0.0,73.08,76.79,100.0,1.0289215269993643,0.0,0.0,3.0,0.05249403,1.0,24.0,30.0,0.5405846299999998,179.0,34.93006993006993,11.958041958041958,46.88811188811189,6.765734265734266,8.968531468531468,0.7867132867132868,0.0,4.562937062937063,0.0,1.1013986013986017,1.1013986013986017,0.0,0.1573426573426573,0.0,0.0,6.608391608391609,0.0,1.2587412587412588,0.0,2.0454545454545454,1.4160839160839165,0.0,0.0,0.0,0.1573426573426573,83.01,51.79,0.0,0.0,0.0,73.08,76.79,100.0,0.1618932472551447,0.0,0.0,0.472027972027972,0.0082595501748251,0.1573426573426573,3.776223776223776,4.720279720279721,0.0850570222027971,28.164335664335667,CB,68,32,62,97,97,71,37,82,13,78,88,28,63,16,16,78,37,51,12,79,88,25,51,38,84,32,82,37,25,12,97,97,96,88,13,25,46,38,38,54,53,41,65,71,21,44,100,100,71,37,85,13,71,91,28,65,16,16,76,37,32,12,74,91,25,51,38,88,32,82,37,25,12,97,97,96,91,13,25,35,32,38,47,56,35,50,Danish 2nd Tier
AB,1uovb0izovmuzdhoq7eyk3ou3,5crdnyx54gw8u104sjprb7das,N. Engell,Noah Engell Christensen,22.0,Attacker,Denmark,Striker,20.0,85.0,101.0,7.0,20.0,332.0,6.0,4.0,7.0,8.0,5.0,2.0,3.0,0.0,11.0,12.0,2.0,1.0,0.0,2.0,9.0,3.0,4.0,1.0,0.0,0.0,70.63,70.0,33.33,36.36,40.0,43.48,43.75,100.0,0.514512126869117,0.765656117966165,1.0,10.0,0.28415425,8.0,10.0,19.0,0.5471748200000001,44.0,5.421686746987952,23.0421686746988,27.379518072289155,1.897590361445783,5.421686746987952,1.6265060240963851,1.0843373493975903,1.897590361445783,2.1686746987951806,1.355421686746988,0.5421686746987951,0.8132530120481927,0.0,2.9819277108433733,3.2530120481927707,0.5421686746987951,0.2710843373493976,0.0,0.5421686746987951,2.439759036144578,0.8132530120481927,1.0843373493975903,0.2710843373493976,0.0,0.0,70.63,70.0,33.33,36.36,40.0,43.48,43.75,100.0,0.1394761789705437,0.20755738137637,0.2710843373493976,2.710843373493976,0.077029766566265,2.1686746987951806,2.710843373493976,5.150602409638554,0.1483305234939759,11.927710843373491,ST,43,78,67,56,48,59,89,85,80,9,9,46,7,70,70,31,48,20,26,17,61,65,100,31,52,37,89,89,41,63,67,67,87,11,81,15,74,67,96,70,89,70,76,67,93,85,59,67,74,96,89,96,15,11,48,7,89,89,37,63,20,30,11,81,78,100,31,52,37,89,89,41,63,67,67,87,19,96,19,89,89,100,85,93,81,89,Danish 2nd Tier
AB,1uovb0izovmuzdhoq7eyk3ou3,6hms8o682fsh33l3hp4qo39ey,C. Grening,Casper Dirch Hagel Grening,25.0,Attacker,Denmark,Striker,13.0,44.0,57.0,3.0,5.0,320.0,1.0,0.0,7.0,2.0,3.0,3.0,0.0,1.0,7.0,9.0,2.0,1.0,2.0,2.0,15.0,0.0,1.0,0.0,0.0,0.0,64.04,46.67,0.0,14.29,66.67,17.86,30.0,0.0,0.2835211030974211,0.1986214942347018,0.0,10.0,0.27026621,6.0,4.0,10.0,0.19294599,21.0,3.65625,12.375,16.03125,0.84375,1.40625,0.28125,0.0,1.96875,0.5625,0.84375,0.84375,0.0,0.28125,1.96875,2.53125,0.5625,0.28125,0.5625,0.5625,4.21875,0.0,0.28125,0.0,0.0,0.0,64.04,46.67,0.0,14.29,66.67,17.86,30.0,0.0,0.0797403102461496,0.0558622952535098,0.0,2.8125,0.0760123715625,1.6875,1.125,2.8125,0.0542660596875,5.90625,LW,17,17,17,67,17,17,25,83,25,17,17,17,25,17,33,58,42,58,17,17,25,17,42,42,58,17,50,25,17,100,17,50,25,17,33,17,17,17,50,33,42,17,25,17,33,33,67,17,17,25,100,33,17,17,17,33,33,50,67,50,67,33,17,25,17,42,42,58,17,50,25,17,100,17,50,25,17,33,17,33,17,67,67,83,17,33,Danish 2nd Tier
AB,1uovb0izovmuzdhoq7eyk3ou3,7pdl6jqfaq1x1trdi5k30wsus,O. Mullings,O'Vonte Mullings,25.0,Attacker,Canada,Striker,25.0,100.0,124.0,3.0,37.0,720.0,15.0,1.0,3.0,13.0,7.0,7.0,0.0,3.0,16.0,19.0,8.0,0.0,5.0,3.0,30.0,5.0,9.0,0.0,3.0,0.0,82.12,50.0,11.11,56.25,42.86,51.39,33.33,50.0,0.7206026457792871,1.2158801465048374,1.0,23.0,0.7298655700000001,5.0,15.0,23.0,1.4274116600000002,56.0,3.125,12.5,15.5,0.375,4.625,1.875,0.125,0.375,1.625,0.875,0.875,0.0,0.375,2.0,2.375,1.0,0.0,0.625,0.375,3.75,0.625,1.125,0.0,0.375,0.0,82.12,50.0,11.11,56.25,42.86,51.39,33.33,50.0,0.0900753307224108,0.1519850183131046,0.125,2.875,0.09123319625,0.625,1.875,2.875,0.1784264575,7.0,RW,33,67,67,67,100,100,33,33,100,67,100,33,83,67,100,67,33,100,100,100,100,67,67,100,67,67,33,33,33,67,67,67,33,100,100,67,100,100,83,100,100,100,100,33,33,33,67,67,100,33,33,67,33,67,33,67,67,67,33,33,67,33,67,67,67,67,100,67,67,33,33,33,67,67,67,33,67,67,33,67,67,67,33,33,67,67,Danish 2nd Tier
AB,1uovb0izovmuzdhoq7eyk3ou3,7zr3gif60ntltgt3s5yi6qjca,T. Sousa,Travian Sousa,24.0,Defender,USA,Defender,55.0,76.0,122.0,5.0,12.0,369.0,3.0,9.0,6.0,7.0,1.0,1.0,0.0,0.0,3.0,4.0,13.0,0.0,3.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,73.94,25.0,26.47,33.33,0.0,50.0,45.45,100.0,0.1382376104674028,0.7651467978750071,0.0,3.0,0.06902893,4.0,12.0,22.0,0.8564097000000002,69.0,13.414634146341465,18.53658536585366,29.75609756097561,1.2195121951219514,2.926829268292684,0.7317073170731708,2.1951219512195124,1.4634146341463417,1.707317073170732,0.2439024390243902,0.2439024390243902,0.0,0.0,0.7317073170731708,0.9756097560975612,3.1707317073170733,0.0,0.7317073170731708,0.0,1.2195121951219514,0.7317073170731708,0.2439024390243902,0.0,0.0,0.2439024390243902,73.94,25.0,26.47,33.33,0.0,50.0,45.45,100.0,0.0337164903579031,0.1866211702134163,0.0,0.7317073170731708,0.0168363243902439,0.9756097560975612,2.926829268292684,5.365853658536586,0.2088804146341464,16.82926829268293,LB/LCB,27,27,27,50,9,27,64,36,55,32,50,27,23,45,50,45,45,41,27,32,18,41,55,27,91,18,45,36,64,27,36,45,100,64,64,23,27,27,41,27,36,36,36,55,45,45,64,18,36,100,64,73,36,64,27,23,55,55,82,45,64,27,45,27,45,55,27,100,18,45,36,64,27,36,45,100,64,73,23,36,36,55,55,73,82,64,Danish 2nd Tier
AB,1uovb0izovmuzdhoq7eyk3ou3,8gma3ufrjv0hj0k2nulcbodn8,S. Diop,Saliou Diop,21.0,Attacker,Senegal,Striker,9.0,33.0,42.0,3.0,25.0,242.0,3.0,0.0,2.0,3.0,9.0,5.0,4.0,2.0,22.0,23.0,1.0,0.0,0.0,2.0,19.0,4.0,14.0,0.0,0.0,0.0,72.41,66.67,0.0,63.64,22.22,45.45,18.75,80.0,0.7228024802489444,0.1822293805278288,5.0,7.0,0.23005666,3.0,3.0,6.0,0.2133804,14.0,3.3471074380165287,12.272727272727272,15.6198347107438,1.1157024793388428,9.297520661157025,1.1157024793388428,0.0,0.743801652892562,1.1157024793388428,3.3471074380165287,1.8595041322314048,1.487603305785124,0.743801652892562,8.181818181818182,8.553719008264462,0.371900826446281,0.0,0.0,0.743801652892562,7.066115702479339,1.487603305785124,5.206611570247934,0.0,0.0,0.0,72.41,66.67,0.0,63.64,22.22,45.45,18.75,80.0,0.2688108397620041,0.0677712572210933,1.8595041322314048,2.603305785123967,0.085558261983471,1.1157024793388428,1.1157024793388428,2.2314049586776856,0.079356347107438,5.206611570247934,ST,15,26,19,24,61,22,31,48,17,26,26,57,35,96,96,15,15,20,26,37,81,100,50,31,52,44,78,31,93,33,74,11,59,22,19,70,46,44,61,22,50,44,22,26,74,67,44,96,48,31,74,52,78,63,93,67,100,100,19,15,20,52,89,94,100,50,31,52,44,78,31,93,33,74,11,59,52,41,100,85,100,85,48,67,63,59,Danish 2nd Tier
