Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total attempt_Total,total attempts ibox_Total,total duels won_Total,total effective clearance_Total,total interception_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total att assist_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total goals_Total,total won contest_Total,total won tackle_Total,total accurate cross_Total,total assists_Total,total big chances saved_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total attempt_p90,total attempts ibox_p90,total duels won_p90,total effective clearance_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total att assist_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total goals_p90,total won contest_p90,total won tackle_p90,total accurate cross_p90,total assists_p90,total big chances saved_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total att assist_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total goals_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total accurate cross_TotalPR,total assists_TotalPR,total big chances saved_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total duels won_p90PR,total effective clearance_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total att assist_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total goals_p90PR,total won contest_p90PR,total won tackle_p90PR,total accurate cross_p90PR,total assists_p90PR,total big chances saved_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Monaco,4t4hod56fsj7utpjdor8so5q6,28x7i681wkjueanvkevew3bh1,A. Golovin,Aleksandr Golovin,30,Midfielder,Russia,Midfielder,25.0,61.0,5.0,83.0,0.0,4.0,2.0,12.0,2.0,1.0,348.0,2.0,13.0,2.0,7.0,2.0,2.0,6.0,6.0,0.0,5.0,2.0,3.0,2.0,0.0,81.37,71.43,25.0,83.33,50.0,44.44,0.0,40.0,0.2970880417888504,0.768303089547091,0.0,10.0,0.25858659,4.0,9.0,19.0,0.6308178900000001,36.0,6.465517241379311,15.775862068965518,1.293103448275862,21.46551724137931,0.0,1.0344827586206895,0.5172413793103449,3.103448275862069,0.5172413793103449,0.2586206896551724,0.5172413793103449,3.362068965517241,0.5172413793103449,1.8103448275862069,0.5172413793103449,0.5172413793103449,1.5517241379310345,1.5517241379310345,0.0,1.293103448275862,0.5172413793103449,0.7758620689655172,0.5172413793103449,0.0,81.37,71.43,25.0,83.33,50.0,44.44,0.0,40.0,0.0768331142557371,0.1986990748828683,0.0,2.586206896551724,0.0668758422413793,1.0344827586206895,2.327586206896552,4.913793103448276,0.1631425577586207,9.310344827586206,LM/LCM,50,50,75,50,50,62,75,50,50,38,75,100,50,75,38,62,75,75,50,75,25,75,100,62,25,75,25,100,100,50,50,25,75,75,25,50,50,62,75,75,75,75,25,25,75,25,50,75,75,50,50,25,75,100,50,75,25,50,75,75,50,75,25,75,100,62,25,75,25,100,100,50,50,25,75,75,25,50,50,50,75,75,75,75,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,2jc6sdkse1kxjztsgystidot1,D. Zakaria,Denis Zakaria,29,Midfielder,Switzerland,Midfielder,58.0,86.0,4.0,144.0,1.0,4.0,0.0,14.0,11.0,3.0,360.0,2.0,3.0,3.0,0.0,4.0,0.0,8.0,8.0,0.0,5.0,4.0,0.0,0.0,0.0,92.9,66.67,0.0,62.5,50.0,58.33,33.33,80.0,0.2241230629608218,0.0,3.0,5.0,0.11502819,5.0,13.0,12.0,0.18921153,68.0,14.5,21.5,1.0,36.0,0.25,1.0,0.0,3.5,2.75,0.75,0.5,0.75,0.75,0.0,1.0,0.0,2.0,2.0,0.0,1.25,1.0,0.0,0.0,0.0,92.9,66.67,0.0,62.5,50.0,58.33,33.33,80.0,0.0560307657402054,0.0,0.75,1.25,0.0287570475,1.25,3.25,3.0,0.0473028825,17.0,DM/CM,29,66,23,39,40,66,26,50,84,23,82,48,47,6,85,24,87,87,44,92,58,26,40,50,94,52,26,65,85,71,55,85,48,8,76,47,48,89,42,37,10,35,19,48,16,35,32,56,26,45,77,15,76,35,39,6,77,24,87,84,44,89,48,26,40,50,94,52,26,65,85,71,55,85,48,8,65,42,39,84,32,26,6,26,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,370bp4zp3mxe27rtx3gwhcems,S. Idumbo,Stanis Idumbo,21,Midfielder,Belgium,Midfielder,29.0,58.0,3.0,85.0,0.0,10.0,4.0,18.0,8.0,1.0,325.0,3.0,11.0,4.0,4.0,6.0,3.0,13.0,13.0,1.0,8.0,4.0,2.0,0.0,0.0,85.86,37.5,40.0,61.54,30.0,51.43,0.0,66.67,0.7326704096985863,0.3629816399063862,7.0,16.0,0.42929859,7.0,4.0,5.0,0.3512298599999999,29.0,8.03076923076923,16.06153846153846,0.8307692307692307,23.538461538461537,0.0,2.769230769230769,1.1076923076923078,4.984615384615385,2.2153846153846155,0.2769230769230769,0.8307692307692307,3.046153846153846,1.1076923076923078,1.1076923076923078,1.6615384615384614,0.8307692307692307,3.6,3.6,0.2769230769230769,2.2153846153846155,1.1076923076923078,0.5538461538461539,0.0,0.0,85.86,37.5,40.0,61.54,30.0,51.43,0.0,66.67,0.2028933442242239,0.1005179925894608,1.9384615384615385,4.430769230769231,0.1188826864615384,1.9384615384615385,1.1076923076923078,1.3846153846153846,0.0972636535384615,8.03076923076923,LM/LCM,75,25,38,75,50,100,100,100,75,38,100,75,100,38,100,100,100,100,100,100,75,38,50,62,75,25,50,75,75,75,50,75,100,50,100,100,75,100,50,25,25,38,75,50,25,50,50,100,100,100,75,50,100,75,100,50,100,100,100,100,100,100,75,50,50,62,75,25,50,75,75,75,50,75,100,50,100,100,75,100,50,25,25,25,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,4dkerrlcqxybg52pose3qxas,P. Brunner,Paris Brunner,20,Attacker,Germany,Striker,9.0,30.0,1.0,39.0,6.0,13.0,10.0,17.0,4.0,0.0,301.0,6.0,20.0,3.0,3.0,3.0,3.0,10.0,10.0,3.0,3.0,2.0,0.0,0.0,0.0,75.0,50.0,0.0,30.0,46.15,47.22,66.67,40.0,1.4046176599663385,0.2347141185794813,4.0,1.0,0.02385149,1.0,4.0,2.0,0.15960532,19.0,2.691029900332226,8.970099667774086,0.2990033222591362,11.661129568106311,1.7940199335548173,3.88704318936877,2.990033222591362,5.083056478405315,1.196013289036545,0.0,1.7940199335548173,5.980066445182724,0.8970099667774086,0.8970099667774086,0.8970099667774086,0.8970099667774086,2.990033222591362,2.990033222591362,0.8970099667774086,0.8970099667774086,0.5980066445182725,0.0,0.0,0.0,75.0,50.0,0.0,30.0,46.15,47.22,66.67,40.0,0.4199853468337889,0.0701803012363897,1.196013289036545,0.2990033222591362,0.0071316747508305,0.2990033222591362,1.196013289036545,0.5980066445182725,0.0477225209302325,5.681063122923588,ST,26,54,28,37,57,83,80,61,80,17,83,70,41,43,74,78,87,83,87,61,61,33,33,52,50,26,33,35,54,52,98,30,78,48,83,15,17,39,63,26,61,61,17,35,22,26,61,74,83,57,87,17,83,57,48,39,83,78,83,78,91,65,61,33,33,52,50,26,33,35,54,52,98,30,83,39,78,17,17,39,57,22,57,70,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,52bg33ueyjgfvlh0x4n4rks2c,M. Coulibaly,Mamadou Coulibaly,22,Midfielder,France,Midfielder,30.0,43.0,2.0,71.0,0.0,0.0,0.0,14.0,1.0,4.0,211.0,0.0,4.0,7.0,3.0,0.0,0.0,9.0,10.0,0.0,3.0,2.0,2.0,0.0,0.0,80.68,40.0,100.0,33.33,0.0,37.84,0.0,50.0,0.0,0.2647971900590639,0.0,10.0,0.29161924,6.0,5.0,9.0,0.2633078199999998,26.0,12.796208530805687,18.34123222748816,0.8530805687203791,30.28436018957346,0.0,0.0,0.0,5.971563981042654,0.4265402843601895,1.706161137440758,0.0,1.706161137440758,2.985781990521327,1.2796208530805686,0.0,0.0,3.838862559241706,4.265402843601896,0.0,1.2796208530805686,0.8530805687203791,0.8530805687203791,0.0,0.0,80.68,40.0,100.0,33.33,0.0,37.84,0.0,50.0,0.0,0.1129466687455722,0.0,4.265402843601896,0.1243873535545023,2.559241706161137,2.132701421800948,3.838862559241706,0.1123113924170615,11.090047393364928,DM/CM,3,13,8,10,16,6,26,50,10,40,27,65,94,53,10,24,90,92,44,79,26,71,40,50,10,18,98,34,27,16,21,29,6,65,11,84,94,94,10,21,32,6,6,26,10,16,16,6,26,90,13,71,27,90,100,68,10,24,100,100,44,94,39,81,40,50,10,18,98,34,27,16,21,29,6,71,11,97,97,97,13,45,58,10,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,7mg9ycwc9ay4fdedl0dpp5nca,Flávio Nazinho,Flávio Basilua Jacinto Nazinho,23,Defender,Portugal,Defender,72.0,92.0,4.0,162.0,2.0,1.0,1.0,16.0,13.0,7.0,350.0,1.0,3.0,3.0,4.0,0.0,0.0,3.0,3.0,1.0,1.0,5.0,2.0,1.0,0.0,84.38,36.36,14.29,33.33,100.0,61.54,0.0,50.0,0.1394521354400326,0.4937691055186952,0.0,7.0,0.15252704,2.0,20.0,18.0,0.4444681399999998,95.0,18.51428571428572,23.65714285714286,1.0285714285714287,41.65714285714286,0.5142857142857143,0.2571428571428572,0.2571428571428572,4.114285714285715,3.342857142857143,1.8,0.2571428571428572,0.7714285714285715,0.7714285714285715,1.0285714285714287,0.0,0.0,0.7714285714285715,0.7714285714285715,0.2571428571428572,0.2571428571428572,1.2857142857142858,0.5142857142857143,0.2571428571428572,0.0,84.38,36.36,14.29,33.33,100.0,61.54,0.0,50.0,0.0358591205417226,0.1269691985619502,0.0,1.8,0.0392212388571428,0.5142857142857143,5.142857142857143,4.628571428571429,0.1142918074285713,24.42857142857143,LB/LCB,59,94,41,88,32,38,59,59,62,91,76,47,53,76,29,38,38,35,94,32,71,56,94,50,65,35,32,38,91,59,15,32,65,82,26,71,65,32,100,82,71,88,53,94,41,59,35,29,59,41,53,82,76,47,53,82,29,38,35,35,94,29,65,59,94,50,65,35,32,38,91,59,15,32,53,88,26,65,59,24,100,82,65,65,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,8eq4c5cotvem9ae9uzb2yezo4,L. Camara,Lamine Camara,22,Midfielder,Senegal,Midfielder,110.0,101.0,21.0,209.0,2.0,2.0,1.0,41.0,2.0,6.0,360.0,1.0,1.0,10.0,3.0,1.0,0.0,10.0,10.0,0.0,5.0,15.0,2.0,1.0,0.0,92.89,77.78,28.57,50.0,50.0,65.08,33.33,62.5,0.1419719369177398,0.134417794098967,1.0,6.0,0.11767855,1.0,22.0,16.0,0.55751143,103.0,27.5,25.25,5.25,52.25,0.5,0.5,0.25,10.25,0.5,1.5,0.25,0.25,2.5,0.75,0.25,0.0,2.5,2.5,0.0,1.25,3.75,0.5,0.25,0.0,92.89,77.78,28.57,50.0,50.0,65.08,33.33,62.5,0.0354929842294349,0.0336044485247417,0.25,1.5,0.0294196375,0.25,5.5,4.0,0.1393778575,25.75,DM/CM,74,74,87,81,61,34,61,97,19,76,63,23,100,53,32,24,94,92,44,92,97,71,87,50,90,87,69,52,85,87,55,60,42,39,34,63,52,26,76,52,77,71,58,58,81,61,55,29,55,97,16,50,58,16,97,39,19,24,90,90,44,89,97,66,82,50,90,87,69,52,85,87,55,60,35,35,23,48,42,23,66,48,74,58,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,adb8skc3qbvgunhzd9651lij8,Vanderson,Vanderson de Oliveira Campos,25,Defender,Brazil,Defender,58.0,87.0,10.0,143.0,3.0,2.0,0.0,20.0,10.0,5.0,321.0,0.0,9.0,2.0,3.0,2.0,2.0,6.0,7.0,0.0,4.0,5.0,2.0,0.0,1.0,77.3,41.67,20.0,66.67,0.0,62.5,0.0,45.45,0.1346220954900729,0.386357636208394,1.0,11.0,0.26692862,5.0,12.0,16.0,0.6968934399999999,66.0,16.261682242990652,24.39252336448598,2.803738317757009,40.09345794392523,0.8411214953271028,0.5607476635514018,0.0,5.607476635514018,2.803738317757009,1.4018691588785046,0.0,2.5233644859813085,0.5607476635514018,0.8411214953271028,0.5607476635514018,0.5607476635514018,1.6822429906542056,1.9626168224299063,0.0,1.1214953271028036,1.4018691588785046,0.5607476635514018,0.0,0.2803738317757009,77.3,41.67,20.0,66.67,0.0,62.5,0.0,45.45,0.037744512754226,0.1083245708995497,0.2803738317757009,3.08411214953271,0.0748398,1.4018691588785046,3.364485981308411,4.485981308411215,0.1953906841121495,18.50467289719626,RB/RCB,44,75,75,62,62,41,19,81,62,66,25,81,47,53,72,84,69,78,34,88,81,53,50,100,25,44,53,88,25,75,25,56,31,62,50,88,81,81,69,69,75,75,38,81,75,69,62,38,19,81,50,62,25,75,44,50,75,88,69,69,34,88,75,56,50,100,25,44,53,88,25,75,25,56,25,56,44,81,88,81,62,62,69,62,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,az7wa6km1zhvsb8y4mndlogyd,E. Dier,Eric Dier,32,Defender,England,Defender,126.0,78.0,12.0,204.0,9.0,4.0,4.0,18.0,33.0,3.0,360.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,91.48,54.55,0.0,100.0,25.0,81.82,90.0,42.86,0.5470475947091225,0.141507968228175,0.0,0.0,0.0,0.0,10.0,9.0,0.2726338399999999,153.0,31.5,19.5,3.0,51.0,2.25,1.0,1.0,4.5,8.25,0.75,0.25,1.25,0.0,0.25,0.0,0.0,0.5,0.5,0.25,0.5,0.75,0.0,0.25,0.0,91.48,54.55,0.0,100.0,25.0,81.82,90.0,42.86,0.1367618986772806,0.0353769920570437,0.0,0.0,0.0,0.0,2.5,2.25,0.0681584599999999,38.25,CB,46,79,79,46,81,96,96,79,100,33,81,83,12,65,44,40,88,88,92,90,52,46,96,40,62,71,46,88,79,92,100,15,96,79,44,23,23,25,54,52,58,75,33,71,79,38,73,92,92,67,96,33,81,81,12,56,44,40,88,88,88,88,46,46,94,40,62,71,46,88,79,92,100,15,92,79,44,23,23,25,50,48,54,71,Ligue 1
Monaco,4t4hod56fsj7utpjdor8so5q6,bffc3dzdi9c6ix77k1yaepjpw,S. Sané,Sadibou Sané,22,Defender,Senegal,Defender,111.0,77.0,7.0,188.0,3.0,0.0,0.0,12.0,18.0,2.0,360.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,92.61,46.67,0.0,0.0,0.0,50.0,30.0,57.14,0.0007672799402073,0.0622285307930503,0.0,2.0,0.0409104899999999,2.0,18.0,17.0,0.2986596399999998,110.0,27.75,19.25,1.75,47.0,0.75,0.0,0.0,3.0,4.5,0.5,0.0,0.75,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,92.61,46.67,0.0,0.0,0.0,50.0,30.0,57.14,0.0001918199850518,0.0155571326982625,0.0,0.5,0.0102276224999999,0.5,4.5,4.25,0.0746649099999999,27.5,CB,29,75,44,38,8,23,27,29,48,21,40,56,62,65,44,40,33,29,44,33,77,46,46,40,83,50,46,33,40,21,8,48,42,58,44,62,67,85,88,85,62,58,21,67,29,29,4,23,27,21,40,21,40,52,54,56,44,40,33,29,44,33,71,46,46,40,83,50,46,33,40,21,8,48,42,58,44,60,62,81,77,79,58,54,Ligue 1
