Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total att assist_Total,total big chances saved_Total,total mins played,total aerial won_Total,total assists_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total goals_Total,total interception_Total,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total accurate cross_Total,total effective clearance_Total,total won tackle_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total att assist_p90,total big chances saved_p90,total aerial won_p90,total assists_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total goals_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total accurate cross_p90,total effective clearance_p90,total won tackle_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total att assist_TotalPR,total big chances saved_TotalPR,total aerial won_TotalPR,total assists_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total goals_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total accurate cross_TotalPR,total effective clearance_TotalPR,total won tackle_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total att assist_p90PR,total big chances saved_p90PR,total aerial won_p90PR,total assists_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total goals_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total accurate cross_p90PR,total effective clearance_p90PR,total won tackle_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Köln,8q1ul09cygzswb7tb456bmifv,3jruai7zu28e8f0ooj4t16l05,L. Lochoshvili,Luka Lochoshvili,28,Defender,Georgia,Defender,107.0,28.0,4.0,135.0,0.0,0.0,270.0,5.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,9.0,0.0,1.0,0.0,6.0,2.0,1.0,0.0,17.0,1.0,0.0,91.22,26.67,0.0,50.0,0.0,42.86,41.67,100.0,0.3942413379766833,0.0,0.0,1.0,0.01870347,0.0,1.0,4.0,0.11421689,73.0,35.666666666666664,9.333333333333334,1.3333333333333333,45.0,0.0,0.0,1.6666666666666667,0.0,1.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,3.0,0.0,0.3333333333333333,0.0,2.0,0.6666666666666666,0.3333333333333333,0.0,5.666666666666667,0.3333333333333333,0.0,91.22,26.67,0.0,50.0,0.0,42.86,41.67,100.0,0.1314137793255611,0.0,0.0,0.3333333333333333,0.00623449,0.0,0.3333333333333333,1.3333333333333333,0.0380722966666666,24.33333333333333,CB,70,22,35,48,20,50,33,44,67,72,37,30,72,72,24,41,15,31,80,54,70,43,52,24,50,81,15,43,61,31,19,33,94,70,22,39,31,30,26,13,28,22,37,67,22,31,46,20,50,33,44,65,69,37,30,70,70,22,41,9,31,72,50,65,43,52,19,50,81,15,43,61,31,19,33,94,70,22,39,28,30,26,13,28,22,33,Bundesliga
Köln,8q1ul09cygzswb7tb456bmifv,512mx8ixg85cbefyan94g82y1,G. Mensah,Gideon Mensah,28,Defender,Ghana,Defender,47.0,60.0,8.0,105.0,0.0,0.0,270.0,1.0,0.0,4.0,0.0,4.0,2.0,8.0,8.0,8.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,6.0,2.0,0.0,88.24,72.73,18.18,25.0,0.0,34.78,0.0,66.67,0.4977617514321093,0.0,3.0,4.0,0.0918188599999999,4.0,14.0,20.0,0.33119852,54.0,15.666666666666666,20.0,2.6666666666666665,35.0,0.0,0.0,0.3333333333333333,0.0,1.3333333333333333,0.0,1.3333333333333333,0.6666666666666666,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.0,1.3333333333333333,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,0.6666666666666666,0.0,88.24,72.73,18.18,25.0,0.0,34.78,0.0,66.67,0.1659205838107031,0.0,1.0,1.3333333333333333,0.0306062866666666,1.3333333333333333,4.666666666666667,6.666666666666667,0.1103995066666666,18.0,LB/LCB,46,69,100,46,19,46,15,38,96,23,100,88,100,100,31,50,65,23,15,62,96,73,23,38,54,77,100,73,50,23,23,12,54,92,23,100,54,54,81,81,100,46,62,38,69,92,38,19,46,12,38,96,23,100,81,100,100,23,50,58,23,15,58,92,73,23,31,54,77,100,73,50,23,23,12,54,92,23,100,50,46,81,81,100,46,62,Bundesliga
Köln,8q1ul09cygzswb7tb456bmifv,7dayrhr0c60zbc1b6lig8pm8l,A. Castro-Montes,Alessio Castro-Montes,29,Midfielder,Belgium,Midfielder,25.0,37.0,3.0,58.0,4.0,0.0,244.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,12.0,0.0,4.0,0.0,6.0,0.0,3.0,4.0,7.0,5.0,0.0,69.05,25.0,22.22,60.0,0.0,60.0,40.0,71.43,0.0,0.4736795273657448,0.0,10.0,0.2656249600000001,7.0,2.0,9.0,0.17128432,30.0,9.221311475409836,13.647540983606556,1.1065573770491803,21.39344262295082,1.4754098360655736,0.0,0.7377049180327868,0.0,0.0,0.0,0.0,0.0,1.8442622950819672,1.8442622950819672,4.426229508196721,0.0,1.4754098360655736,0.0,2.2131147540983607,0.0,1.1065573770491803,1.4754098360655736,2.581967213114754,1.8442622950819672,0.0,69.05,25.0,22.22,60.0,0.0,60.0,40.0,71.43,0.0,0.174717858454578,0.0,3.6885245901639343,0.0979764196721311,2.581967213114754,0.7377049180327868,3.319672131147541,0.0631786426229508,11.065573770491802,CM/AM,38,31,56,28,56,53,62,38,6,16,9,19,69,69,56,38,72,12,44,6,69,78,94,81,50,12,38,31,50,12,75,50,62,6,62,9,81,100,100,12,44,12,25,38,19,56,12,50,53,62,38,6,16,9,19,69,69,50,38,69,12,44,6,69,81,94,81,50,12,38,31,50,12,75,50,62,6,50,9,81,94,100,12,50,12,31,Bundesliga
Köln,8q1ul09cygzswb7tb456bmifv,bwhn9ve3o3jh21a4vuyjmzbbo,J. Simpson-Pusey,Jahmai Simpson-Pusey,20,Defender,England,Defender,88.0,43.0,4.0,131.0,0.0,0.0,270.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,18.0,0.0,5.0,0.0,0.0,4.0,3.0,0.0,21.0,3.0,0.0,86.18,28.57,0.0,75.0,0.0,66.67,53.85,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.33333333333333,14.333333333333334,1.3333333333333333,43.66666666666666,0.0,0.0,2.333333333333333,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,6.0,0.0,1.6666666666666667,0.0,0.0,1.3333333333333333,1.0,0.0,7.0,1.0,0.0,86.18,28.57,0.0,75.0,0.0,66.67,53.85,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,37,44,35,39,20,50,54,44,9,17,37,30,96,94,70,41,72,31,9,89,96,43,72,61,50,33,24,43,78,31,67,37,63,9,22,39,13,13,26,6,7,6,6,37,44,31,33,20,50,54,44,9,17,37,30,96,94,70,41,67,31,9,89,94,43,72,54,50,33,24,43,78,31,67,37,63,9,22,39,13,13,26,6,7,6,6,Bundesliga
Köln,8q1ul09cygzswb7tb456bmifv,dgysidzshgxqm3jegaihwi5wq,T. Krauß,Tom Krauß,25,Midfielder,Germany,Midfielder,53.0,47.0,1.0,99.0,2.0,0.0,267.0,2.0,0.0,5.0,5.0,0.0,1.0,3.0,3.0,9.0,0.0,6.0,2.0,8.0,3.0,0.0,1.0,7.0,2.0,0.0,87.61,14.29,25.0,0.0,40.0,34.62,40.0,50.0,0.5344558570863236,0.1881995644261051,0.0,4.0,0.09804756,0.0,6.0,4.0,0.20840574,51.0,17.865168539325843,15.842696629213483,0.3370786516853932,33.37078651685393,0.6741573033707865,0.0,0.6741573033707865,0.0,1.6853932584269662,1.6853932584269662,0.0,0.3370786516853932,1.0112359550561798,1.0112359550561798,3.033707865168539,0.0,2.02247191011236,0.6741573033707865,2.696629213483146,1.0112359550561798,0.0,0.3370786516853932,2.359550561797753,0.6741573033707865,0.0,87.61,14.29,25.0,0.0,40.0,34.62,40.0,50.0,0.1801536596920191,0.0634380554245298,0.0,1.348314606741573,0.0330497393258426,0.0,2.02247191011236,1.348314606741573,0.0702491258426966,17.191011235955056,DM/CM,44,33,14,33,47,50,50,44,75,94,17,61,78,78,39,36,78,81,89,67,31,75,67,42,53,44,11,72,31,78,11,47,36,72,67,25,56,61,6,19,22,33,39,39,33,17,33,56,50,50,44,72,94,17,61,78,78,39,36,78,83,89,78,31,78,67,39,53,44,11,72,31,78,11,47,36,72,61,25,50,50,6,22,22,39,39,Bundesliga
Köln,8q1ul09cygzswb7tb456bmifv,ej8pxizgwjx9qjacvc136yusq,Í. Jóhannesson,Ísak Jóhannesson,23,Midfielder,Iceland,Midfielder,28.0,32.0,3.0,58.0,4.0,0.0,205.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,5.0,2.0,0.0,2.0,3.0,4.0,0.0,86.57,75.0,11.76,0.0,33.33,63.64,0.0,80.0,0.1982873930483829,0.4666761014538187,1.0,3.0,0.06854148,1.0,6.0,10.0,0.26015061,32.0,12.292682926829269,14.048780487804878,1.3170731707317074,25.463414634146343,1.7560975609756098,0.0,0.0,0.0,1.3170731707317074,0.8780487804878049,0.4390243902439024,0.4390243902439024,0.0,0.0,3.073170731707317,0.0,0.4390243902439024,0.4390243902439024,2.1951219512195124,0.8780487804878049,0.0,0.8780487804878049,1.3170731707317074,1.7560975609756098,0.0,86.57,75.0,11.76,0.0,33.33,63.64,0.0,80.0,0.0870530018261193,0.2048821908821643,0.4390243902439024,1.3170731707317074,0.0300913814634146,0.4390243902439024,2.6341463414634148,4.390243902439025,0.1142124629268292,14.048780487804878,CM/AM,44,12,56,28,56,53,16,38,25,44,38,56,9,9,16,38,28,38,31,28,9,53,56,66,50,75,72,12,9,47,81,16,69,25,56,41,16,12,25,34,66,44,34,56,25,62,44,69,53,16,38,31,50,47,69,9,9,19,38,38,47,38,31,9,62,62,75,50,75,72,12,9,47,81,16,69,31,69,53,19,19,34,56,75,44,69,Bundesliga
Union Berlin,a8d2gb2nag8fy0itbuxmcibh2,1vv29mash2uijx542ssjk666t,R. Khedira,Rani Khedira,32,Midfielder,Tunisia,Midfielder,29.0,33.0,3.0,60.0,1.0,0.0,270.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,0.0,4.0,2.0,0.0,2.0,7.0,5.0,0.0,66.67,25.0,100.0,0.0,0.0,62.5,66.67,71.43,0.0,0.1218706840640553,0.0,1.0,0.02401521,1.0,6.0,7.0,0.21650378,31.0,9.666666666666666,11.0,1.0,20.0,0.3333333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.6666666666666666,0.0,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,2.333333333333333,1.6666666666666667,0.0,66.67,25.0,100.0,0.0,0.0,62.5,66.67,71.43,0.0,0.040623561354685,0.0,0.3333333333333333,0.00800507,0.3333333333333333,2.0,2.333333333333333,0.0721679266666666,10.333333333333334,DM/CM,6,11,42,6,19,50,83,44,8,19,17,25,17,14,89,36,19,22,53,36,31,89,67,89,53,6,19,97,31,22,89,86,78,8,39,25,6,6,31,19,42,50,6,6,11,39,6,17,50,83,44,8,19,17,25,17,14,83,36,11,22,50,31,31,86,61,83,53,6,19,97,31,22,89,86,78,8,39,25,6,6,25,17,42,50,6,Bundesliga
Union Berlin,a8d2gb2nag8fy0itbuxmcibh2,1y77693pn6jwr0t3kel8z2g2x,E. Latte Lath,Emmanuel Latte Lath,27,Attacker,Côte d'Ivoire,Striker,1.0,11.0,0.0,11.0,0.0,0.0,200.0,5.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,9.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,42.31,0.0,100.0,50.0,50.0,37.5,35.71,50.0,0.5854670406040232,0.0,0.0,1.0,0.04066992,0.0,1.0,2.0,0.09577399,6.0,0.4499999999999999,4.95,0.0,4.95,0.0,0.0,2.25,0.0,1.7999999999999998,1.7999999999999998,0.0,0.0,0.8999999999999999,0.8999999999999999,4.05,0.4499999999999999,0.4499999999999999,0.8999999999999999,2.7,0.4499999999999999,0.4499999999999999,0.4499999999999999,0.0,0.4499999999999999,0.0,42.31,0.0,100.0,50.0,50.0,37.5,35.71,50.0,0.2634601682718104,0.0,0.0,0.4499999999999999,0.018301464,0.0,0.4499999999999999,0.8999999999999999,0.0430982955,2.7,ST,6,14,17,6,6,53,64,33,14,28,14,11,25,22,39,44,67,36,17,19,31,83,14,64,53,6,17,100,58,72,39,47,64,33,6,11,19,28,14,8,25,22,6,6,17,17,6,6,53,72,33,22,33,14,11,28,28,39,56,83,56,17,28,39,89,14,72,53,6,17,100,58,72,39,47,64,44,6,11,28,28,14,11,33,28,11,Bundesliga
Union Berlin,a8d2gb2nag8fy0itbuxmcibh2,4rtps64cca8vrscv80bgyvjf8,T. Rothe,Tom Rothe,21,Defender,Germany,Defender,32.0,51.0,0.0,82.0,3.0,1.0,270.0,9.0,1.0,4.0,4.0,0.0,1.0,5.0,5.0,18.0,0.0,3.0,2.0,8.0,2.0,0.0,1.0,8.0,6.0,0.0,69.49,0.0,14.29,0.0,50.0,48.65,60.0,85.71,0.4313980613784917,0.3848203101048255,0.0,2.0,0.0359572499999999,2.0,10.0,10.0,0.58677563,49.0,10.666666666666666,17.0,0.0,27.33333333333333,1.0,0.3333333333333333,3.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.0,0.3333333333333333,1.6666666666666667,1.6666666666666667,6.0,0.0,1.0,0.6666666666666666,2.6666666666666665,0.6666666666666666,0.0,0.3333333333333333,2.6666666666666665,2.0,0.0,69.49,0.0,14.29,0.0,50.0,48.65,60.0,85.71,0.1437993537928305,0.1282734367016084,0.0,0.6666666666666666,0.0119857499999999,0.6666666666666666,3.333333333333333,3.333333333333333,0.1955918766666666,16.333333333333332,LB/LCB,23,54,15,31,69,96,92,85,96,100,23,65,92,88,73,50,38,92,85,62,23,54,38,73,54,15,15,54,23,73,38,65,92,85,77,23,27,23,42,58,54,85,46,23,54,15,31,65,92,92,81,96,100,23,65,92,85,73,50,38,92,85,58,23,54,38,69,54,15,15,54,23,73,38,65,92,85,77,23,27,23,38,54,54,85,46,Bundesliga
Union Berlin,a8d2gb2nag8fy0itbuxmcibh2,9kxuwgequrilkom3ru6sdxall,J. Juranović,Josip Juranovic,31,Defender,Croatia,Defender,28.0,57.0,9.0,77.0,9.0,0.0,254.0,1.0,2.0,4.0,0.0,4.0,2.0,0.0,0.0,7.0,0.0,4.0,2.0,0.0,0.0,0.0,8.0,5.0,6.0,0.0,66.96,36.0,26.67,0.0,50.0,63.64,33.33,100.0,0.2581784873621894,0.9917208611049774,3.0,2.0,0.04565085,2.0,8.0,11.0,0.29637055,37.0,9.921259842519683,20.196850393700785,3.188976377952756,27.283464566929133,3.188976377952756,0.0,0.3543307086614173,0.7086614173228346,1.4173228346456692,0.0,1.4173228346456692,0.7086614173228346,0.0,0.0,2.4803149606299213,0.0,1.4173228346456692,0.7086614173228346,0.0,0.0,0.0,2.8346456692913384,1.7716535433070866,2.125984251968504,0.0,66.96,36.0,26.67,0.0,50.0,63.64,33.33,100.0,0.0914805663881773,0.3513971555096376,1.062992125984252,0.7086614173228346,0.016175498031496,0.7086614173228346,2.8346456692913384,3.8976377952755903,0.105013187007874,13.11023622047244,RB/RCB,38,92,100,54,100,54,23,96,81,27,100,96,15,15,8,50,73,92,19,8,15,100,27,69,54,8,62,62,15,88,92,19,81,69,100,100,35,38,62,77,85,54,69,23,85,100,46,100,54,15,92,77,27,100,92,15,15,8,50,69,92,19,8,15,100,23,69,54,8,62,62,15,88,92,19,81,69,100,100,31,38,54,77,85,46,69,Bundesliga
