Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total big chances saved_Total,total effective clearance_Total,total mins played,total accurate cross_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total aerial won_Total,total interception_Total,total assists_Total,total goals_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total big chances saved_p90,total effective clearance_p90,total accurate cross_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total aerial won_p90,total interception_p90,total assists_p90,total goals_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total big chances saved_TotalPR,total effective clearance_TotalPR,total accurate cross_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total aerial won_TotalPR,total interception_TotalPR,total assists_TotalPR,total goals_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total big chances saved_p90PR,total effective clearance_p90PR,total accurate cross_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total aerial won_p90PR,total interception_p90PR,total assists_p90PR,total goals_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,21pztrby95djexvw3m9hhzgt1,L. Jović,Luka Jovic,28,Attacker,Serbia,Striker,24.0,31.0,6.0,55.0,0.0,2.0,311.0,0.0,6.0,12.0,10.0,2.0,3.0,2.0,2.0,17.0,5.0,17.0,5.0,0.0,1.0,10.0,1.0,0.0,2.0,0.0,70.51,54.55,0.0,0.0,41.67,40.48,47.62,50.0,1.4414723119123622,0.3999785482339991,1.0,4.0,0.09483441,1.0,4.0,4.0,0.1099283799999999,21.0,6.945337620578778,8.971061093247588,1.7363344051446945,15.916398713826366,0.0,0.5787781350482315,0.0,1.7363344051446945,3.472668810289389,2.893890675241157,0.5787781350482315,0.8681672025723473,0.5787781350482315,0.5787781350482315,4.919614147909968,1.4469453376205788,4.919614147909968,1.4469453376205788,0.0,0.2893890675241157,2.893890675241157,0.2893890675241157,0.0,0.5787781350482315,0.0,70.51,54.55,0.0,0.0,41.67,40.48,47.62,50.0,0.4171463282061498,0.1157494191030865,0.2893890675241157,1.157556270096463,0.0274440414790996,0.2893890675241157,1.157556270096463,1.157556270096463,0.0318120713826366,6.077170418006431,ST,85,67,96,74,52,63,28,83,96,91,63,83,22,17,59,85,87,41,11,39,89,67,43,80,52,43,65,28,11,48,26,74,41,91,74,43,67,57,48,63,54,43,72,83,65,91,74,52,52,28,74,83,83,52,78,17,17,43,78,65,35,11,39,83,61,43,74,52,43,65,28,11,48,26,74,41,87,65,39,61,43,35,61,52,43,70,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,2b1lk0zbkv8x09p0qal56xko9,B. Varga,Barnabás Varga,31,Attacker,Hungary,Striker,13.0,18.0,0.0,30.0,0.0,3.0,272.0,1.0,2.0,10.0,10.0,0.0,1.0,1.0,1.0,26.0,5.0,16.0,5.0,0.0,0.0,20.0,1.0,0.0,4.0,0.0,53.57,0.0,100.0,0.0,50.0,66.67,76.92,0.0,2.0846173104736225,0.1268189626460294,0.0,0.0,0.0,0.0,2.0,1.0,0.08530249,3.0,4.301470588235294,5.955882352941177,0.0,9.926470588235292,0.0,0.9926470588235294,0.3308823529411764,0.6617647058823529,3.308823529411765,3.308823529411765,0.0,0.3308823529411764,0.3308823529411764,0.3308823529411764,8.602941176470589,1.6544117647058825,5.294117647058823,1.6544117647058825,0.0,0.0,6.61764705882353,0.3308823529411764,0.0,1.3235294117647058,0.0,53.57,0.0,100.0,0.0,50.0,66.67,76.92,0.0,0.6897630806714192,0.0419621567578773,0.0,0.0,0.0,0.0,0.6617647058823529,0.3308823529411764,0.0282250886029411,0.9926470588235294,ST,43,35,11,39,52,85,63,46,78,91,17,43,9,9,89,85,78,41,11,15,100,67,43,100,52,4,11,100,11,70,100,100,15,100,43,15,7,7,17,30,24,39,7,39,17,11,26,52,83,57,43,74,91,17,39,4,4,100,83,70,39,11,15,100,65,43,100,52,4,11,100,11,70,100,100,15,100,39,15,7,7,17,26,17,35,4,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,30mghmimxsxj12m1w7jnx4f3e,L. Rota,Lazaros Rota,29,Defender,Greece,Defender,86.0,77.0,3.0,163.0,0.0,5.0,360.0,0.0,2.0,7.0,3.0,4.0,1.0,1.0,1.0,15.0,3.0,12.0,3.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,93.14,50.0,0.0,0.0,42.86,51.72,50.0,37.5,0.6976605557461631,0.1300135243488256,5.0,17.0,0.40980607,6.0,4.0,10.0,0.30410417,71.0,21.5,19.25,0.75,40.75,0.0,1.25,0.0,0.5,1.75,0.75,1.0,0.25,0.25,0.25,3.75,0.75,3.0,0.75,0.0,0.75,1.0,1.0,0.0,0.0,0.0,93.14,50.0,0.0,0.0,42.86,51.72,50.0,37.5,0.1744151389365408,0.0325033810872064,1.25,4.25,0.1024515175,1.5,1.0,2.5,0.0760260425,17.75,RB/RCB,96,92,46,92,50,17,21,50,100,83,96,58,29,25,67,100,96,62,17,46,58,71,46,46,54,100,71,21,17,92,75,54,17,100,33,100,100,100,92,12,62,58,83,88,92,29,92,50,17,21,50,92,83,92,50,17,12,58,100,92,58,17,46,58,46,46,46,54,100,71,21,17,92,75,54,17,100,33,100,100,100,92,8,50,50,75,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,3hd9nxdb54zn4fhbf7qa7x0q1,L. Majer,Lovro Majer,28,Midfielder,Croatia,Midfielder,58.0,101.0,5.0,153.0,0.0,2.0,269.0,6.0,11.0,4.0,1.0,3.0,0.0,6.0,7.0,17.0,3.0,10.0,6.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,84.07,45.45,40.0,33.33,75.0,54.84,66.67,28.57,0.2428247518421397,1.3403816634540855,3.0,22.0,0.5683312199999999,13.0,17.0,24.0,1.3569069100000002,77.0,19.40520446096654,33.79182156133829,1.6728624535315986,51.18959107806691,0.0,0.6691449814126395,2.007434944237918,3.680297397769517,1.338289962825279,0.3345724907063197,1.003717472118959,0.0,2.007434944237918,2.3420074349442377,5.687732342007435,1.003717472118959,3.345724907063197,2.007434944237918,0.6691449814126395,0.6691449814126395,0.6691449814126395,0.3345724907063197,0.6691449814126395,0.0,0.0,84.07,45.45,40.0,33.33,75.0,54.84,66.67,28.57,0.0812424820289686,0.4484548316389133,1.003717472118959,7.360594795539034,0.1901479918215613,4.349442379182156,5.687732342007435,8.029739776951672,0.453983724535316,25.762081784386616,CM/AM,80,93,47,87,53,70,87,97,43,13,63,17,77,83,80,70,67,60,47,40,50,43,90,37,53,80,33,80,23,93,73,80,20,27,100,77,100,100,100,87,90,100,80,80,93,53,87,53,67,80,100,47,13,67,17,87,87,73,67,60,60,33,33,67,40,93,37,53,80,33,80,23,93,73,80,20,20,100,80,100,100,100,100,100,100,87,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,4g72ltwbeujps5dlns7aegru,S. Pilios,Stavros Pilios,25,Defender,Albania,Defender,82.0,62.0,7.0,139.0,0.0,8.0,360.0,5.0,6.0,5.0,3.0,2.0,0.0,4.0,4.0,25.0,1.0,7.0,10.0,4.0,3.0,3.0,2.0,1.0,0.0,0.0,86.34,53.85,31.25,100.0,20.0,62.5,33.33,37.5,0.3096794641087285,0.5795880310336434,2.0,9.0,0.20585743,6.0,9.0,12.0,1.0395658799999998,54.0,20.5,15.5,1.75,34.75,0.0,2.0,1.25,1.5,1.25,0.75,0.5,0.0,1.0,1.0,6.25,0.25,1.75,2.5,1.0,0.75,0.75,0.5,0.25,0.0,0.0,86.34,53.85,31.25,100.0,20.0,62.5,33.33,37.5,0.0774198660271821,0.1448970077584108,0.5,2.25,0.0514643575,1.5,2.25,3.0,0.2598914699999999,13.5,LB/LCB,81,85,62,77,54,65,85,96,100,92,92,46,81,81,100,85,88,100,88,46,69,19,88,54,54,77,77,92,92,77,85,35,23,92,92,92,88,69,92,65,65,92,69,69,62,54,62,54,42,69,92,100,92,92,46,65,65,92,81,77,92,85,42,54,8,85,54,54,77,77,92,92,77,85,35,23,92,92,92,85,69,77,62,54,92,46,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,9cy6lgb0e0cq4a7ht389qaklx,R. Marin,Razvan Marin,30,Midfielder,Romania,Midfielder,118.0,113.0,6.0,222.0,0.0,1.0,332.0,9.0,11.0,6.0,3.0,3.0,1.0,4.0,4.0,19.0,2.0,9.0,5.0,3.0,5.0,5.0,0.0,3.0,1.0,0.0,87.75,42.86,45.0,75.0,33.33,52.78,83.33,83.33,0.6872809990860693,1.3237754295760966,2.0,12.0,0.26524925,8.0,19.0,24.0,0.5485259699999999,116.0,31.98795180722892,30.632530120481928,1.6265060240963851,60.18072289156626,0.0,0.2710843373493976,2.439759036144578,2.9819277108433733,1.6265060240963851,0.8132530120481927,0.8132530120481927,0.2710843373493976,1.0843373493975903,1.0843373493975903,5.150602409638554,0.5421686746987951,2.439759036144578,1.355421686746988,0.8132530120481927,1.355421686746988,1.355421686746988,0.0,0.8132530120481927,0.2710843373493976,0.0,87.75,42.86,45.0,75.0,33.33,52.78,83.33,83.33,0.186311114210079,0.3588547851260503,0.5421686746987951,3.2530120481927707,0.0719049171686747,2.1686746987951806,5.150602409638554,6.506024096385541,0.1486967990963855,31.44578313253012,CM/AM,100,100,57,100,53,43,100,97,60,60,63,47,53,47,87,57,53,47,77,97,90,17,100,83,53,87,23,87,93,50,60,97,73,80,93,60,87,73,93,100,90,73,100,100,87,47,100,53,33,100,87,53,47,47,33,33,33,67,60,27,47,67,93,87,17,100,73,53,87,23,87,93,50,60,97,73,60,87,53,80,67,87,80,80,73,100,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,cgtz4fa0mz9poi4ju8bjtbwiy,Filipe Relvas,Filipe do Bem Relvas Vitó Oliveira,26,Defender,Portugal,Defender,198.0,98.0,22.0,296.0,0.0,13.0,360.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,18.0,0.0,5.0,1.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,90.8,59.46,0.0,0.0,0.0,85.71,84.21,0.0,0.392265043961336,0.1124577260774423,0.0,5.0,0.10244821,2.0,19.0,23.0,0.4450456999999999,191.0,49.5,24.5,5.5,74.0,0.0,3.25,0.0,0.5,0.5,0.5,0.0,0.25,0.0,0.0,4.5,0.0,1.25,0.25,0.0,0.0,4.0,1.5,0.0,0.0,0.0,90.8,59.46,0.0,0.0,0.0,85.71,84.21,0.0,0.098066260990334,0.0281144315193605,0.0,1.25,0.0256120525,0.5,4.75,5.75,0.1112614249999999,47.75,CB,100,92,96,100,44,31,42,83,56,67,40,81,27,27,71,42,81,21,35,8,100,83,48,48,52,85,63,42,35,42,100,100,8,85,65,42,73,73,75,88,90,77,98,100,88,88,100,44,23,42,75,48,62,40,69,27,27,54,42,69,19,35,8,92,77,48,48,52,85,63,42,35,42,100,100,8,85,62,42,67,69,73,81,88,77,98,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,chd9jdwmunetujxsjy6m4r9hx,H. Moukoudi,Harold Moukoudi,28,Defender,Cameroon,Defender,169.0,71.0,4.0,240.0,0.0,19.0,360.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,2.0,0.0,2.0,9.0,3.0,0.0,0.0,0.0,94.12,40.0,0.0,0.0,0.0,65.0,81.82,66.67,0.1426672757401741,0.1618994177433831,0.0,8.0,0.16492319,2.0,12.0,10.0,0.5473802900000001,177.0,42.25,17.75,1.0,60.0,0.0,4.75,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,3.25,0.0,0.5,0.5,0.0,0.5,2.25,0.75,0.0,0.0,0.0,94.12,40.0,0.0,0.0,0.0,65.0,81.82,66.67,0.0356668189350435,0.0404748544358457,0.0,2.0,0.0412307975,0.5,3.0,2.5,0.1368450725,44.25,CB,96,81,13,88,44,63,42,52,33,46,40,33,27,27,38,42,38,37,35,38,69,54,48,48,52,96,21,42,35,42,65,96,63,50,85,42,92,88,75,63,40,92,92,92,77,12,85,44,42,42,38,27,40,40,33,27,27,27,42,33,29,35,31,63,50,48,48,52,96,21,42,35,42,65,96,63,50,77,42,92,88,73,50,31,88,92,Greek Super League
AEK Athens,7ruua9q5rtswwi5d6xtquuto5,dsm566un9e2aoiz7t4z4pl7je,M. Vitális,Milán Vitális,24,Midfielder,Hungary,Midfielder,81.0,86.0,13.0,166.0,0.0,3.0,249.0,1.0,6.0,2.0,0.0,2.0,1.0,2.0,2.0,17.0,1.0,1.0,10.0,1.0,3.0,1.0,3.0,1.0,0.0,0.0,97.08,100.0,100.0,50.0,50.0,58.62,0.0,60.0,0.1060523339976297,0.4793211161519035,0.0,10.0,0.21263886,4.0,21.0,20.0,0.3446912799999999,80.0,29.27710843373494,31.08433734939759,4.698795180722891,60.0,0.0,1.0843373493975903,0.3614457831325301,2.1686746987951806,0.7228915662650602,0.0,0.7228915662650602,0.3614457831325301,0.7228915662650602,0.7228915662650602,6.144578313253012,0.3614457831325301,0.3614457831325301,3.614457831325301,0.3614457831325301,1.0843373493975903,0.3614457831325301,1.0843373493975903,0.3614457831325301,0.0,0.0,97.08,100.0,100.0,50.0,50.0,58.62,0.0,60.0,0.0383321689148059,0.1732485961994831,0.0,3.614457831325301,0.0768574192771084,1.4457831325301205,7.590361445783133,7.228915662650603,0.1245872096385541,28.91566265060241,DM/CM,81,75,62,84,53,41,62,91,56,25,72,66,31,28,62,69,25,100,31,53,28,53,94,41,50,100,100,97,47,75,88,16,56,31,88,16,94,94,78,88,81,56,75,100,94,88,94,53,44,75,100,62,25,75,81,31,31,81,75,31,100,25,69,31,69,94,41,50,100,100,97,47,75,88,16,56,31,94,16,100,100,94,100,100,62,100,Greek Super League
Aris,90z9l1k46z46ep9oupipgganh,3r04y1fejoh9e8qbge3exy3u1,N. Fadiga,Noah Fadiga,26,Defender,Senegal,Defender,43.0,42.0,6.0,84.0,0.0,6.0,348.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,3.0,12.0,0.0,4.0,4.0,0.0,3.0,4.0,2.0,0.0,0.0,0.0,80.0,60.0,20.0,0.0,0.0,50.0,0.0,75.0,0.1160392475284202,0.2422606207579722,0.0,6.0,0.14702923,5.0,9.0,8.0,0.3372854099999999,48.0,11.120689655172416,10.862068965517242,1.5517241379310345,21.724137931034484,0.0,1.5517241379310345,0.2586206896551724,0.7758620689655172,0.2586206896551724,0.2586206896551724,0.0,0.0,0.5172413793103449,0.7758620689655172,3.103448275862069,0.0,1.0344827586206895,1.0344827586206895,0.0,0.7758620689655172,1.0344827586206895,0.5172413793103449,0.0,0.0,0.0,80.0,60.0,20.0,0.0,0.0,50.0,0.0,75.0,0.0300101502228672,0.0626536088167169,0.0,1.5517241379310345,0.0380248008620689,1.293103448275862,2.327586206896552,2.0689655172413794,0.0872289853448275,12.413793103448276,CB,10,46,27,12,44,6,90,96,33,46,40,33,83,90,29,42,65,77,35,63,23,33,48,48,52,12,69,87,35,42,37,4,79,46,96,42,83,81,88,42,31,73,19,8,31,27,8,44,4,88,96,35,46,40,33,85,88,23,42,65,77,35,54,15,23,48,48,52,12,69,87,35,42,37,4,79,42,92,42,77,81,88,35,19,65,12,Greek Super League
