Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total big chances saved_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total interception_Total,total mins played,total touches in opposition box_Total,total was fouled_Total,total won tackle_Total,total assists_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total goals_Total,total ontarget attempt_Total,total accurate cross_Total,total won contest_Total,total direct setpiece goals_Total,total direct corner goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total big chances saved_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total interception_p90,total touches in opposition box_p90,total was fouled_p90,total won tackle_p90,total assists_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total goals_p90,total ontarget attempt_p90,total accurate cross_p90,total won contest_p90,total direct setpiece goals_p90,total direct corner goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total big chances saved_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total interception_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won tackle_TotalPR,total assists_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total accurate cross_TotalPR,total won contest_TotalPR,total direct setpiece goals_TotalPR,total direct corner goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total big chances saved_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total interception_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won tackle_p90PR,total assists_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total accurate cross_p90PR,total won contest_p90PR,total direct setpiece goals_p90PR,total direct corner goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,1ainxl6zw3ne3doloixspdez8,P. Mulder,Pascal Mulder,27,Defender,Netherlands,Defender,183.0,88.0,23.0,271.0,16.0,0.0,3.0,3.0,34.0,29.0,17.0,523.0,9.0,5.0,7.0,0.0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,86.03,52.27,0.0,66.67,20.0,53.97,57.14,63.64,0.6153462703592762,0.0475886374467249,0.0,9.0,0.16923196,1.0,28.0,30.0,0.6137244799999997,175.0,31.491395793499045,15.1434034416826,3.9579349904397705,46.634799235181646,2.753346080305928,0.0,0.5162523900573613,0.5162523900573613,5.850860420650096,4.990439770554493,2.925430210325048,1.548757170172084,0.8604206500956023,1.2045889101338432,0.0,0.1720841300191204,0.8604206500956023,0.8604206500956023,0.0,0.0,0.0,0.1720841300191204,0.0,0.3441682600382409,0.0,0.0,86.03,52.27,0.0,66.67,20.0,53.97,57.14,63.64,0.1058913275952865,0.0081892492738149,0.0,1.548757170172084,0.0291221346080305,0.1720841300191204,4.818355640535373,5.162523900573614,0.105612243212237,30.114722753346083,CB,85,45,89,62,89,41,81,78,94,79,100,90,76,83,39,45,87,93,28,29,35,57,37,80,50,51,40,68,37,74,43,36,62,51,85,34,31,67,55,35,74,77,81,70,70,40,79,45,74,41,74,72,87,68,98,83,68,72,39,38,81,87,28,29,35,53,37,77,50,51,40,68,37,74,43,36,62,51,79,34,31,66,53,30,64,68,66,57,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,1cfenhtdvum1vtwn1fd01fzhm,J. Kilo,Juho Kilo,24,Midfielder,Finland,Midfielder,199.0,182.0,22.0,374.0,6.0,0.0,2.0,2.0,27.0,14.0,3.0,540.0,3.0,3.0,12.0,1.0,8.0,4.0,1.0,3.0,1.0,0.0,3.0,7.0,1.0,0.0,0.0,90.12,56.41,43.75,50.0,75.0,61.36,0.0,70.59,0.28989813846222,0.6755777627937776,2.0,16.0,0.3206807,5.0,41.0,33.0,0.8123748400000003,207.0,33.166666666666664,30.33333333333333,3.6666666666666665,62.333333333333336,1.0,0.0,0.3333333333333333,0.3333333333333333,4.5,2.333333333333333,0.5,0.5,0.5,2.0,0.1666666666666666,1.3333333333333333,0.6666666666666666,0.1666666666666666,0.5,0.1666666666666666,0.0,0.5,1.1666666666666667,0.1666666666666666,0.0,0.0,90.12,56.41,43.75,50.0,75.0,61.36,0.0,70.59,0.04831635641037,0.1125962937989629,0.3333333333333333,2.6666666666666665,0.0534467833333333,0.8333333333333334,6.833333333333333,5.5,0.1353958066666667,34.5,DM/CM,100,92,100,96,69,48,15,13,87,85,37,25,38,100,77,83,56,38,73,52,33,81,94,23,50,50,85,58,77,40,87,85,6,62,50,85,62,75,58,54,94,88,81,96,100,65,100,96,54,48,8,4,62,69,27,15,23,96,62,62,38,23,50,35,33,65,88,12,50,50,85,58,77,40,87,85,6,62,31,73,50,65,50,42,85,77,62,88,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,1sb4655mgzrdohlltyk9fqlzp,D. van Mieghem,Daryl van Mieghem,36,Attacker,Netherlands,Striker,24.0,37.0,7.0,59.0,2.0,0.0,6.0,6.0,10.0,1.0,1.0,345.0,3.0,6.0,0.0,0.0,2.0,6.0,2.0,4.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,59.6,46.67,12.5,0.0,16.67,45.45,66.67,0.0,0.416774566092666,0.2236407505597372,1.0,4.0,0.1172523599999999,0.0,11.0,11.0,0.43143119,28.0,6.260869565217391,9.652173913043478,1.826086956521739,15.391304347826086,0.5217391304347826,0.0,1.5652173913043477,1.5652173913043477,2.608695652173913,0.2608695652173913,0.2608695652173913,0.7826086956521738,1.5652173913043477,0.0,0.0,0.5217391304347826,1.5652173913043477,0.5217391304347826,1.0434782608695652,0.7826086956521738,0.0,0.2608695652173913,0.5217391304347826,0.0,0.0,0.0,59.6,46.67,12.5,0.0,16.67,45.45,66.67,0.0,0.1087237998502606,0.0583410653634097,0.2608695652173913,1.0434782608695652,0.030587572173913,0.0,2.869565217391304,2.869565217391304,0.1125472669565217,7.304347826086956,RW,47,25,94,19,50,53,25,22,12,25,41,9,81,12,34,9,16,12,62,50,25,16,38,6,53,53,6,31,38,6,19,56,88,12,12,25,19,19,19,6,94,59,38,38,62,12,88,31,56,53,25,19,12,25,50,6,75,12,34,12,12,12,75,50,25,12,38,6,53,53,6,31,38,6,19,56,88,12,12,25,19,19,19,6,94,56,31,38,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,4isvhkgvsyqhoyvwd38agic5w,M. Hokke,Milan Hokke,22,Defender,Netherlands,Defender,163.0,106.0,24.0,265.0,5.0,0.0,3.0,4.0,27.0,21.0,6.0,524.0,7.0,3.0,11.0,1.0,10.0,3.0,1.0,2.0,2.0,0.0,1.0,4.0,2.0,0.0,0.0,83.6,51.06,36.36,66.67,33.33,54.0,33.33,64.71,0.2109983363233091,0.676471150021306,1.0,7.0,0.20291467,2.0,30.0,33.0,0.8701289200000003,148.0,27.99618320610687,18.206106870229007,4.122137404580153,45.51526717557252,0.8587786259541985,0.0,0.5152671755725191,0.6870229007633588,4.637404580152672,3.6068702290076335,1.0305343511450382,1.202290076335878,0.5152671755725191,1.8893129770992367,0.1717557251908397,1.717557251908397,0.5152671755725191,0.1717557251908397,0.3435114503816794,0.3435114503816794,0.0,0.1717557251908397,0.6870229007633588,0.3435114503816794,0.0,0.0,83.6,51.06,36.36,66.67,33.33,54.0,33.33,64.71,0.0362401722692706,0.1161877929425907,0.1717557251908397,1.202290076335878,0.0348517562977099,0.3435114503816794,5.152671755725191,5.66793893129771,0.1494496236641222,25.41984732824428,CB,68,54,91,53,27,41,81,87,79,50,59,74,49,97,88,100,54,34,88,93,35,57,97,80,50,51,28,64,85,74,62,38,16,53,43,94,76,55,66,50,79,85,91,55,38,51,83,43,21,41,72,77,55,34,47,70,40,94,87,100,51,30,83,96,35,51,96,74,50,51,28,64,85,74,62,38,16,53,36,91,77,53,60,47,68,74,87,51,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,5f8ajd8cgyvmmdzr0lzi1gtii,E. Rottier,Evan Rottier,24,Attacker,Netherlands,Striker,25.0,51.0,5.0,73.0,5.0,0.0,0.0,1.0,17.0,4.0,1.0,445.0,12.0,8.0,1.0,2.0,11.0,5.0,3.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,77.66,55.56,60.0,0.0,60.0,48.57,41.67,25.0,0.4816490157036442,0.8518709857934682,3.0,7.0,0.25151659,1.0,4.0,7.0,0.4706046599999999,32.0,5.056179775280898,10.314606741573034,1.0112359550561798,14.764044943820224,1.0112359550561798,0.0,0.0,0.2022471910112359,3.438202247191011,0.8089887640449438,0.2022471910112359,2.426966292134831,1.6179775280898876,0.2022471910112359,0.4044943820224719,2.224719101123596,1.0112359550561798,0.6067415730337078,0.4044943820224719,0.2022471910112359,0.2022471910112359,0.6067415730337078,0.6067415730337078,0.0,0.0,0.0,77.66,55.56,60.0,0.0,60.0,48.57,41.67,25.0,0.0974121604793887,0.1722885139807014,0.6067415730337078,1.4157303370786516,0.0508685238202247,0.2022471910112359,0.8089887640449438,1.4157303370786516,0.0951784705617977,6.47191011235955,ST,67,72,92,69,40,50,4,8,53,71,62,24,86,36,92,90,22,21,58,31,35,38,86,8,51,51,64,61,100,8,88,72,58,19,22,86,74,75,75,42,61,75,81,78,53,69,92,53,31,50,4,6,22,56,64,11,78,19,94,92,8,14,44,28,25,22,86,8,51,51,64,61,100,8,88,72,58,19,17,86,64,67,69,39,53,69,72,75,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,6bd8f7n398r2c92uve249rzmc,O. Raterink,Othniël Raterink,20,Defender,Netherlands,Defender,49.0,41.0,2.0,87.0,4.0,0.0,4.0,4.0,24.0,18.0,1.0,382.0,5.0,1.0,8.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,82.86,33.33,30.0,75.0,0.0,68.57,50.0,50.0,0.1458055618058839,0.3591459729865337,1.0,7.0,0.14731276,3.0,6.0,6.0,0.20824992,31.0,11.544502617801047,9.659685863874346,0.4712041884816754,20.49738219895288,0.9424083769633508,0.0,0.9424083769633508,0.9424083769633508,5.654450261780105,4.240837696335079,0.2356020942408377,1.1780104712041886,0.2356020942408377,1.8848167539267016,0.0,0.9424083769633508,0.4712041884816754,0.2356020942408377,0.2356020942408377,0.2356020942408377,0.0,0.0,0.7068062827225131,0.7068062827225131,0.0,0.0,82.86,33.33,30.0,75.0,0.0,68.57,50.0,50.0,0.0343520957134281,0.0846155433737906,0.2356020942408377,1.649214659685864,0.0347071947643979,0.7068062827225131,1.4136125654450262,1.4136125654450262,0.0490641172774869,7.303664921465969,RB/RCB,38,23,15,23,42,50,81,81,65,62,19,42,15,69,31,62,46,42,58,50,50,31,69,88,54,54,62,54,69,85,31,100,46,23,46,62,81,65,62,58,27,19,15,15,31,31,15,38,54,50,77,77,77,77,23,46,15,85,31,69,46,54,62,54,50,31,77,85,54,54,62,54,69,85,31,100,46,23,54,62,92,62,62,62,31,23,15,15,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,7d9x6ojih9obktxl3fnrjskk4,M. Waem,Matteo Waem,26,Defender,Belgium,Defender,124.0,34.0,12.0,158.0,7.0,0.0,2.0,2.0,16.0,24.0,3.0,259.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,89.27,66.67,0.0,50.0,100.0,59.26,70.0,37.5,0.0367823415603722,0.0,1.0,3.0,0.05617798,1.0,9.0,7.0,0.16415015,86.0,43.08880308880309,11.814671814671817,4.1698841698841695,54.9034749034749,2.4324324324324325,0.0,0.694980694980695,0.694980694980695,5.55984555984556,8.339768339768339,1.0424710424710424,0.3474903474903475,0.0,1.0424710424710424,0.0,0.0,0.3474903474903475,0.0,0.3474903474903475,0.0,0.0,0.3474903474903475,0.0,0.3474903474903475,0.0,0.0,89.27,66.67,0.0,50.0,100.0,59.26,70.0,37.5,0.0127815086503223,0.0,0.3474903474903475,1.0424710424710424,0.0195213057915057,0.3474903474903475,3.1274131274131274,2.4324324324324325,0.0570405926640926,29.88416988416989,CB,37,13,51,28,45,41,64,63,33,60,17,17,5,36,39,16,22,14,68,29,35,57,37,60,50,51,57,96,37,61,99,66,85,9,17,16,76,33,30,35,28,21,17,32,98,21,87,68,70,41,83,79,81,91,49,21,5,64,39,16,30,14,85,29,35,81,37,79,50,51,57,96,37,61,99,66,85,9,17,16,89,47,36,49,40,28,28,55,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,8kns1kywrlakjwll1cxs19r3e,N. Thomas,Nigel Thomas,25,Attacker,Curaçao,Striker,16.0,41.0,1.0,57.0,0.0,0.0,10.0,11.0,11.0,5.0,0.0,231.0,3.0,2.0,1.0,1.0,2.0,9.0,1.0,8.0,4.0,1.0,2.0,0.0,6.0,0.0,0.0,83.82,25.0,0.0,60.0,22.22,47.83,0.0,33.33,0.4506904072457722,0.213436619688747,7.0,9.0,0.2726138,4.0,8.0,6.0,0.41247426,12.0,6.233766233766233,15.974025974025972,0.3896103896103896,22.20779220779221,0.0,0.0,3.896103896103896,4.285714285714286,4.285714285714286,1.948051948051948,0.0,1.1688311688311688,0.7792207792207791,0.3896103896103896,0.3896103896103896,0.7792207792207791,3.506493506493506,0.3896103896103896,3.1168831168831166,1.5584415584415583,0.3896103896103896,0.7792207792207791,0.0,2.3376623376623376,0.0,0.0,83.82,25.0,0.0,60.0,22.22,47.83,0.0,33.33,0.1755936651606904,0.0831571245540572,2.727272727272727,3.506493506493506,0.1062131688311688,1.5584415584415583,3.1168831168831166,2.3376623376623376,0.1607042571428571,4.675324675324675,ST,39,67,40,64,6,50,81,83,12,79,26,3,29,36,68,19,51,6,97,93,35,24,33,94,51,51,89,31,33,76,14,69,6,26,19,33,94,81,81,88,83,69,75,32,75,86,51,86,6,50,94,94,40,97,26,3,36,60,92,25,81,6,100,100,42,28,33,100,51,51,89,31,33,76,14,69,6,26,25,50,100,94,94,89,97,81,83,58,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,c82umtdnxng9vgwogrbznr1be,J. Hawkins,Jalen Hawkins,25,Midfielder,USA,Midfielder,7.0,27.0,1.0,31.0,1.0,0.0,4.0,4.0,10.0,3.0,0.0,210.0,6.0,6.0,1.0,0.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,63.27,12.5,18.75,50.0,0.0,43.48,50.0,100.0,0.3011937661439305,0.1631412895711613,4.0,2.0,0.05256723,2.0,0.0,3.0,0.27998025,10.0,3.0,11.571428571428571,0.4285714285714285,13.285714285714285,0.4285714285714285,0.0,1.7142857142857142,1.7142857142857142,4.285714285714286,1.2857142857142856,0.0,2.571428571428571,2.571428571428571,0.4285714285714285,0.0,0.8571428571428571,1.7142857142857142,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.0,1.2857142857142856,0.8571428571428571,0.0,0.0,63.27,12.5,18.75,50.0,0.0,43.48,50.0,100.0,0.129083042633113,0.0699176955304977,1.7142857142857142,0.8571428571428571,0.0225288128571428,0.8571428571428571,0.0,1.2857142857142856,0.1199915357142857,4.285714285714286,CM/AM,5,3,6,3,35,52,32,31,19,35,10,27,71,18,24,6,19,27,31,52,21,11,69,35,52,52,3,6,35,50,11,29,65,94,19,13,60,8,6,19,3,6,19,3,6,16,6,3,45,52,58,55,58,58,10,52,97,26,24,13,48,52,52,74,21,11,74,58,52,52,3,6,35,50,11,29,65,94,45,19,84,10,13,32,3,6,45,3,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,cgnl3msfddxlw37gu1jtiu42c,Y. Eduardo,Yannick Eduardo,20,Attacker,Czechia,Striker,20.0,18.0,0.0,38.0,6.0,0.0,9.0,10.0,18.0,1.0,0.0,414.0,18.0,4.0,1.0,0.0,1.0,5.0,5.0,0.0,0.0,2.0,2.0,0.0,5.0,0.0,0.0,79.17,0.0,0.0,55.56,40.0,36.73,27.27,33.33,0.9445411031909868,0.1041234649111672,1.0,3.0,0.15187321,3.0,1.0,2.0,0.02093956,6.0,4.347826086956522,3.91304347826087,0.0,8.260869565217392,1.3043478260869563,0.0,1.956521739130435,2.173913043478261,3.91304347826087,0.2173913043478261,0.0,3.91304347826087,0.8695652173913044,0.2173913043478261,0.0,0.2173913043478261,1.0869565217391306,1.0869565217391306,0.0,0.0,0.4347826086956522,0.4347826086956522,0.0,1.0869565217391306,0.0,0.0,79.17,0.0,0.0,55.56,40.0,36.73,27.27,33.33,0.2053350224328232,0.0226355358502537,0.2173913043478261,0.6521739130434783,0.0330159152173913,0.6521739130434783,0.2173913043478261,0.4347826086956522,0.0045520782608695,1.3043478260869563,ST,53,14,12,28,47,50,71,75,58,18,26,47,54,36,28,6,22,35,10,11,60,24,33,85,51,51,69,12,33,69,51,25,19,26,47,11,31,43,58,76,22,22,6,8,42,6,12,11,36,50,64,64,28,11,26,36,47,25,28,6,14,31,10,11,51,17,33,78,51,51,69,12,33,69,51,25,19,26,28,8,25,39,50,72,19,17,6,6,Eredivisie
ADO Den Haag,e8hiwrw6ocxm5iht6sp7jiv19,cn74cq8r7zsppzq52p518sums,J. Bal,Jesse Bal,19,Attacker,Netherlands,Striker,7.0,29.0,0.0,36.0,6.0,0.0,1.0,1.0,10.0,1.0,0.0,207.0,12.0,3.0,0.0,0.0,2.0,6.0,5.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,69.23,0.0,0.0,100.0,50.0,38.46,50.0,0.0,0.4934779525000626,0.0827441533427454,0.0,2.0,0.04770298,3.0,0.0,2.0,0.2040909899999999,9.0,3.0434782608695654,12.608695652173914,0.0,15.65217391304348,2.608695652173913,0.0,0.4347826086956522,0.4347826086956522,4.347826086956522,0.4347826086956522,0.0,5.217391304347826,1.3043478260869563,0.0,0.0,0.8695652173913044,2.608695652173913,2.173913043478261,0.4347826086956522,0.0,0.4347826086956522,1.3043478260869563,0.0,0.4347826086956522,0.0,0.0,69.23,0.0,0.0,100.0,50.0,38.46,50.0,0.0,0.2145556315217663,0.0359757188446719,0.0,0.8695652173913044,0.0207404260869565,1.3043478260869563,0.0,0.8695652173913044,0.0887352130434782,3.91304347826087,ST,10,47,12,25,47,50,10,8,8,18,26,24,43,10,28,19,31,35,31,11,35,38,33,28,51,51,42,12,33,96,72,32,78,10,25,8,8,28,22,76,8,22,53,18,17,81,12,69,64,50,14,14,44,33,26,67,61,10,28,42,61,64,50,11,51,75,33,44,51,51,42,12,33,96,72,32,78,10,33,14,8,53,36,83,8,42,69,42,Eredivisie
