Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total assists_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total goals_Total,total interception_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total big chances saved_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total assists_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total goals_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total big chances saved_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total assists_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total big chances saved_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total assists_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total goals_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total big chances saved_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Aalesund,3impprc048nbz39w05s18c6yt,1242vj7llb0nr5t1zgdod905w,E. Osenbroch,Endre Osenbroch,22.0,Midfielder,Norway,Midfielder,71.0,5.0,185.0,14.0,251.0,2.0,4.0,34.0,28.0,10.0,18.0,13.0,35.0,36.0,54.0,8.0,5.0,5.0,1100.0,8.0,52.0,23.0,16.0,6.0,0.0,0.0,79.18,77.78,35.71,45.71,28.57,46.96,14.29,46.15,2.276377605027635,2.8520756194431742,14.0,33.0,0.9685149699999996,16.0,34.0,45.0,1.88527269,149.0,5.8090909090909095,0.4090909090909091,15.136363636363637,1.1454545454545455,20.53636363636364,0.1636363636363636,0.3272727272727272,2.781818181818182,2.290909090909091,0.8181818181818182,1.4727272727272729,1.0636363636363635,2.863636363636364,2.9454545454545458,4.418181818181819,0.6545454545454545,0.4090909090909091,0.4090909090909091,0.6545454545454545,4.254545454545455,1.8818181818181816,1.309090909090909,0.4909090909090909,0.0,0.0,79.18,77.78,35.71,45.71,28.57,46.96,14.29,46.15,0.1862490767749883,0.2333516415908051,1.1454545454545455,2.7,0.0792421339090908,1.309090909090909,2.781818181818182,3.681818181818182,0.1542495837272727,12.190909090909091,CM/AM,44,61,58,69,54,23,89,96,84,56,96,96,92,89,65,35,88,43,74,79,91,92,38,49,49,40,93,79,44,41,53,13,9,76,91,96,84,85,84,73,76,75,65,18,56,27,56,24,15,85,98,82,35,96,89,85,82,42,18,91,25,64,71,84,84,15,49,49,40,93,79,44,41,53,13,9,58,95,98,82,78,75,64,65,71,53,Eliteserien
Aalesund,3impprc048nbz39w05s18c6yt,244tacw12kwpim1z0rz0pky22,E. Engqvist,Emil Engqvist,27.0,Defender,Sweden,Defender,185.0,0.0,105.0,15.0,290.0,16.0,0.0,3.0,5.0,4.0,1.0,1.0,0.0,0.0,32.0,54.0,0.0,15.0,643.0,0.0,8.0,3.0,0.0,7.0,1.0,0.0,83.33,39.47,0.0,0.0,0.0,59.26,64.0,53.85,0.5702768057478844,0.1175090223112628,0.0,9.0,0.1793717699999999,3.0,21.0,21.0,0.5812176499999999,184.0,25.894245723172627,0.0,14.696734059097976,2.0995334370139966,40.5909797822706,2.2395023328149297,0.0,0.4199066874027993,0.6998444790046656,0.5598755832037324,0.1399688958009331,0.1399688958009331,0.0,0.0,4.479004665629859,7.558320373250388,0.0,2.0995334370139966,0.0,1.1197511664074649,0.4199066874027993,0.0,0.9797822706065318,0.1399688958009331,0.0,83.33,39.47,0.0,0.0,0.0,59.26,64.0,53.85,0.0798210148014146,0.0164476080995546,0.0,1.2597200622083982,0.0251064685847589,0.4199066874027993,2.939346811819596,2.939346811819596,0.0813523926905132,25.754276827371694,CB,48,36,38,46,45,55,42,62,55,58,63,52,12,11,42,64,39,82,21,52,31,18,46,88,51,28,31,36,18,21,59,72,27,58,43,29,52,48,46,37,37,43,49,34,36,17,38,23,52,42,69,66,62,68,58,12,11,49,94,39,92,21,52,28,18,65,91,51,28,31,36,18,21,59,72,27,69,46,29,57,52,55,38,34,37,46,Eliteserien
Aalesund,3impprc048nbz39w05s18c6yt,43anppywo7v1ydan12sq816ac,U. Charles,Uba Charles,23.0,Midfielder,Nigeria,Midfielder,95.0,20.0,216.0,9.0,291.0,13.0,2.0,22.0,17.0,16.0,1.0,4.0,84.0,88.0,104.0,41.0,1.0,15.0,1313.0,7.0,69.0,8.0,41.0,23.0,0.0,0.0,76.38,40.91,27.78,48.81,41.18,47.49,43.33,54.76,1.3929608802110849,2.113773720992264,4.0,46.0,1.57114375,22.0,16.0,29.0,2.29892443,128.0,6.511805026656512,1.370906321401371,14.805788271134809,0.6169078446306169,19.946686976389948,0.8910891089108911,0.1370906321401371,1.507996953541508,1.165270373191165,1.0967250571210967,0.0685453160700685,0.2741812642802742,5.757806549885758,6.031987814166032,7.128712871287129,2.8103579588728103,0.0685453160700685,1.0281797410510285,0.4798172124904798,4.7296268088347295,0.5483625285605483,2.8103579588728103,1.5765422696115765,0.0,0.0,76.38,40.91,27.78,48.81,41.18,47.49,43.33,54.76,0.0954809438073097,0.1448892878060196,0.2741812642802742,3.153084539223153,0.1076945449352627,1.507996953541508,1.0967250571210967,1.987814166031988,0.1575805016755521,8.773800456968774,CM/AM,62,90,69,54,64,82,72,84,64,77,20,55,100,100,98,100,49,88,65,91,36,100,95,49,49,22,36,58,51,65,56,56,24,55,84,60,95,95,94,41,54,85,60,24,82,24,24,18,62,58,56,29,53,15,27,100,100,91,93,44,76,45,82,16,100,73,49,49,22,36,58,51,65,56,56,24,24,64,33,87,87,80,11,24,76,16,Eliteserien
Aalesund,3impprc048nbz39w05s18c6yt,4v39shau9mp6me6c42p230nah,H. Hammer,Håkon Hammer,26.0,Midfielder,Norway,Midfielder,100.0,1.0,140.0,12.0,239.0,6.0,2.0,11.0,11.0,7.0,4.0,5.0,11.0,11.0,34.0,15.0,0.0,6.0,721.0,2.0,15.0,7.0,5.0,9.0,0.0,0.0,84.15,60.0,33.33,45.45,18.18,51.52,42.86,56.25,1.0293478250793044,0.9649903618470888,3.0,13.0,0.29741037,11.0,26.0,23.0,0.7670294400000001,126.0,12.48266296809986,0.1248266296809986,17.475728155339805,1.4979195561719834,29.83356449375867,0.7489597780859917,0.2496532593619972,1.3730929264909848,1.3730929264909848,0.8737864077669903,0.4993065187239944,0.6241331484049931,1.3730929264909848,1.3730929264909848,4.244105409153953,1.87239944521498,0.0,0.7489597780859917,0.2496532593619972,1.87239944521498,0.8737864077669903,0.6241331484049931,1.1234396671289877,0.0,0.0,84.15,60.0,33.33,45.45,18.18,51.52,42.86,56.25,0.1284900197741156,0.1204564945440194,0.3744798890429958,1.622746185852982,0.0371247341192787,1.3730929264909848,3.245492371705964,2.871012482662968,0.0957456998613037,15.728155339805824,DM/CM,27,50,35,45,27,43,95,75,70,80,45,75,67,62,40,50,28,30,50,73,35,58,43,48,48,40,83,73,60,40,43,57,40,70,77,45,48,47,82,37,35,40,37,13,50,27,27,20,40,100,93,77,80,50,87,73,70,37,40,28,27,47,77,37,73,53,48,48,40,83,73,60,40,43,57,40,73,93,47,53,53,93,33,27,40,33,Eliteserien
Aalesund,3impprc048nbz39w05s18c6yt,4waagh4paa5wwbj8ch3xomm8k,C. Diop,Cheikh Diop,20.0,Defender,Senegal,Defender,72.0,0.0,21.0,5.0,93.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,17.0,0.0,5.0,224.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,80.17,33.33,0.0,0.0,0.0,39.13,33.33,50.0,0.0991909071256284,0.0568530824434475,0.0,1.0,0.01935132,0.0,4.0,5.0,0.09100504,42.0,28.928571428571427,0.0,8.4375,2.008928571428571,37.36607142857143,1.6071428571428572,0.0,0.4017857142857143,0.4017857142857143,0.4017857142857143,0.0,0.0,0.0,0.0,3.616071428571429,6.830357142857142,0.0,2.008928571428571,0.0,0.4017857142857143,0.4017857142857143,0.0,0.8035714285714286,0.0,0.0,80.17,33.33,0.0,0.0,0.0,39.13,33.33,50.0,0.0398534894701185,0.0228427563388851,0.0,0.4017857142857143,0.0077750839285714,0.0,1.6071428571428572,2.008928571428571,0.036564525,16.875,CB,14,36,6,11,9,10,42,30,18,25,27,18,12,11,12,21,39,27,21,5,10,18,18,40,51,12,18,36,18,21,5,5,17,20,31,29,15,14,12,11,11,11,13,52,36,2,34,22,32,42,68,34,46,27,18,12,11,28,86,39,91,21,14,23,18,43,40,51,12,18,36,18,21,5,5,17,40,60,29,26,26,12,11,15,9,17,Eliteserien
Aalesund,3impprc048nbz39w05s18c6yt,57d8deogl8yh6m7inliz3wfmc,S. Haram,Simen Haram,21.0,Defender,Norway,Defender,195.0,0.0,145.0,14.0,340.0,24.0,0.0,1.0,4.0,3.0,1.0,0.0,5.0,5.0,55.0,63.0,0.0,10.0,957.0,1.0,7.0,9.0,1.0,17.0,0.0,0.0,78.34,20.9,0.0,20.0,25.0,55.0,55.81,80.95,0.5131953156456875,0.0890551056711878,1.0,9.0,0.18813968,3.0,29.0,32.0,0.5732066499999997,198.0,18.338557993730408,0.0,13.636363636363637,1.316614420062696,31.974921630094045,2.2570532915360504,0.0,0.0940438871473354,0.3761755485893417,0.2821316614420063,0.0940438871473354,0.0,0.4702194357366771,0.4702194357366771,5.172413793103448,5.924764890282132,0.0,0.9404388714733544,0.0940438871473354,0.658307210031348,0.8463949843260189,0.0940438871473354,1.5987460815047023,0.0,0.0,78.34,20.9,0.0,20.0,25.0,55.0,55.81,80.95,0.0482628823491242,0.0083750883076352,0.0940438871473354,0.8463949843260189,0.0176933868338558,0.2821316614420063,2.7272727272727275,3.0094043887147337,0.0539065815047021,18.620689655172416,RB/RCB,62,8,42,46,46,92,29,10,23,38,27,10,42,42,62,88,31,52,40,29,56,19,58,38,52,38,4,8,19,60,58,75,92,38,12,35,25,25,25,54,54,17,54,58,8,12,21,42,79,29,8,21,33,25,10,29,25,58,96,31,50,38,12,42,17,50,38,52,38,4,8,19,60,58,75,92,29,8,33,21,12,12,29,29,8,67,Eliteserien
Aalesund,3impprc048nbz39w05s18c6yt,59et8sb520h3kfg20a0qavd3o,M. Haagensen Reed,Marcus Haagensen Reed,18.0,Attacker,Norway,Striker,19.0,0.0,61.0,1.0,80.0,16.0,1.0,10.0,16.0,13.0,3.0,3.0,11.0,11.0,31.0,6.0,3.0,0.0,539.0,6.0,33.0,3.0,7.0,3.0,0.0,0.0,78.43,50.0,0.0,63.64,37.5,36.9,37.21,60.0,1.7920769623558916,0.7631376551776868,5.0,17.0,0.8020341599999998,4.0,3.0,4.0,0.2538111399999999,25.0,3.1725417439703154,0.0,10.185528756957329,0.1669758812615955,13.358070500927644,2.6716141001855287,0.1669758812615955,1.6697588126159555,2.6716141001855287,2.170686456400742,0.5009276437847866,0.5009276437847866,1.836734693877551,1.836734693877551,5.176252319109462,1.0018552875695732,0.5009276437847866,0.0,1.0018552875695732,5.510204081632653,0.5009276437847866,1.1688311688311688,0.5009276437847866,0.0,0.0,78.43,50.0,0.0,63.64,37.5,36.9,37.21,60.0,0.2992336300779782,0.1274255824972018,0.8348794063079777,2.8385899814471243,0.1339203606679035,0.6679035250463822,0.5009276437847866,0.6679035250463822,0.0423803387755101,4.174397031539889,ST,24,24,40,26,29,67,57,63,37,46,45,36,40,40,39,51,60,17,40,40,14,56,42,50,50,79,60,24,94,48,29,43,50,45,64,60,76,88,51,26,19,26,26,17,24,55,26,43,74,67,90,64,62,55,45,52,50,57,55,86,17,57,79,10,83,50,50,50,79,60,24,94,48,29,43,50,57,83,79,93,98,69,26,19,31,36,Eliteserien
Aalesund,3impprc048nbz39w05s18c6yt,6fx5r6dpx906j16pisv670pnt,P. Aukland,Philip Aukland,27.0,Defender,Norway,Defender,116.0,0.0,66.0,8.0,182.0,10.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,3.0,20.0,35.0,0.0,4.0,385.0,0.0,3.0,2.0,2.0,5.0,0.0,0.0,79.13,25.81,0.0,66.67,0.0,50.0,50.0,83.33,0.2664411900971524,0.0,0.0,8.0,0.16677338,3.0,9.0,10.0,0.24917686,113.0,27.11688311688312,0.0,15.428571428571429,1.87012987012987,42.54545454545455,2.3376623376623376,0.0,0.2337662337662337,0.4675324675324675,0.4675324675324675,0.0,0.0,0.7012987012987013,0.7012987012987013,4.675324675324675,8.181818181818182,0.0,0.935064935064935,0.0,0.7012987012987013,0.4675324675324675,0.4675324675324675,1.1688311688311688,0.0,0.0,79.13,25.81,0.0,66.67,0.0,50.0,50.0,83.33,0.0622849535292044,0.0,0.0,1.87012987012987,0.0389859849350649,0.7012987012987013,2.103896103896104,2.3376623376623376,0.0582491361038961,26.415584415584416,CB,29,36,15,19,22,30,42,30,31,40,27,18,58,57,24,55,39,19,21,22,18,65,39,40,51,9,12,36,77,21,19,29,88,37,12,29,47,45,46,14,17,20,31,37,36,23,28,29,57,42,40,45,52,27,18,75,75,54,98,39,43,21,32,34,83,74,40,51,9,12,36,77,21,19,29,88,55,12,29,74,65,78,23,22,26,51,Eliteserien
Aalesund,3impprc048nbz39w05s18c6yt,828b7y3phhpb62srvtrjhtgk4,I. Djantou,Ivan Djantou,24.0,Attacker,Cameroon,Striker,4.0,0.0,13.0,1.0,17.0,13.0,1.0,4.0,7.0,6.0,1.0,2.0,6.0,6.0,21.0,5.0,1.0,1.0,238.0,3.0,13.0,4.0,2.0,1.0,0.0,0.0,65.38,100.0,0.0,33.33,42.86,40.38,43.33,33.33,1.7091074199684484,0.2460700552503312,0.0,1.0,0.06442595,0.0,0.0,2.0,0.25305052,5.0,1.512605042016807,0.0,4.915966386554622,0.3781512605042016,6.428571428571429,4.915966386554622,0.3781512605042016,1.512605042016807,2.647058823529412,2.26890756302521,0.3781512605042016,0.7563025210084033,2.26890756302521,2.26890756302521,7.9411764705882355,1.8907563025210083,0.3781512605042016,0.3781512605042016,1.134453781512605,4.915966386554622,1.512605042016807,0.7563025210084033,0.3781512605042016,0.0,0.0,65.38,100.0,0.0,33.33,42.86,40.38,43.33,33.33,0.6463011251981527,0.0930517015652513,0.0,0.3781512605042016,0.0243627542016806,0.0,0.0,0.7563025210084033,0.0956913731092437,1.8907563025210083,ST,2,24,6,26,2,46,57,26,20,19,17,25,26,25,26,40,30,39,24,12,17,26,18,50,50,17,95,24,35,62,48,69,17,38,14,7,7,14,10,4,11,24,5,2,24,7,48,5,98,93,81,60,76,38,88,74,69,95,83,64,55,74,55,81,62,36,50,50,17,95,24,35,62,48,69,17,98,64,7,7,24,10,4,26,79,5,Eliteserien
Aalesund,3impprc048nbz39w05s18c6yt,9ekhc0uvcelk125lc64unr5zo,M. Andresen,Marius Andresen,26.0,Defender,Norway,Defender,62.0,5.0,76.0,10.0,133.0,23.0,1.0,10.0,13.0,11.0,2.0,4.0,4.0,4.0,51.0,26.0,0.0,5.0,561.0,1.0,27.0,10.0,2.0,15.0,0.0,0.0,67.17,32.26,29.41,50.0,7.69,53.68,52.27,93.75,1.2204873878577016,1.1712277695136712,4.0,10.0,0.3437188599999999,5.0,10.0,9.0,1.19521397,57.0,9.946524064171124,0.8021390374331551,12.192513368983958,1.60427807486631,21.336898395721924,3.6898395721925135,0.160427807486631,1.60427807486631,2.085561497326203,1.7647058823529411,0.320855614973262,0.6417112299465241,0.6417112299465241,0.6417112299465241,8.181818181818182,4.171122994652406,0.0,0.8021390374331551,0.160427807486631,4.331550802139037,1.60427807486631,0.320855614973262,2.406417112299465,0.0,0.0,67.17,32.26,29.41,50.0,7.69,53.68,52.27,93.75,0.1958001156990965,0.1878975031305355,0.6417112299465241,1.60427807486631,0.0551420631016042,0.8021390374331551,1.60427807486631,1.4438502673796791,0.1917455566844919,9.144385026737968,RB/RCB,17,54,21,29,17,88,67,56,81,88,46,81,29,29,50,42,31,31,40,75,65,35,46,38,52,4,29,50,67,29,42,58,100,79,67,77,29,50,40,17,12,46,12,4,71,4,38,4,92,88,92,100,96,79,92,46,42,88,71,31,42,58,96,88,50,83,38,52,4,29,50,67,29,42,58,100,96,83,96,50,83,46,12,8,71,12,Eliteserien
