Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total big chances saved_Total,total duels won_Total,total effective clearance_Total,total mins played,total was fouled_Total,total accurate cross_Total,total assists_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total goals_Total,total interception_Total,total ontarget attempt_Total,total touches in opposition box_Total,total won contest_Total,total won tackle_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total big chances saved_p90,total duels won_p90,total effective clearance_p90,total was fouled_p90,total accurate cross_p90,total assists_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total goals_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total won contest_p90,total won tackle_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total big chances saved_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total was fouled_TotalPR,total accurate cross_TotalPR,total assists_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total goals_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total big chances saved_p90PR,total duels won_p90PR,total effective clearance_p90PR,total was fouled_p90PR,total accurate cross_p90PR,total assists_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total goals_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total won contest_p90PR,total won tackle_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,2pdy64dhznfn9tu2ahy3ef5qt,B. Nowak,Bartosz Nowak,33,Midfielder,Poland,Midfielder,31.0,135.0,7.0,147.0,3.0,0.0,17.0,5.0,622.0,3.0,19.0,5.0,29.0,13.0,7.0,6.0,5.0,11.0,13.0,1.0,5.0,5.0,29.0,7.0,3.0,0.0,73.87,50.0,35.85,63.64,38.46,48.57,60.0,60.0,1.0346522178429476,3.036180900038622,6.0,16.0,0.50209403,7.0,10.0,25.0,1.8950769,72.0,4.485530546623794,19.53376205787781,1.012861736334405,21.270096463022508,0.4340836012861736,0.0,2.459807073954984,0.7234726688102894,0.4340836012861736,2.7491961414790995,0.7234726688102894,4.196141479099678,1.8810289389067525,1.012861736334405,0.8681672025723473,0.7234726688102894,1.5916398713826363,1.8810289389067525,0.1446945337620578,0.7234726688102894,0.7234726688102894,4.196141479099678,1.012861736334405,0.4340836012861736,0.0,73.87,50.0,35.85,63.64,38.46,48.57,60.0,60.0,0.1497085202666644,0.4393187797483536,0.8681672025723473,2.315112540192926,0.0726502615755626,1.012861736334405,1.4469453376205788,3.617363344051447,0.274207268488746,10.418006430868166,CM/AM,34,70,58,54,49,51,27,50,22,100,100,100,66,64,77,81,69,76,69,85,72,85,76,36,50,11,38,84,84,74,54,89,46,70,100,85,69,73,61,39,73,95,54,19,51,51,30,35,51,5,32,14,100,100,100,62,54,68,62,46,49,62,76,62,76,62,19,50,11,38,84,84,74,54,89,46,57,100,73,51,57,57,24,57,95,38,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,2vdsve6yhop4tq3hwqsv233hm,I. Shkurin,Ilya Shkurin,27,Attacker,Belarus,Striker,30.0,58.0,4.0,88.0,34.0,0.0,50.0,7.0,592.0,8.0,0.0,1.0,6.0,17.0,16.0,1.0,2.0,6.0,6.0,5.0,0.0,8.0,44.0,6.0,2.0,0.0,65.67,66.67,0.0,100.0,47.06,47.17,53.97,100.0,2.20982327310838,0.363286837967179,1.0,3.0,0.07893545,2.0,7.0,5.0,0.2282544899999999,27.0,4.560810810810811,8.817567567567568,0.6081081081081081,13.37837837837838,5.168918918918919,0.0,7.601351351351352,1.0641891891891893,1.2162162162162162,0.0,0.152027027027027,0.9121621621621622,2.58445945945946,2.4324324324324325,0.152027027027027,0.304054054054054,0.9121621621621622,0.9121621621621622,0.7601351351351352,0.0,1.2162162162162162,6.6891891891891895,0.9121621621621622,0.304054054054054,0.0,65.67,66.67,0.0,100.0,47.06,47.17,53.97,100.0,0.335952862465801,0.0552294179341995,0.152027027027027,0.4560810810810811,0.0120003217905405,0.304054054054054,1.0641891891891893,0.7601351351351352,0.0347008515202702,4.10472972972973,ST,80,73,91,74,100,50,94,76,68,29,86,71,73,88,29,18,52,48,95,20,88,95,80,62,52,36,76,29,94,91,70,82,89,82,55,23,36,24,56,73,55,48,65,55,58,79,61,100,50,100,52,45,29,82,42,39,55,21,12,33,30,94,20,67,82,67,48,52,36,76,29,94,91,70,82,89,58,33,12,21,15,52,67,36,30,48,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,4k6q76mgnuplycboirg98tzh1,A. Czerwiński,Alan Czerwinski,33,Defender,Poland,Defender,68.0,84.0,6.0,148.0,3.0,0.0,8.0,8.0,251.0,0.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,86.05,46.15,36.36,0.0,0.0,36.36,37.5,80.0,0.1388776752550395,0.5766023231299244,0.0,9.0,0.20651178,4.0,24.0,16.0,0.80103361,91.0,24.382470119521912,30.1195219123506,2.1513944223107573,53.06772908366534,1.0756972111553786,0.0,2.8685258964143427,2.8685258964143427,0.0,1.4342629482071714,0.3585657370517928,1.7928286852589643,0.7171314741035857,0.3585657370517928,0.3585657370517928,0.3585657370517928,0.0,0.0,0.0,0.3585657370517928,0.0,0.7171314741035857,0.0,1.4342629482071714,0.0,86.05,46.15,36.36,0.0,0.0,36.36,37.5,80.0,0.0497967759878627,0.2067498369788573,0.0,3.227091633466136,0.0740480486055776,1.4342629482071714,8.60557768924303,5.7370517928286855,0.2872232067729083,32.62948207171315,RB/RCB,38,48,42,42,40,42,13,17,6,85,87,77,48,48,63,79,10,10,46,8,33,13,13,35,52,62,67,92,13,33,8,31,88,46,88,29,54,54,56,85,58,73,42,77,92,69,85,54,42,19,38,6,96,100,96,69,65,73,96,10,10,46,8,33,31,13,73,52,62,67,92,13,33,8,31,88,65,96,29,85,85,88,100,96,96,81,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,4w0adddkbx4642lkebbcmxbzd,E. Marković,Eman Markovic,27,Midfielder,Norway,Midfielder,17.0,73.0,2.0,88.0,1.0,0.0,24.0,2.0,436.0,8.0,2.0,0.0,4.0,18.0,15.0,3.0,7.0,15.0,15.0,1.0,1.0,6.0,28.0,8.0,6.0,0.0,82.24,50.0,11.76,53.33,33.33,50.0,14.29,85.71,1.5814320066293348,0.274232894510685,5.0,14.0,0.3724295399999999,8.0,5.0,9.0,0.4068096199999999,45.0,3.5091743119266057,15.068807339449542,0.4128440366972477,18.1651376146789,0.2064220183486238,0.0,4.954128440366973,0.4128440366972477,1.651376146788991,0.4128440366972477,0.0,0.8256880733944955,3.7155963302752295,3.096330275229358,0.6192660550458716,1.444954128440367,3.096330275229358,3.096330275229358,0.2064220183486238,0.2064220183486238,1.2385321100917432,5.779816513761468,1.651376146788991,1.2385321100917432,0.0,82.24,50.0,11.76,53.33,33.33,50.0,14.29,85.71,0.3264423866895416,0.0566077075824808,1.0321100917431194,2.889908256880734,0.0768776573394495,1.651376146788991,1.0321100917431194,1.8577981651376148,0.0839744628440366,9.288990825688074,CM/AM,15,35,16,22,12,51,50,16,55,32,32,26,92,97,38,91,84,82,69,24,84,81,88,65,50,59,38,19,68,61,66,11,86,89,19,69,57,54,66,16,24,24,30,11,27,16,19,8,51,62,19,57,30,32,22,95,100,46,95,92,86,73,22,84,89,95,76,50,59,38,19,68,61,66,11,86,95,14,78,68,59,73,16,22,22,27,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,5b7b7r7i8p979803noj3wez11,B. Wolski,Bartosz Wolski,29,Midfielder,Poland,Midfielder,99.0,170.0,16.0,261.0,5.0,0.0,26.0,7.0,549.0,8.0,8.0,0.0,10.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,7.0,0.0,87.58,61.54,61.54,50.0,0.0,60.47,62.5,58.33,0.0933943415782443,0.9853424832361092,1.0,26.0,0.5811328099999999,11.0,44.0,45.0,1.94660723,172.0,16.229508196721312,27.868852459016395,2.6229508196721314,42.78688524590165,0.819672131147541,0.0,4.262295081967213,1.1475409836065575,1.3114754098360657,1.3114754098360657,0.0,1.639344262295082,0.3278688524590164,0.0,0.3278688524590164,0.1639344262295082,0.3278688524590164,0.3278688524590164,0.0,0.1639344262295082,0.0,0.1639344262295082,0.1639344262295082,1.1475409836065575,0.0,87.58,61.54,61.54,50.0,0.0,60.47,62.5,58.33,0.0153105477997121,0.1615315546288703,0.1639344262295082,4.262295081967213,0.0952676737704918,1.8032786885245904,7.213114754098361,7.377049180327869,0.3191159393442623,28.19672131147541,CM/AM,89,81,89,84,77,51,58,72,55,76,32,64,8,5,26,16,9,8,30,24,11,5,11,70,50,86,62,100,50,11,97,92,43,8,73,19,92,84,82,99,95,97,100,95,89,92,95,70,51,49,62,46,76,32,59,5,5,19,8,5,5,30,14,11,5,11,70,50,86,62,100,50,11,97,92,43,5,62,11,89,78,76,100,100,100,100,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,6mjhepo267xtrt1bqre1dsq8l,L. Klemenz,Lukas Klemenz,30,Defender,Poland,Defender,101.0,64.0,6.0,164.0,16.0,0.0,29.0,22.0,439.0,5.0,1.0,0.0,4.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,10.0,1.0,3.0,0.0,81.19,33.33,50.0,100.0,0.0,59.18,69.57,42.86,0.6231016740988999,0.0666363541485848,0.0,4.0,0.08778561,3.0,12.0,16.0,0.3018792099999999,92.0,20.70615034168565,13.120728929384963,1.2300683371298404,33.62186788154897,3.2801822323462413,0.0,5.945330296127562,4.5102505694760815,1.0250569476082003,0.20501138952164,0.0,0.8200455580865603,1.0250569476082003,1.0250569476082003,0.0,0.0,0.20501138952164,0.20501138952164,0.0,1.0250569476082003,0.0,2.0501138952164006,0.20501138952164,0.6150341685649202,0.0,81.19,33.33,50.0,100.0,0.0,59.18,69.57,42.86,0.1277429400202756,0.0136612115566574,0.0,0.8200455580865603,0.0179970498861047,0.6150341685649202,2.460136674259681,3.2801822323462413,0.0618886763097949,18.861047835990888,CB,30,32,22,28,64,46,66,29,76,76,38,84,66,71,32,25,45,41,35,50,22,70,62,49,51,15,16,88,89,22,60,75,19,72,38,30,42,42,68,42,54,32,30,25,38,25,28,80,46,90,32,82,82,38,88,75,80,32,25,48,42,35,60,22,75,65,45,51,15,16,88,89,22,60,75,19,80,38,30,45,50,65,45,55,32,22,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,8fgscsdgytvhw5y6mlthxtrdh,E. Jirka,Erik Jirka,28,Midfielder,Slovakia,Midfielder,38.0,76.0,5.0,109.0,5.0,0.0,22.0,11.0,423.0,2.0,5.0,0.0,3.0,7.0,2.0,5.0,2.0,8.0,8.0,0.0,8.0,1.0,13.0,5.0,5.0,0.0,69.43,25.0,33.33,62.5,14.29,42.31,45.45,50.0,0.4074731509393087,0.2684589905777373,4.0,9.0,0.19603813,5.0,16.0,22.0,0.8434535,69.0,8.085106382978724,16.170212765957448,1.0638297872340423,23.19148936170213,1.0638297872340423,0.0,4.680851063829787,2.3404255319148937,0.425531914893617,1.0638297872340423,0.0,0.6382978723404255,1.4893617021276595,0.425531914893617,1.0638297872340423,0.425531914893617,1.702127659574468,1.702127659574468,0.0,1.702127659574468,0.2127659574468085,2.7659574468085104,1.0638297872340423,1.0638297872340423,0.0,69.43,25.0,33.33,62.5,14.29,42.31,45.45,50.0,0.0866964150934699,0.057118934165476,0.851063829787234,1.9148936170212765,0.0417102404255319,1.0638297872340423,3.404255319148936,4.680851063829787,0.1794581914893616,14.680851063829786,RM/RCM,61,68,63,68,71,53,66,79,21,66,34,29,55,29,82,61,58,53,32,89,37,55,79,74,53,11,32,68,84,21,24,68,42,47,32,66,53,42,63,79,84,63,68,47,37,53,37,63,53,53,84,16,63,34,21,47,32,68,53,53,47,32,89,26,42,68,63,53,11,32,68,84,21,24,68,42,37,21,53,47,32,42,79,79,58,74,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,a0zpetflr8gttr03gfqjvxi39,Borja Galán,Borja Galán,33,Midfielder,Spain,Midfielder,22.0,44.0,4.0,64.0,4.0,0.0,11.0,5.0,246.0,5.0,2.0,1.0,3.0,5.0,3.0,2.0,2.0,5.0,6.0,0.0,1.0,1.0,12.0,1.0,1.0,0.0,78.05,50.0,25.0,20.0,20.0,47.83,66.67,100.0,0.3108766420885634,0.3125189116582111,3.0,3.0,0.13625122,2.0,2.0,6.0,0.5115172499999999,23.0,8.048780487804878,16.097560975609756,1.4634146341463414,23.414634146341463,1.4634146341463414,0.0,4.024390243902439,1.829268292682927,1.829268292682927,0.7317073170731707,0.3658536585365853,1.0975609756097562,1.829268292682927,1.0975609756097562,0.7317073170731707,0.7317073170731707,1.829268292682927,2.1951219512195124,0.0,0.3658536585365853,0.3658536585365853,4.390243902439025,0.3658536585365853,0.3658536585365853,0.0,78.05,50.0,25.0,20.0,20.0,47.83,66.67,100.0,0.1137353568616695,0.1143361871920284,1.0975609756097562,1.0975609756097562,0.0498480073170731,0.7317073170731707,0.7317073170731707,2.1951219512195124,0.1871404573170731,8.414634146341463,LM/LCM,34,19,53,19,62,47,16,53,38,44,72,22,31,31,53,56,19,19,22,12,28,38,16,19,53,38,59,78,16,34,38,91,100,12,25,53,6,12,25,19,19,31,19,62,62,81,62,78,47,19,81,75,75,94,38,56,62,56,78,25,31,22,31,38,75,25,19,53,38,59,78,16,34,38,91,100,31,38,69,12,25,38,19,44,81,50,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,ah6vnv6ucqsj05pj9ofmmfhlh,M. Wdowiak,Mateusz Wdowiak,30,Midfielder,Poland,Midfielder,33.0,64.0,4.0,92.0,3.0,0.0,15.0,8.0,296.0,3.0,5.0,0.0,8.0,8.0,5.0,3.0,3.0,7.0,7.0,0.0,2.0,1.0,14.0,4.0,2.0,0.0,88.46,50.0,55.56,57.14,12.5,44.12,30.0,40.0,0.6212151296294832,0.7755135515737401,4.0,15.0,0.4679972099999999,4.0,2.0,8.0,1.18666101,30.0,10.033783783783784,19.45945945945946,1.2162162162162162,27.97297297297297,0.9121621621621622,0.0,4.560810810810811,2.4324324324324325,0.9121621621621622,1.5202702702702704,0.0,2.4324324324324325,2.4324324324324325,1.5202702702702704,0.9121621621621622,0.9121621621621622,2.1283783783783785,2.1283783783783785,0.0,0.6081081081081081,0.304054054054054,4.256756756756757,1.2162162162162162,0.6081081081081081,0.0,88.46,50.0,55.56,57.14,12.5,44.12,30.0,40.0,0.1888829786035591,0.2357980393298534,1.2162162162162162,4.560810810810811,0.1422964489864864,1.2162162162162162,0.6081081081081081,2.4324324324324325,0.3608090908783783,9.121621621621625,RM/RCM,47,47,55,50,45,53,26,63,37,66,34,74,63,71,47,76,45,42,32,34,37,66,63,24,53,95,74,95,79,16,47,42,18,63,74,66,76,79,42,18,39,79,24,68,58,58,68,58,53,47,89,47,74,34,84,74,84,58,74,58,58,32,37,47,79,79,26,53,95,74,95,79,16,47,42,18,74,84,74,89,84,63,16,42,95,26,Ekstraklasa
GKS Katowice,e4282tj4jnq8h2to6sjr08jl,b8fc8pgvumh4uonerj9ld82qx,M. Wasielewski,Marcin Wasielewski,32,Defender,Poland,Defender,28.0,50.0,1.0,76.0,2.0,0.0,12.0,6.0,280.0,5.0,2.0,0.0,3.0,5.0,5.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,8.0,1.0,4.0,0.0,79.17,14.29,33.33,100.0,20.0,42.86,40.0,100.0,0.4604764121995375,0.3179959638457152,2.0,7.0,0.18407545,1.0,3.0,5.0,0.2444878599999999,22.0,9.0,16.07142857142857,0.3214285714285714,24.428571428571427,0.6428571428571428,0.0,3.857142857142857,1.9285714285714288,1.6071428571428572,0.6428571428571428,0.0,0.9642857142857144,1.6071428571428572,1.6071428571428572,0.0,0.6428571428571428,0.3214285714285714,0.6428571428571428,0.0,0.3214285714285714,0.3214285714285714,2.571428571428571,0.3214285714285714,1.2857142857142856,0.0,79.17,14.29,33.33,100.0,20.0,42.86,40.0,100.0,0.1480102753498513,0.1022129883789799,0.6428571428571428,2.25,0.0591671089285714,0.3214285714285714,0.9642857142857144,1.6071428571428572,0.0785853835714285,7.071428571428571,CB,4,22,4,8,6,46,22,2,76,91,38,72,66,71,32,86,45,68,35,5,57,60,62,60,51,10,2,78,89,57,18,22,94,65,78,90,69,75,39,8,10,20,8,5,60,2,10,8,46,45,2,98,95,38,92,92,95,32,100,68,85,35,8,82,85,82,95,51,10,2,78,89,57,18,22,94,88,95,98,90,95,52,10,18,50,8,Ekstraklasa
