Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate pass_Total,total duels won_Total,total mins played,total touches in opposition box_Total,total accurate long balls_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total effective clearance_Total,total goals_Total,total ontarget attempt_Total,total was fouled_Total,total won contest_Total,total interception_Total,total won tackle_Total,total assists_Total,total big chances saved_Total,total accurate cross_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate pass_p90,total duels won_p90,total touches in opposition box_p90,total accurate long balls_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total effective clearance_p90,total goals_p90,total ontarget attempt_p90,total was fouled_p90,total won contest_p90,total interception_p90,total won tackle_p90,total assists_p90,total big chances saved_p90,total accurate cross_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate pass_TotalPR,total duels won_TotalPR,total touches in opposition box_TotalPR,total accurate long balls_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total interception_TotalPR,total won tackle_TotalPR,total assists_TotalPR,total big chances saved_TotalPR,total accurate cross_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate pass_p90PR,total duels won_p90PR,total touches in opposition box_p90PR,total accurate long balls_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total effective clearance_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total was fouled_p90PR,total won contest_p90PR,total interception_p90PR,total won tackle_p90PR,total assists_p90PR,total big chances saved_p90PR,total accurate cross_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,1lyedukw5k3tit02e25631m21,C. Kahraman,Cihan Kahraman,27.0,Midfielder,Türkiye,Midfielder,46.0,60.0,100.0,15.0,422.0,3.0,4.0,1.0,7.0,3.0,1.0,2.0,0.0,11.0,12.0,3.0,0.0,1.0,5.0,6.0,5.0,3.0,2.0,0.0,6.0,81.97,44.44,46.15,54.55,33.33,36.59,16.67,100.0,0.2030971420860206,0.824980033799352,2.0,9.0,0.19828285,5.0,9.0,12.0,0.22534565,49.0,9.81042654028436,12.796208530805687,21.32701421800948,3.199052132701422,0.6398104265402843,0.8530805687203791,0.2132701421800947,1.4928909952606635,0.6398104265402843,0.2132701421800947,0.4265402843601895,0.0,2.3459715639810423,2.559241706161137,0.6398104265402843,0.0,0.2132701421800947,1.066350710900474,1.2796208530805686,1.066350710900474,0.6398104265402843,0.4265402843601895,0.0,1.2796208530805686,81.97,44.44,46.15,54.55,33.33,36.59,16.67,100.0,0.0433145563690565,0.1759436091041272,0.4265402843601895,1.919431279620853,0.0422878116113744,1.066350710900474,1.919431279620853,2.559241706161137,0.0480594988151658,10.450236966824644,CM/AM,60,48,48,30,18,52,18,76,24,22,44,16,74,76,52,26,30,34,80,90,34,94,52,84,56,36,92,72,46,16,22,94,20,76,46,72,64,70,48,54,12,50,44,36,32,16,12,44,16,68,20,16,36,16,64,64,52,26,28,24,76,84,20,88,52,84,56,36,92,72,46,16,22,94,16,84,40,60,52,60,44,48,8,48,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,1xfp8m5avfbrw5xsbi5n34ep6,N. Michelis,Nikos Michelis,25.0,Defender,Greece,Defender,206.0,43.0,249.0,16.0,399.0,4.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,86.16,43.59,0.0,0.0,0.0,64.0,62.5,100.0,0.1271325877516834,0.0,0.0,2.0,0.03085409,0.0,6.0,10.0,0.24806955,127.0,46.46616541353383,9.699248120300751,56.16541353383458,3.609022556390977,0.9022556390977444,3.834586466165413,2.255639097744361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.24812030075188,0.0,0.0,0.4511278195488721,0.0,0.9022556390977444,0.9022556390977444,0.0,0.0,0.0,86.16,43.59,0.0,0.0,0.0,64.0,62.5,100.0,0.0286765235530112,0.0,0.0,0.4511278195488721,0.0069595691729323,0.0,1.3533834586466165,2.255639097744361,0.0559555375939849,28.64661654135338,CB,55,12,41,31,54,47,57,15,15,16,34,36,15,15,88,39,30,45,16,39,50,46,43,35,41,38,35,16,30,78,64,93,38,18,36,34,30,23,19,28,27,41,86,19,70,41,68,57,62,15,15,16,34,36,15,15,97,39,30,51,16,59,65,46,43,35,41,38,35,16,30,78,64,93,43,18,36,35,30,23,16,35,27,46,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,5fuhsuoevtbczleyh6aqmqne,A. Correia,Anthony Correia,27.0,Defender,France,Defender,248.0,56.0,304.0,9.0,540.0,5.0,37.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,88.12,57.81,0.0,0.0,0.0,37.5,50.0,100.0,0.1168576523631789,0.1806638848676391,0.0,5.0,0.0918052,0.0,14.0,14.0,0.3109977699999998,175.0,41.333333333333336,9.333333333333334,50.66666666666666,1.5,0.8333333333333334,6.166666666666667,1.1666666666666667,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,88.12,57.81,0.0,0.0,0.0,37.5,50.0,100.0,0.0194762753938631,0.0301106474779398,0.0,0.8333333333333334,0.0153008666666666,0.0,2.333333333333333,2.333333333333333,0.0518329616666666,29.166666666666668,CB,85,24,65,5,68,96,28,39,35,43,34,36,15,15,69,39,30,22,16,4,15,96,92,35,57,81,35,16,30,3,31,93,32,76,36,62,62,23,46,41,35,57,73,14,51,5,62,93,26,34,31,35,34,36,15,15,51,39,30,14,16,3,11,93,89,35,57,81,35,16,30,3,31,93,30,70,36,58,57,23,41,38,24,49,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,8fzz4hjjxl92oeyuad60nkmj8,Gustavo Costa,Gustavo Abreu Costa,21.0,Defender,Portugal,Defender,82.0,39.0,121.0,16.0,264.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,9.0,0.0,0.0,3.0,1.0,5.0,4.0,0.0,0.0,0.0,80.67,44.44,0.0,25.0,0.0,76.19,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.954545454545457,13.295454545454549,41.25,5.454545454545455,0.0,2.7272727272727275,2.0454545454545454,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,1.7045454545454546,3.0681818181818183,0.0,0.0,1.0227272727272727,0.3409090909090909,1.7045454545454546,1.3636363636363638,0.0,0.0,0.0,80.67,44.44,0.0,25.0,0.0,76.19,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LB/LCB,58,21,47,47,13,71,79,16,16,32,24,34,42,53,42,45,34,50,32,68,45,42,50,13,42,50,13,42,34,100,11,53,16,16,24,18,18,18,13,13,13,13,100,42,89,89,13,84,89,16,16,32,24,34,53,71,58,45,34,79,47,89,68,42,50,13,42,50,13,42,34,100,11,53,16,16,24,18,18,18,13,13,13,13,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,8yuez76ecj9uhh9m4k2llf5gq,S. Messeguem,Soufiane Messeguem,25.0,Midfielder,Germany,Midfielder,36.0,48.0,81.0,23.0,529.0,10.0,7.0,2.0,6.0,4.0,1.0,3.0,2.0,9.0,10.0,7.0,1.0,2.0,11.0,2.0,3.0,4.0,0.0,0.0,3.0,70.43,58.33,23.08,22.22,50.0,38.33,25.0,50.0,0.5059494029159762,0.6341373171031855,2.0,3.0,0.09637719,2.0,7.0,5.0,0.4422444399999999,39.0,6.12476370510397,8.166351606805293,13.78071833648393,3.913043478260869,1.7013232514177692,1.1909262759924384,0.3402646502835538,1.0207939508506616,0.6805293005671077,0.1701323251417769,0.5103969754253308,0.3402646502835538,1.5311909262759924,1.7013232514177692,1.1909262759924384,0.1701323251417769,0.3402646502835538,1.8714555765595464,0.3402646502835538,0.5103969754253308,0.6805293005671077,0.0,0.0,0.5103969754253308,70.43,58.33,23.08,22.22,50.0,38.33,25.0,50.0,0.0860783483221887,0.1078872562179332,0.3402646502835538,0.5103969754253308,0.0163968754253308,0.3402646502835538,1.1909262759924384,0.8506616257088846,0.075240074858223,6.6351606805293,CM/AM,40,32,32,64,48,70,34,62,40,22,66,66,68,68,92,72,48,84,40,74,54,30,52,60,8,60,56,28,70,24,32,24,52,64,46,20,32,34,40,18,56,36,12,8,8,28,28,64,28,36,24,8,44,48,40,40,84,54,36,64,32,64,32,30,52,60,8,60,56,28,70,24,32,24,36,52,28,8,12,24,24,8,24,16,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,90ih1zcj54pxfn0jf1l3hhv4l,Luís Silva,Luís Manuel Costa Silva,33.0,Midfielder,Portugal,Midfielder,70.0,40.0,110.0,10.0,249.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,85.94,41.67,0.0,0.0,0.0,41.67,40.0,75.0,0.1669471315206145,0.0444416961367068,0.0,3.0,0.05791296,0.0,11.0,10.0,0.25090506,59.0,25.30120481927711,14.457831325301203,39.75903614457832,3.614457831325301,0.3614457831325301,1.8072289156626504,0.7228915662650602,0.3614457831325301,0.7228915662650602,0.3614457831325301,0.3614457831325301,0.0,0.3614457831325301,0.3614457831325301,2.5301204819277108,0.0,0.0,1.4457831325301205,0.0,1.0843373493975903,1.0843373493975903,0.0,0.0,0.0,85.94,41.67,0.0,0.0,0.0,41.67,40.0,75.0,0.060342336694198,0.0160632636638699,0.0,1.0843373493975903,0.0209323951807228,0.0,3.975903614457832,3.614457831325301,0.0906885759036144,21.32530120481928,DM/CM,52,21,33,11,30,30,33,21,38,56,38,25,17,17,55,44,26,44,12,27,36,42,50,31,43,21,31,12,26,12,33,76,52,17,15,32,26,11,43,36,38,38,74,40,62,21,35,52,36,26,50,63,48,25,23,23,76,44,26,62,12,40,45,42,50,31,43,21,31,12,26,12,33,76,60,24,15,45,40,11,60,60,52,67,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,a9f7xwldytd5pztz8r1ymmyhg,L. Gohi,Lorougnon Gohi,22.0,Attacker,Côte d'Ivoire,Striker,14.0,34.0,44.0,22.0,257.0,8.0,3.0,2.0,6.0,5.0,4.0,1.0,1.0,11.0,11.0,5.0,1.0,2.0,6.0,7.0,0.0,6.0,0.0,0.0,4.0,70.97,42.86,44.44,63.64,40.0,52.38,50.0,85.71,0.3656945591681845,0.6138013646042695,2.0,9.0,0.25999048,2.0,3.0,11.0,0.9578179199999998,23.0,4.90272373540856,11.906614785992218,15.408560311284049,7.704280155642023,2.801556420233463,1.050583657587549,0.7003891050583657,2.1011673151750974,1.7509727626459144,1.4007782101167314,0.3501945525291828,0.3501945525291828,3.852140077821012,3.852140077821012,1.7509727626459144,0.3501945525291828,0.7003891050583657,2.1011673151750974,2.45136186770428,0.0,2.1011673151750974,0.0,0.0,1.4007782101167314,70.97,42.86,44.44,63.64,40.0,52.38,50.0,85.71,0.1280642425102591,0.2149498942193939,0.7003891050583657,3.151750972762646,0.0910472498054474,0.7003891050583657,1.050583657587549,3.852140077821012,0.3354226178988326,8.054474708171206,ST,29,43,32,62,18,65,24,65,18,25,37,34,79,75,79,41,26,43,88,18,85,29,51,87,38,37,94,85,49,79,79,71,15,74,51,81,74,50,44,91,94,66,62,76,68,85,24,82,35,85,41,38,53,41,88,85,94,56,38,79,97,18,100,29,51,94,38,37,94,85,49,79,79,71,21,91,62,94,91,60,68,94,97,88,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,bd0g0d91h9zyiyk8mktnmfpt6,Á. Zamora,Álvaro Zamora,24.0,Attacker,Costa Rica,Striker,23.0,30.0,53.0,8.0,229.0,5.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,72.6,37.5,0.0,0.0,50.0,40.0,66.67,0.0,0.1505223779616559,0.077450912720478,1.0,2.0,0.03992476,1.0,6.0,7.0,0.14656743,17.0,9.039301310043667,11.790393013100438,20.829694323144107,3.14410480349345,1.9650655021834065,1.1790393013100438,0.7860262008733625,0.3930131004366812,0.7860262008733625,0.7860262008733625,0.0,0.0,0.3930131004366812,1.1790393013100438,0.0,0.0,0.3930131004366812,2.3580786026200875,0.0,0.7860262008733625,0.0,0.0,0.0,0.0,72.6,37.5,0.0,0.0,50.0,40.0,66.67,0.0,0.0591572664478123,0.0304392233399258,0.3930131004366812,0.7860262008733625,0.0156909537117903,0.3930131004366812,2.3580786026200875,2.7510917030567685,0.0576029200873362,6.681222707423581,LW,56,11,33,11,11,44,67,11,11,17,11,11,11,11,17,33,11,50,11,67,11,28,56,17,33,44,17,11,78,22,100,11,11,11,17,17,11,39,50,39,11,28,78,33,67,22,11,78,78,11,11,22,11,11,11,11,17,33,22,78,11,78,11,28,56,17,33,44,17,11,78,22,100,11,11,11,22,22,11,44,78,67,22,44,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,bozw8m0wz31bzaa7jyktg3cic,João Guilherme,João Guilherme de Sousa Crispim,25.0,Midfielder,Brazil,Midfielder,46.0,52.0,95.0,49.0,524.0,20.0,0.0,14.0,3.0,14.0,9.0,5.0,3.0,15.0,17.0,5.0,1.0,2.0,16.0,7.0,1.0,9.0,0.0,0.0,3.0,77.24,0.0,50.0,46.67,14.29,56.32,46.67,75.0,1.3266735476335418,0.2738061817353837,4.0,8.0,0.26213913,3.0,3.0,4.0,0.38286927,24.0,7.900763358778626,8.931297709923664,16.316793893129773,8.416030534351146,3.435114503816794,0.0,2.404580152671756,0.5152671755725191,2.404580152671756,1.545801526717557,0.8587786259541985,0.5152671755725191,2.576335877862596,2.9198473282442747,0.8587786259541985,0.1717557251908397,0.3435114503816794,2.748091603053436,1.202290076335878,0.1717557251908397,1.545801526717557,0.0,0.0,0.5152671755725191,77.24,0.0,50.0,46.67,14.29,56.32,46.67,75.0,0.227863777265303,0.0470277793056956,0.6870229007633588,1.3740458015267176,0.0450238963740458,0.5152671755725191,0.5152671755725191,0.6870229007633588,0.0657599891221374,4.122137404580153,RM/RCM,86,43,57,100,71,21,100,43,100,100,86,71,57,57,93,93,79,86,43,57,100,43,57,64,43,21,100,57,57,86,71,86,100,29,71,43,43,43,43,29,29,29,43,14,43,86,71,21,100,14,100,86,57,57,29,43,86,86,57,71,29,29,86,43,57,57,43,21,100,57,57,86,71,86,100,14,43,14,29,29,14,14,14,14,Liga Portugal
Académico de Viseu,e7u3mygqhm9cwdarcsm03t6d1,cczre91rv404v648514qs00es,Alejandro Mestanza,Alejandro Mestanza,21.0,Midfielder,Spain,Midfielder,58.0,46.0,103.0,24.0,251.0,5.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,9.0,9.0,1.0,0.0,0.0,7.0,5.0,2.0,7.0,0.0,0.0,1.0,85.83,57.14,50.0,55.56,0.0,63.16,75.0,77.78,0.5881057138845441,0.3168040650780512,2.0,5.0,0.14213674,2.0,7.0,5.0,0.15098076,59.0,20.796812749003983,16.49402390438247,36.932270916334666,8.60557768924303,1.7928286852589643,1.4342629482071714,1.0756972111553786,1.0756972111553786,1.4342629482071714,0.7171314741035857,0.7171314741035857,0.3585657370517928,3.227091633466136,3.227091633466136,0.3585657370517928,0.0,0.0,2.50996015936255,1.7928286852589643,0.7171314741035857,2.50996015936255,0.0,0.0,0.3585657370517928,85.83,57.14,50.0,55.56,0.0,63.16,75.0,77.78,0.2108745587633823,0.1135950830957155,0.7171314741035857,1.7928286852589643,0.050965364940239,0.7171314741035857,2.50996015936255,1.7928286852589643,0.0541365274900398,21.155378486055778,DM/CM,30,27,24,69,83,21,43,62,69,79,63,67,93,92,6,44,26,83,87,20,79,42,50,73,40,57,89,55,26,86,87,83,93,71,70,56,62,55,23,17,17,38,62,55,55,98,93,36,55,76,90,90,79,79,100,100,5,44,26,95,100,21,93,42,50,86,40,57,89,55,26,86,87,83,95,90,81,81,83,64,33,21,33,64,Liga Portugal
