Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total goals_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won tackle_Total,total assists_Total,total interception_Total,total accurate cross_Total,total won contest_Total,total big chances saved_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total goals_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won tackle_p90,total assists_p90,total interception_p90,total accurate cross_p90,total won contest_p90,total big chances saved_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won tackle_TotalPR,total assists_TotalPR,total interception_TotalPR,total accurate cross_TotalPR,total won contest_TotalPR,total big chances saved_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won tackle_p90PR,total assists_p90PR,total interception_p90PR,total accurate cross_p90PR,total won contest_p90PR,total big chances saved_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Aberdeen,841zp0njrq63yv4fvw6lgf60q,4bu2v4f3cdx0hxdxo23q1aoa2,N. Guinness-Walker,Nesta Guinness-Walker,27.0,Defender,England,Defender,58.0,67.0,8.0,120.0,7.0,3.0,2.0,0.0,2.0,0.0,16.0,16.0,36.0,18.0,0.0,427.0,1.0,2.0,10.0,5.0,0.0,7.0,5.0,9.0,0.0,77.42,42.11,26.32,56.25,50.0,64.29,53.85,50.0,0.0765599785519563,0.3537329493302993,2.0,9.0,0.20098777,1.0,14.0,19.0,1.29452945,58.0,12.224824355971895,14.121779859484777,1.6861826697892273,25.292740046838407,1.475409836065574,0.6323185011709602,0.4215456674473068,0.0,0.4215456674473068,0.0,3.3723653395784545,3.3723653395784545,7.587822014051522,3.793911007025761,0.0,0.2107728337236534,0.4215456674473068,2.107728337236534,1.053864168618267,0.0,1.475409836065574,1.053864168618267,1.8969555035128804,0.0,77.42,42.11,26.32,56.25,50.0,64.29,53.85,50.0,0.0161367636292179,0.0745572961117726,0.4215456674473068,1.8969555035128804,0.0423627618266978,0.2107728337236534,2.950819672131148,4.004683840749414,0.2728516405152225,12.224824355971895,LB/LCB,17,50,75,17,62,46,46,25,92,33,100,100,100,58,46,71,33,100,83,42,83,62,100,54,33,83,62,67,88,83,42,42,42,50,88,83,83,25,67,75,92,25,17,42,42,25,33,42,50,25,92,33,100,100,100,42,46,83,33,100,75,42,83,58,100,54,33,83,62,67,88,83,42,42,42,42,83,67,67,25,58,67,83,17,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,4w3ipvncxgip8rxi2sf0l971l,K. Nisbet,Kevin Nisbet,29.0,Attacker,Scotland,Striker,11.0,20.0,0.0,31.0,7.0,2.0,9.0,6.0,3.0,4.0,4.0,4.0,13.0,7.0,1.0,360.0,2.0,16.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,62.0,0.0,0.0,50.0,22.22,38.24,35.0,0.0,0.8876039432923649,0.0380243252275875,1.0,1.0,0.10805102,0.0,3.0,6.0,0.1650638699999999,17.0,2.75,5.0,0.0,7.75,1.75,0.5,2.25,1.5,0.75,1.0,1.0,1.0,3.25,1.75,0.25,0.5,4.0,1.0,0.0,0.25,0.0,0.0,0.5,0.0,62.0,0.0,0.0,50.0,22.22,38.24,35.0,0.0,0.2219009858230912,0.0095060813068968,0.25,0.25,0.027012755,0.0,0.75,1.5,0.0412659674999999,4.25,ST,21,18,18,14,73,21,39,45,70,73,36,34,30,88,54,34,48,38,16,77,27,27,43,50,7,18,27,64,25,43,54,16,50,4,43,9,34,12,43,61,36,57,21,7,18,7,64,14,36,29,64,61,25,25,21,79,39,25,43,23,16,71,27,27,46,50,7,18,27,64,25,43,54,16,32,4,39,4,25,12,36,54,25,39,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,77flvpigla5xf7spyu6trwo2x,D. Happe,Dan Happe,27.0,Defender,England,Defender,126.0,54.0,15.0,180.0,19.0,1.0,6.0,6.0,0.0,1.0,0.0,0.0,25.0,36.0,0.0,360.0,2.0,12.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,84.51,46.88,0.0,0.0,33.33,73.53,86.36,50.0,0.7066236463952368,0.0417157340525691,0.0,0.0,0.0,0.0,12.0,11.0,0.3424372299999999,118.0,31.5,13.5,3.75,45.0,4.75,0.25,1.5,1.5,0.0,0.25,0.0,0.0,6.25,9.0,0.0,0.5,3.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,84.51,46.88,0.0,0.0,33.33,73.53,86.36,50.0,0.1766559115988092,0.0104289335131422,0.0,0.0,0.0,0.0,3.0,2.75,0.0856093074999999,29.5,CB,27,41,75,23,73,39,91,91,39,73,20,18,73,68,41,86,91,43,32,48,45,45,23,45,45,73,45,23,73,91,100,27,91,32,39,7,7,18,34,36,36,32,36,36,86,32,77,45,100,100,39,75,20,18,68,86,41,91,100,45,34,48,50,45,23,45,45,73,45,23,73,91,100,27,100,36,39,7,7,18,50,36,32,36,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,8a3sqpvhe5l3dcez6r4vvbjhm,A. Aremu,Afeez Aremu,26.0,Midfielder,Nigeria,Midfielder,74.0,73.0,9.0,147.0,2.0,1.0,1.0,0.0,1.0,0.0,4.0,4.0,23.0,5.0,0.0,343.0,0.0,0.0,6.0,8.0,0.0,6.0,0.0,2.0,0.0,83.52,64.29,0.0,50.0,0.0,51.11,28.57,61.54,0.0452763982208466,0.0488156519971067,1.0,5.0,0.10343615,3.0,19.0,21.0,0.3828852900000001,69.0,19.41690962099125,19.15451895043732,2.361516034985423,38.57142857142858,0.5247813411078718,0.2623906705539359,0.2623906705539359,0.0,0.2623906705539359,0.0,1.0495626822157436,1.0495626822157436,6.034985422740525,1.3119533527696794,0.0,0.0,0.0,1.5743440233236152,2.099125364431487,0.0,1.5743440233236152,0.0,0.5247813411078718,0.0,83.52,64.29,0.0,50.0,0.0,51.11,28.57,61.54,0.0118801044894349,0.0128087716610484,0.2623906705539359,1.3119533527696794,0.0271406807580174,0.7871720116618076,4.985422740524782,5.510204081632653,0.1004655279883382,18.10495626822157,DM/CM,46,48,65,42,17,6,10,17,27,15,35,29,58,42,42,25,8,65,69,48,62,29,56,52,42,88,29,69,25,54,19,33,8,4,42,42,33,52,58,71,33,42,46,42,62,46,17,8,12,17,25,15,46,33,71,46,42,25,8,67,71,48,79,29,58,52,42,88,29,69,25,54,19,33,8,4,38,54,46,62,67,88,50,42,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,99h9xs07yghgz8erbeysxdec,T. Yogane,Tony Yogane,20.0,Attacker,England,Striker,6.0,16.0,0.0,22.0,3.0,0.0,3.0,1.0,2.0,2.0,7.0,8.0,18.0,0.0,0.0,208.0,0.0,1.0,7.0,2.0,0.0,4.0,0.0,5.0,0.0,70.97,0.0,0.0,71.43,0.0,64.29,37.5,66.67,0.1687215389838727,0.0,2.0,3.0,0.08671031,4.0,1.0,2.0,0.041926,5.0,2.5961538461538463,6.923076923076923,0.0,9.51923076923077,1.2980769230769231,0.0,1.2980769230769231,0.4326923076923077,0.8653846153846154,0.8653846153846154,3.028846153846154,3.4615384615384617,7.788461538461539,0.0,0.0,0.0,0.4326923076923077,3.028846153846154,0.8653846153846154,0.0,1.7307692307692308,0.0,2.1634615384615388,0.0,70.97,0.0,0.0,71.43,0.0,64.29,37.5,66.67,0.0730045120603295,0.0,0.8653846153846154,1.2980769230769231,0.0375188841346153,1.7307692307692308,0.4326923076923077,0.8653846153846154,0.0181410576923076,2.1634615384615388,LM/LCM,25,25,25,25,50,25,38,25,50,50,25,25,25,25,50,38,25,88,25,50,75,38,50,62,25,25,38,100,38,75,50,75,50,25,50,25,25,75,25,25,25,25,25,25,25,25,100,25,50,50,75,75,75,75,75,25,50,38,25,100,25,50,75,38,75,62,25,25,38,100,38,75,50,75,50,25,75,50,50,100,25,25,25,25,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,9coe01drgpmlz3ee9qfond815,L. Mayo,Lewis Mayo,26.0,Defender,Scotland,Defender,121.0,48.0,9.0,169.0,13.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,18.0,43.0,1.0,424.0,2.0,4.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,84.08,36.0,0.0,0.0,66.67,64.29,81.25,50.0,0.4686685365170094,0.0,0.0,1.0,0.01685596,0.0,13.0,11.0,0.30285397,105.0,25.683962264150946,10.18867924528302,1.910377358490566,35.87264150943396,2.759433962264151,0.0,0.6367924528301887,0.6367924528301887,0.0,0.0,0.0,0.0,3.820754716981132,9.127358490566037,0.2122641509433962,0.4245283018867924,0.8490566037735848,0.2122641509433962,0.4245283018867924,0.0,1.0613207547169812,0.0,0.0,0.0,84.08,36.0,0.0,0.0,66.67,64.29,81.25,50.0,0.099481528977667,0.0,0.0,0.2122641509433962,0.0035779160377358,0.0,2.759433962264151,2.3349056603773586,0.0642850408018867,22.2877358490566,CB,20,27,25,18,52,14,61,73,39,30,20,18,34,80,91,86,45,20,32,48,64,45,23,45,36,23,45,23,93,45,82,27,77,16,39,25,14,18,48,36,27,18,9,14,23,14,41,14,59,68,39,30,20,18,27,91,95,86,41,23,27,48,64,45,23,45,36,23,45,23,93,45,82,27,77,16,39,32,23,18,45,23,18,18,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,axnmil0bg1giwhoa31tks7ljp,S. Armstrong,Stuart Armstrong,34.0,Midfielder,Scotland,Midfielder,90.0,122.0,11.0,204.0,1.0,10.0,3.0,0.0,3.0,0.0,7.0,7.0,14.0,5.0,0.0,332.0,1.0,8.0,5.0,3.0,0.0,2.0,8.0,1.0,0.0,87.55,52.38,29.63,14.29,33.33,43.75,25.0,42.86,0.1899048478207144,1.1162247145599096,2.0,10.0,0.2412537799999999,9.0,28.0,31.0,0.8386320900000002,123.0,24.397590361445783,33.0722891566265,2.9819277108433733,55.3012048192771,0.2710843373493976,2.710843373493976,0.8132530120481927,0.0,0.8132530120481927,0.0,1.897590361445783,1.897590361445783,3.795180722891566,1.355421686746988,0.0,0.2710843373493976,2.1686746987951806,1.355421686746988,0.8132530120481927,0.0,0.5421686746987951,2.1686746987951806,0.2710843373493976,0.0,87.55,52.38,29.63,14.29,33.33,43.75,25.0,42.86,0.0514802298309165,0.3025910370794935,0.5421686746987951,2.710843373493976,0.0654001210843373,2.439759036144578,7.590361445783132,8.403614457831324,0.2273400243975903,33.3433734939759,CM/AM,100,90,90,100,25,95,30,20,75,25,65,60,40,70,30,40,70,65,75,35,50,90,30,55,90,70,90,20,55,40,35,50,20,100,65,90,90,100,100,100,100,100,100,90,80,100,30,90,20,20,70,25,50,50,30,70,30,30,50,50,70,35,40,100,20,55,90,70,90,20,55,40,35,50,20,100,70,90,90,100,90,100,90,100,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,cs5ejx87ge8am8ir8w0lj4wk5,C. Cadden,Chris Cadden,29.0,Defender,Scotland,Defender,61.0,61.0,4.0,121.0,5.0,0.0,6.0,4.0,2.0,3.0,5.0,7.0,17.0,18.0,0.0,433.0,1.0,12.0,2.0,6.0,0.0,3.0,1.0,0.0,0.0,72.46,33.33,5.26,0.0,16.67,43.59,41.67,60.0,0.5255329058930118,0.0,4.0,4.0,0.07864151,0.0,8.0,9.0,0.38638506,52.0,12.678983833718243,12.678983833718243,0.8314087759815243,25.150115473441108,1.039260969976905,0.0,1.2471131639722863,0.8314087759815243,0.4157043879907621,0.6235565819861432,1.039260969976905,1.4549653579676676,3.533487297921478,3.741339491916859,0.0,0.207852193995381,2.4942263279445727,0.4157043879907621,1.2471131639722863,0.0,0.6235565819861432,0.207852193995381,0.0,0.0,72.46,33.33,5.26,0.0,16.67,43.59,41.67,60.0,0.1092331675066306,0.0,0.8314087759815243,0.8314087759815243,0.0163458103926097,0.0,1.6628175519630486,1.8706697459584296,0.0803109824480369,10.808314087759817,RB/RCB,62,42,23,54,50,8,92,92,81,92,65,73,35,77,54,85,96,23,65,46,27,35,12,38,15,27,31,12,85,15,23,54,92,8,100,35,23,12,19,27,46,54,46,23,23,31,46,8,92,92,69,85,54,69,15,69,54,77,100,23,54,46,15,38,12,38,15,27,31,12,85,15,23,54,92,8,100,23,23,12,8,23,38,38,Premiership
Aberdeen,841zp0njrq63yv4fvw6lgf60q,eosd8dmfqtaol3dnkypyswn3d,T. Olusanya,Toyosi Olusanya,28.0,Attacker,England,Striker,5.0,32.0,0.0,35.0,3.0,5.0,1.0,1.0,0.0,0.0,4.0,4.0,17.0,1.0,0.0,357.0,0.0,13.0,8.0,5.0,0.0,0.0,2.0,1.0,0.0,76.09,0.0,66.67,25.0,0.0,32.69,23.08,100.0,0.134201474027886,0.4448855056697363,0.0,5.0,0.15913623,3.0,0.0,2.0,0.20036499,9.0,1.2605042016806722,8.067226890756302,0.0,8.823529411764705,0.7563025210084033,1.2605042016806722,0.2521008403361344,0.2521008403361344,0.0,0.0,1.0084033613445378,1.0084033613445378,4.285714285714286,0.2521008403361344,0.0,0.0,3.277310924369748,2.016806722689076,1.2605042016806722,0.0,0.0,0.5042016806722689,0.2521008403361344,0.0,76.09,0.0,66.67,25.0,0.0,32.69,23.08,100.0,0.0338323043767779,0.1121560098327066,0.0,1.2605042016806722,0.0401183773109243,0.7563025210084033,0.0,0.5042016806722689,0.0505121823529411,2.26890756302521,ST,4,48,18,30,41,52,4,4,12,11,36,34,48,20,18,4,36,86,93,32,27,66,21,50,71,18,95,23,4,25,29,95,4,64,18,57,57,70,9,16,43,16,4,36,18,11,36,46,4,4,12,11,29,29,39,18,18,4,25,82,86,32,27,68,21,50,71,18,95,23,4,25,29,95,4,54,18,46,50,68,9,14,36,11,Premiership
Celtic,dvnjvad3p09dugr79gktlrtll,2r893xoeuqhgoe2w2auhqb696,K. Høgh,Kasper Høgh,25.0,Attacker,Denmark,Striker,18.0,16.0,2.0,34.0,9.0,5.0,14.0,14.0,0.0,2.0,1.0,1.0,14.0,3.0,3.0,258.0,6.0,27.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,64.15,66.67,0.0,100.0,42.86,45.16,56.25,0.0,1.7722646282897048,0.4114844140142476,0.0,1.0,0.10805102,1.0,2.0,0.0,0.03650297,10.0,6.27906976744186,5.5813953488372094,0.6976744186046512,11.86046511627907,3.13953488372093,1.744186046511628,4.883720930232558,4.883720930232558,0.0,0.6976744186046512,0.3488372093023256,0.3488372093023256,4.883720930232558,1.0465116279069768,1.0465116279069768,2.0930232558139537,9.418604651162791,1.0465116279069768,0.0,0.0,0.3488372093023256,0.0,0.3488372093023256,0.0,64.15,66.67,0.0,100.0,42.86,45.16,56.25,0.0,0.618231847077804,0.1435410746561329,0.0,0.3488372093023256,0.0376922162790697,0.3488372093023256,0.6976744186046512,0.0,0.0127335941860465,3.488372093023256,ST,52,11,55,23,82,52,84,93,12,38,5,5,36,54,93,88,86,25,16,32,62,27,21,50,18,88,27,100,79,64,96,16,79,54,18,9,34,34,34,4,7,21,64,18,57,39,93,68,93,100,12,39,4,4,57,68,100,96,93,32,16,32,64,27,25,50,18,88,27,100,79,64,96,16,96,64,18,11,46,43,32,4,7,29,Premiership
