Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total attempt_Total,total attempts ibox_Total,total duels won_Total,total effective clearance_Total,total mins played,total touches in opposition box_Total,total won tackle_Total,total accurate cross_Total,total assists_Total,total att assist_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total goals_Total,total ontarget attempt_Total,total was fouled_Total,total won contest_Total,total interception_Total,total big chances saved_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total attempt_p90,total attempts ibox_p90,total duels won_p90,total effective clearance_p90,total touches in opposition box_p90,total won tackle_p90,total accurate cross_p90,total assists_p90,total att assist_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total goals_p90,total ontarget attempt_p90,total was fouled_p90,total won contest_p90,total interception_p90,total big chances saved_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total touches in opposition box_TotalPR,total won tackle_TotalPR,total accurate cross_TotalPR,total assists_TotalPR,total att assist_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total interception_TotalPR,total big chances saved_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total duels won_p90PR,total effective clearance_p90PR,total touches in opposition box_p90PR,total won tackle_p90PR,total accurate cross_p90PR,total assists_p90PR,total att assist_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total was fouled_p90PR,total won contest_p90PR,total interception_p90PR,total big chances saved_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Crvena zvezda,81lpho34qr3dad0xzalq0abja,2456sb5oj15equsuu5npj43my,Tomás Händel,Tomás Romano Pereira dos Santos Händel,25.0,Midfielder,Portugal,Midfielder,32.0,87.0,4.0,116.0,1.0,2.0,2.0,13.0,1.0,254.0,12.0,1.0,3.0,0.0,8.0,0.0,0.0,5.0,5.0,1.0,1.0,6.0,1.0,2.0,0.0,0.0,87.22,80.0,50.0,20.0,50.0,56.52,33.33,20.0,0.2250963398751576,0.5756607597974859,0.0,10.0,0.24946052,3.0,14.0,16.0,0.6742977599999997,65.0,11.338582677165354,30.826771653543304,1.4173228346456692,41.10236220472441,0.3543307086614173,0.7086614173228346,0.7086614173228346,4.606299212598425,0.3543307086614173,4.251968503937007,0.3543307086614173,1.062992125984252,0.0,2.8346456692913384,0.0,0.0,1.7716535433070866,1.7716535433070866,0.3543307086614173,0.3543307086614173,2.125984251968504,0.3543307086614173,0.7086614173228346,0.0,0.0,87.22,80.0,50.0,20.0,50.0,56.52,33.33,20.0,0.0797585456250558,0.203974284967613,0.0,3.543307086614173,0.0883915228346456,1.062992125984252,4.960629921259843,5.669291338582677,0.2389244031496062,23.03149606299213,CM/AM,27,50,21,46,18,5,30,18,29,50,9,61,27,45,4,7,32,32,54,16,43,20,32,52,46,89,95,91,14,79,79,50,4,7,39,5,48,43,29,48,45,57,54,71,93,46,86,29,11,54,57,43,89,18,75,27,82,4,7,57,57,82,25,68,32,57,52,46,89,95,91,14,79,79,50,4,18,68,5,89,82,64,71,79,86,93,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,2v3bbqm0o4jx6r3zrmlzh1cyd,M. Ivanić,Mirko Ivanic,33.0,Midfielder,Montenegro,Midfielder,32.0,73.0,7.0,102.0,5.0,13.0,8.0,13.0,5.0,376.0,20.0,0.0,3.0,2.0,8.0,5.0,1.0,10.0,13.0,2.0,7.0,1.0,6.0,1.0,0.0,0.0,79.07,53.85,50.0,60.0,53.85,52.0,62.5,0.0,1.292289276350251,0.8914245872458708,2.0,14.0,0.3521018799999998,6.0,18.0,26.0,1.1364446,53.0,7.659574468085106,17.47340425531915,1.675531914893617,24.414893617021274,1.1968085106382975,3.111702127659574,1.9148936170212765,3.111702127659574,1.1968085106382975,4.787234042553191,0.0,0.7180851063829787,0.4787234042553191,1.9148936170212765,1.1968085106382975,0.2393617021276595,2.3936170212765955,3.111702127659574,0.4787234042553191,1.675531914893617,0.2393617021276595,1.4361702127659577,0.2393617021276595,0.0,0.0,79.07,53.85,50.0,60.0,53.85,52.0,62.5,0.0,0.3093245608285175,0.213372906521618,0.4787234042553191,3.351063829787234,0.0842797053191488,1.4361702127659577,4.308510638297872,6.223404255319148,0.2720213138297871,12.686170212765957,LM/LCM,67,83,83,67,50,100,75,17,75,92,25,83,100,83,92,33,83,92,100,100,17,83,42,58,58,67,50,100,50,100,33,67,25,100,100,50,75,67,83,100,100,100,67,67,67,67,83,50,100,67,17,83,83,25,83,100,67,100,33,83,83,100,100,17,67,33,58,58,67,50,100,50,100,33,67,25,83,100,33,67,67,83,100,100,100,67,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,3oub3l3mryzafp6wobgjbgxjp,A. Katai,Aleksandar Katai,35.0,Midfielder,Serbia,Midfielder,13.0,67.0,3.0,79.0,4.0,25.0,18.0,12.0,2.0,354.0,40.0,1.0,1.0,3.0,11.0,7.0,2.0,9.0,9.0,1.0,13.0,4.0,3.0,0.0,0.0,0.0,71.17,75.0,11.11,33.33,52.0,41.38,57.14,100.0,2.4321065925641614,0.8252895306958317,5.0,13.0,0.38034524,4.0,11.0,16.0,0.7460709400000001,42.0,3.305084745762712,17.033898305084747,0.7627118644067797,20.084745762711865,1.0169491525423728,6.3559322033898304,4.576271186440678,3.050847457627119,0.5084745762711864,10.16949152542373,0.2542372881355932,0.2542372881355932,0.7627118644067797,2.796610169491525,1.779661016949153,0.5084745762711864,2.288135593220339,2.288135593220339,0.2542372881355932,3.305084745762712,1.0169491525423728,0.7627118644067797,0.0,0.0,0.0,71.17,75.0,11.11,33.33,52.0,41.38,57.14,100.0,0.6183321845502106,0.2098193722108046,1.2711864406779665,3.305084745762712,0.0966979423728813,1.0169491525423728,2.796610169491525,4.067796610169491,0.1896790525423729,10.677966101694915,CM/AM,4,39,11,20,57,100,96,14,48,96,9,34,96,70,66,45,68,64,54,100,23,55,5,52,46,14,84,29,46,86,29,86,95,96,61,66,70,71,41,30,45,71,27,4,43,7,21,71,100,100,11,50,100,7,36,96,79,79,43,75,68,57,100,29,54,5,52,46,14,84,29,46,86,29,86,95,100,75,75,75,93,54,36,54,71,32,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,40ht1vwlzsf29ipe2rlyd59uc,M. Gashtarov,Matej Gashtarov,19.0,Midfielder,North Macedonia,Midfielder,150.0,129.0,11.0,277.0,3.0,4.0,1.0,28.0,10.0,450.0,2.0,7.0,2.0,0.0,1.0,3.0,3.0,5.0,5.0,0.0,1.0,13.0,1.0,5.0,0.0,0.0,89.94,64.71,33.33,20.0,25.0,53.85,60.0,63.64,0.2743390490779873,0.2441210105578279,3.0,8.0,0.16606016,0.0,23.0,23.0,0.72691565,132.0,30.0,25.8,2.2,55.4,0.6,0.8,0.2,5.6,2.0,0.4,1.4,0.4,0.0,0.2,0.6,0.6,1.0,1.0,0.0,0.2,2.6,0.2,1.0,0.0,0.0,89.94,64.71,33.33,20.0,25.0,53.85,60.0,63.64,0.0548678098155974,0.0488242021115655,0.6,1.6,0.033212032,0.0,4.6,4.6,0.14538313,26.4,DM/CM,88,77,31,88,21,48,44,52,67,33,48,65,40,17,52,94,37,37,38,48,90,19,48,52,52,100,92,67,15,50,42,63,44,46,54,65,58,54,13,56,63,69,69,92,88,46,92,23,46,46,69,65,31,62,69,40,15,50,92,42,42,38,50,96,19,58,52,52,100,92,67,15,50,42,63,44,54,58,69,58,54,13,73,65,88,85,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,4fkb8m4vdcyn1iwck0ukhofmc,F. Tebo Uchenna,Franklin Tebo Uchenna,26.0,Defender,Nigeria,Defender,96.0,48.0,6.0,144.0,5.0,0.0,0.0,10.0,9.0,225.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,92.9,85.71,0.0,0.0,0.0,66.67,83.33,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,19.2,2.4,57.6,2.0,0.0,0.0,4.0,3.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.8,0.0,0.0,92.9,85.71,0.0,0.0,0.0,66.67,83.33,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,28,35,16,28,27,5,8,9,20,3,51,36,47,10,27,31,13,13,47,20,9,17,20,48,51,98,98,36,17,20,86,98,97,6,15,23,8,8,17,5,6,5,5,88,81,49,88,47,5,8,21,44,3,91,36,47,10,27,31,13,13,47,20,21,17,37,48,51,98,98,36,17,20,86,98,97,6,15,23,8,8,17,5,6,5,5,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,55pnhqsxzsj97rrp45trw5wq1,M. Abu Fani,Mohamed Abu Fani,28.0,Midfielder,Israel,Midfielder,92.0,208.0,30.0,289.0,1.0,14.0,5.0,16.0,2.0,425.0,17.0,2.0,11.0,2.0,17.0,9.0,5.0,4.0,4.0,1.0,3.0,12.0,0.0,3.0,0.0,0.0,87.31,63.83,44.0,0.0,21.43,44.44,50.0,66.67,0.9255128594401664,1.7458419482506553,7.0,21.0,0.5315401799999999,5.0,57.0,69.0,2.02842146,161.0,19.48235294117647,44.04705882352941,6.352941176470588,61.2,0.2117647058823529,2.9647058823529413,1.0588235294117647,3.388235294117647,0.4235294117647059,3.6,0.4235294117647059,2.3294117647058825,0.4235294117647059,3.6,1.9058823529411764,1.0588235294117647,0.8470588235294118,0.8470588235294118,0.2117647058823529,0.6352941176470588,2.541176470588235,0.0,0.6352941176470588,0.0,0.0,87.31,63.83,44.0,0.0,21.43,44.44,50.0,66.67,0.1959909584696822,0.369707706688374,1.4823529411764709,4.447058823529412,0.1125614498823529,1.0588235294117647,12.070588235294116,14.611764705882353,0.4295480738823529,34.09411764705882,CM/AM,79,96,96,93,18,71,61,29,48,77,23,93,88,89,88,77,21,20,54,50,79,7,48,52,46,93,54,82,7,29,46,77,64,54,89,82,93,93,52,96,96,93,93,89,100,96,96,11,89,64,25,46,75,21,96,89,96,82,86,18,18,54,46,86,7,50,52,46,93,54,82,7,29,46,77,64,71,100,89,100,96,61,100,100,100,96,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,5v56mooqawkgwrfuhkkp9x7qi,L. Loizou,Loizos Loizou,23.0,Attacker,Cyprus,Striker,34.0,55.0,5.0,89.0,0.0,10.0,9.0,13.0,1.0,286.0,25.0,2.0,0.0,0.0,4.0,1.0,2.0,13.0,14.0,1.0,4.0,4.0,7.0,1.0,0.0,0.0,85.58,71.43,0.0,53.85,40.0,48.15,0.0,100.0,0.913950721329288,0.4569732156592229,4.0,10.0,0.55128036,4.0,6.0,11.0,0.5266689899999998,34.0,10.6993006993007,17.30769230769231,1.5734265734265735,28.00699300699301,0.0,3.146853146853147,2.8321678321678325,4.090909090909091,0.3146853146853147,7.8671328671328675,0.6293706293706294,0.0,0.0,1.2587412587412588,0.3146853146853147,0.6293706293706294,4.090909090909091,4.405594405594406,0.3146853146853147,1.2587412587412588,1.2587412587412588,2.202797202797203,0.3146853146853147,0.0,0.0,85.58,71.43,0.0,53.85,40.0,48.15,0.0,100.0,0.2876068703483773,0.1438027601724827,1.2587412587412588,3.146853146853147,0.1734798335664336,1.2587412587412588,1.888111888111888,3.4615384615384617,0.1657349968531468,10.6993006993007,RW,92,62,69,85,12,69,88,15,23,85,35,8,27,27,12,54,58,58,77,77,35,50,35,54,54,92,77,8,54,77,77,15,100,77,31,62,54,77,65,54,73,38,65,100,85,77,100,12,92,100,31,23,92,38,8,27,23,15,69,62,69,85,92,46,77,38,54,54,92,77,8,54,77,77,15,100,92,46,69,62,92,69,77,85,69,85,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,6kge6vcoa9ocnh6tb8qznfzkl,M. Veljković,Milos Veljkovic,30.0,Defender,Serbia,Defender,139.0,108.0,20.0,247.0,8.0,0.0,0.0,14.0,9.0,270.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,92.51,76.92,0.0,100.0,0.0,53.85,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.333333333333336,36.0,6.666666666666667,82.33333333333333,2.6666666666666665,0.0,0.0,4.666666666666667,3.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.0,0.0,92.51,76.92,0.0,100.0,0.0,53.85,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CB,56,79,73,60,33,5,8,21,20,10,3,36,47,33,27,31,36,34,47,20,59,51,20,48,51,93,95,36,90,20,34,30,3,6,15,23,8,8,17,5,6,5,5,95,100,98,98,63,5,8,45,27,16,3,36,47,48,27,31,47,44,47,20,86,70,28,48,51,93,95,36,90,20,34,30,3,6,15,23,8,8,17,5,6,5,5,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,7nv0wf9kmny9w7p36ahdsitat,T. Elšnik,Timi Max Elsnik,28.0,Midfielder,Slovenia,Midfielder,110.0,115.0,16.0,224.0,10.0,9.0,6.0,26.0,7.0,463.0,13.0,4.0,1.0,0.0,7.0,3.0,3.0,8.0,8.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,88.54,84.21,50.0,25.0,11.11,53.06,83.33,30.77,0.884932143421983,0.4579723379454553,2.0,9.0,0.2337313999999999,4.0,21.0,24.0,0.6783552299999999,115.0,21.38228941684665,22.354211663066952,3.110151187904968,43.54211663066954,1.9438444924406049,1.749460043196544,1.1663066954643628,5.053995680345572,1.3606911447084231,2.526997840172786,0.7775377969762418,0.1943844492440604,0.0,1.3606911447084231,0.5831533477321814,0.5831533477321814,1.5550755939524836,1.5550755939524836,0.0,0.1943844492440604,0.1943844492440604,0.3887688984881209,0.7775377969762418,0.0,0.0,88.54,84.21,50.0,25.0,11.11,53.06,83.33,30.77,0.1720170473174481,0.089022700680542,0.3887688984881209,1.749460043196544,0.0454337494600431,0.7775377969762418,4.082073434125269,4.665226781857451,0.1318617077753779,22.354211663066952,CM/AM,86,68,80,71,95,41,66,70,86,57,52,34,27,29,32,61,59,57,18,16,5,38,64,52,46,96,100,91,27,14,68,100,11,46,32,30,39,39,41,62,66,61,82,96,71,82,93,96,43,75,61,82,50,54,32,27,25,32,57,46,46,18,11,4,36,64,52,46,96,100,91,27,14,68,100,11,54,21,29,32,32,29,57,68,50,89,Serbian SuperLeague
Crvena zvezda,81lpho34qr3dad0xzalq0abja,8fuik0j594o6zdppn2jaxrzmc,S. Gudelj,Stefan Gudelj,20.0,Defender,Serbia,Defender,291.0,122.0,11.0,413.0,22.0,2.0,2.0,36.0,27.0,496.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,0.0,1.0,3.0,2.0,12.0,0.0,0.0,93.86,50.0,0.0,66.67,50.0,67.92,75.86,66.67,0.2856954141605657,0.1081312317478918,0.0,10.0,0.1896988799999999,2.0,21.0,25.0,0.95562194,268.0,52.80241935483871,22.137096774193548,1.995967741935484,74.93951612903226,3.991935483870968,0.3629032258064516,0.3629032258064516,6.532258064516129,4.899193548387097,0.3629032258064516,1.0887096774193548,0.0,0.0,0.3629032258064516,0.0,0.0,0.5443548387096774,0.7258064516129032,0.0,0.1814516129032258,0.5443548387096774,0.3629032258064516,2.177419354838709,0.0,0.0,93.86,50.0,0.0,66.67,50.0,67.92,75.86,66.67,0.0518398936984897,0.0196205864058674,0.0,1.814516129032258,0.0344211677419354,0.3629032258064516,3.810483870967742,4.536290322580645,0.1733991423387096,48.62903225806452,CB,98,87,36,98,87,34,56,72,56,23,70,36,47,52,27,31,64,76,47,60,36,76,90,48,51,100,77,36,71,78,88,91,60,56,44,23,90,84,59,67,71,91,98,98,86,37,95,100,40,63,95,58,21,72,36,47,53,27,31,70,77,47,63,37,74,100,48,51,100,77,36,71,78,88,91,60,56,49,23,88,88,60,74,72,88,98,Serbian SuperLeague
