Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total attempts obox_Total,total effective clearance_Total,total interception_Total,total assists_Total,total big chances saved_Total,total blocked scoring att_Total,total goals_Total,total direct setpiece goals_Total,total direct corner goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total attempts obox_p90,total effective clearance_p90,total interception_p90,total assists_p90,total big chances saved_p90,total blocked scoring att_p90,total goals_p90,total direct setpiece goals_p90,total direct corner goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total attempts obox_TotalPR,total effective clearance_TotalPR,total interception_TotalPR,total assists_TotalPR,total big chances saved_TotalPR,total blocked scoring att_TotalPR,total goals_TotalPR,total direct setpiece goals_TotalPR,total direct corner goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total attempts obox_p90PR,total effective clearance_p90PR,total interception_p90PR,total assists_p90PR,total big chances saved_p90PR,total blocked scoring att_p90PR,total goals_p90PR,total direct setpiece goals_p90PR,total direct corner goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Athletic Club,3czravw89omgc9o4s0w3l1bg5,43g9qpb7gic5w7v38259ykt1w,Beñat Gerenabarrena,Beñat Gerenabarrena,23.0,Midfielder,Spain,Midfielder,75.0,1.0,72.0,6.0,146.0,4.0,1.0,1.0,0.0,0.0,0.0,19.0,373.0,1.0,6.0,5.0,0.0,8.0,1.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,86.39,60.0,14.29,0.0,100.0,52.78,0.0,80.0,0.0738071603667964,0.1531377131321024,0.0,5.0,0.1010824,1.0,13.0,10.0,0.4209609299999998,62.0,18.09651474530831,0.2412868632707774,17.372654155495976,1.4477211796246647,35.22788203753351,0.9651474530831098,0.2412868632707774,0.2412868632707774,0.0,0.0,0.0,4.584450402144772,0.2412868632707774,1.4477211796246647,1.206434316353887,0.0,1.93029490616622,0.2412868632707774,0.7238605898123324,2.895442359249329,0.0,0.0,0.0,0.0,0.0,0.0,86.39,60.0,14.29,0.0,100.0,52.78,0.0,80.0,0.0178086982118275,0.0369501184501051,0.0,1.206434316353887,0.024389855227882,0.2412868632707774,3.136729222520107,2.412868632707774,0.1015723423592492,14.959785522788202,DM/CM,34,73,20,36,26,77,24,33,20,6,6,69,79,90,77,9,94,53,20,94,43,51,29,47,51,51,23,53,69,9,99,57,17,99,26,60,29,40,37,26,34,33,71,19,23,77,20,31,20,74,29,26,20,6,6,57,80,89,77,9,89,54,20,100,43,51,29,47,51,51,23,53,69,9,99,57,17,99,26,54,29,43,37,29,26,29,60,17,La Liga
Athletic Club,3czravw89omgc9o4s0w3l1bg5,5kd57453a90zahgdxwkghr816,Aitor Paredes,Aitor Paredes,26.0,Defender,Spain,Defender,81.0,0.0,50.0,9.0,131.0,6.0,1.0,1.0,1.0,0.0,0.0,13.0,209.0,1.0,1.0,1.0,0.0,3.0,0.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,87.33,39.13,0.0,0.0,100.0,76.47,0.0,50.0,0.1450379195486153,0.0772691274663351,0.0,2.0,0.04320281,0.0,10.0,9.0,0.19006799,82.0,34.880382775119614,0.0,21.531100478468897,3.8755980861244015,56.411483253588514,2.583732057416268,0.4306220095693779,0.4306220095693779,0.4306220095693779,0.0,0.0,5.598086124401913,0.4306220095693779,0.4306220095693779,0.4306220095693779,0.0,1.2918660287081338,0.0,6.889952153110047,0.4306220095693779,0.0,0.0,0.0,0.4306220095693779,0.0,0.0,87.33,39.13,0.0,0.0,100.0,76.47,0.0,50.0,0.0624565203797864,0.0332737869472256,0.0,0.8612440191387559,0.018604080861244,0.0,4.30622009569378,3.8755980861244015,0.0818474598086124,35.31100478468899,CB,29,38,28,51,29,46,49,33,41,14,14,37,68,22,34,26,45,32,42,13,49,41,39,89,51,51,45,39,38,26,97,95,5,29,37,61,36,43,53,24,43,37,21,37,55,38,74,84,63,82,76,39,58,14,14,87,92,32,50,26,74,32,84,18,49,41,39,100,51,51,45,39,38,26,97,95,5,29,50,74,36,55,53,24,71,66,47,63,La Liga
Athletic Club,3czravw89omgc9o4s0w3l1bg5,66jotyvbhtz5cjvhbby6luelm,Nico Williams,Nico Williams,24.0,Attacker,Spain,Striker,21.0,4.0,51.0,0.0,68.0,1.0,4.0,9.0,6.0,17.0,18.0,11.0,274.0,2.0,27.0,0.0,5.0,4.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,73.12,0.0,28.57,29.41,22.22,33.33,33.33,80.0,0.7191310709288353,0.4141634162950134,5.0,12.0,0.38968219,5.0,6.0,8.0,1.1654431900000002,28.0,6.897810218978103,1.3138686131386863,16.751824817518248,0.0,22.335766423357665,0.3284671532846716,1.3138686131386863,2.956204379562044,1.9708029197080288,5.583941605839416,5.912408759124088,3.613138686131387,0.6569343065693432,8.868613138686133,0.0,1.6423357664233578,1.3138686131386863,0.9854014598540146,1.3138686131386863,0.6569343065693432,0.0,0.0,0.0,0.3284671532846716,0.0,0.0,73.12,0.0,28.57,29.41,22.22,33.33,33.33,80.0,0.2362109357065517,0.1360390783450774,1.6423357664233578,3.9416058394160585,0.1279977996350365,1.6423357664233578,1.9708029197080288,2.6277372262773726,0.3828098069343066,9.197080291970805,LW,42,88,42,8,29,67,50,79,75,88,83,25,58,75,12,42,71,83,67,62,42,54,25,88,54,54,8,8,83,17,50,8,67,67,75,58,83,58,67,83,75,58,83,54,67,92,50,8,58,83,67,92,83,100,100,33,62,92,12,58,75,92,88,67,42,54,25,100,54,54,8,8,83,17,50,8,67,67,75,67,100,75,83,100,75,75,92,75,La Liga
Athletic Club,3czravw89omgc9o4s0w3l1bg5,7aoe0u87gxgv9tvgrotcfue7e,Robert Navarro,Robert Navarro,24.0,Midfielder,Spain,Midfielder,18.0,6.0,59.0,1.0,71.0,0.0,5.0,5.0,4.0,8.0,9.0,9.0,242.0,3.0,12.0,1.0,3.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,85.54,100.0,46.15,37.5,60.0,45.0,0.0,40.0,0.7954731739766585,0.4413716958183846,0.0,11.0,0.27923233,4.0,10.0,5.0,0.1851470999999999,28.0,6.694214876033057,2.2314049586776856,21.94214876033058,0.371900826446281,26.404958677685947,0.0,1.8595041322314048,1.8595041322314048,1.487603305785124,2.975206611570248,3.3471074380165287,3.3471074380165287,1.1157024793388428,4.462809917355371,0.371900826446281,1.1157024793388428,0.743801652892562,0.371900826446281,0.0,2.2314049586776856,0.0,0.0,0.0,0.743801652892562,0.0,0.0,85.54,100.0,46.15,37.5,60.0,45.0,0.0,40.0,0.2958371308177655,0.1641464984448537,0.0,4.090909090909091,0.1038467342975206,1.487603305785124,3.7190082644628095,1.8595041322314048,0.0688563595041321,10.413223140495868,CM/AM,9,90,38,14,21,12,34,43,72,53,62,12,66,72,5,45,24,21,10,95,29,52,17,86,48,52,66,97,86,31,79,31,17,19,76,34,7,60,62,48,36,17,24,17,17,93,59,14,38,12,62,55,79,72,69,21,79,83,7,55,38,28,10,100,29,52,17,90,48,52,66,97,86,31,79,31,17,19,83,52,7,83,72,66,59,21,28,28,La Liga
Athletic Club,3czravw89omgc9o4s0w3l1bg5,7fmpgkx58o9pivo2bbnxxkt05,Aymeric Laporte,Aymeric Laporte,32.0,Defender,Spain,Defender,207.0,1.0,94.0,14.0,300.0,6.0,0.0,2.0,2.0,2.0,2.0,14.0,392.0,0.0,3.0,3.0,1.0,2.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,93.75,66.67,100.0,50.0,0.0,53.85,46.15,50.0,0.2910687050123162,0.0,0.0,5.0,0.0961587,0.0,21.0,25.0,0.6154678999999995,217.0,47.525510204081634,0.2295918367346939,21.581632653061227,3.2142857142857144,68.87755102040816,1.3775510204081634,0.0,0.4591836734693878,0.4591836734693878,0.4591836734693878,0.4591836734693878,3.2142857142857144,0.0,0.6887755102040817,0.6887755102040817,0.2295918367346939,0.4591836734693878,0.0,3.903061224489796,0.4591836734693878,0.0,0.0,0.0,0.0,0.0,0.0,93.75,66.67,100.0,50.0,0.0,53.85,46.15,50.0,0.0668269985997664,0.0,0.0,1.1479591836734695,0.0220772525510204,0.0,4.821428571428572,5.739795918367348,0.1413064056122448,49.82142857142858,CB,95,84,79,76,91,46,14,50,64,74,74,45,25,55,71,63,26,32,50,24,49,41,39,39,51,51,87,87,97,59,25,32,34,29,63,18,36,72,68,24,78,87,89,97,89,87,76,71,84,39,14,42,61,74,74,32,25,50,63,63,26,32,34,21,49,41,39,39,51,51,87,87,97,59,25,32,34,29,55,18,36,68,63,24,82,84,84,92,La Liga
Athletic Club,3czravw89omgc9o4s0w3l1bg5,7r7wgbcu7vmlj19m9jpjhu1yi,Jesús Areso,Jesús Areso,27.0,Defender,Spain,Defender,36.0,5.0,58.0,0.0,89.0,6.0,5.0,1.0,1.0,4.0,4.0,18.0,299.0,0.0,4.0,3.0,1.0,5.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,76.72,0.0,45.45,25.0,0.0,58.06,66.67,62.5,0.1198585678345603,0.4828069423140787,0.0,8.0,0.19932855,4.0,6.0,5.0,0.40356187,34.0,10.836120401337793,1.5050167224080266,17.45819397993311,0.0,26.789297658862875,1.806020066889632,1.5050167224080266,0.3010033444816053,0.3010033444816053,1.2040133779264213,1.2040133779264213,5.418060200668896,0.0,1.2040133779264213,0.903010033444816,0.3010033444816053,1.5050167224080266,0.0,1.806020066889632,1.806020066889632,0.0,0.0,0.0,0.0,0.0,0.0,76.72,0.0,45.45,25.0,0.0,58.06,66.67,62.5,0.036077829782978,0.1453265043754752,0.0,2.4080267558528425,0.0599985602006688,1.2040133779264213,1.806020066889632,1.5050167224080266,0.1214734725752508,10.23411371237458,RB/RCB,11,95,37,5,21,89,84,26,58,45,39,47,26,45,55,37,32,24,24,87,47,47,32,47,53,53,21,5,89,37,26,79,87,32,37,84,24,92,79,74,37,21,58,32,11,95,63,5,47,95,89,26,63,53,53,84,26,53,68,42,47,24,26,95,47,47,32,47,53,53,21,5,89,37,26,79,87,32,47,89,24,84,89,74,47,26,74,42,La Liga
Athletic Club,3czravw89omgc9o4s0w3l1bg5,8hm6d6395johhjsoe8jz6dcyd,Yuri,Yuri Berchiche,36.0,Defender,Spain,Defender,90.0,2.0,96.0,3.0,184.0,4.0,4.0,7.0,3.0,2.0,2.0,9.0,281.0,0.0,3.0,1.0,1.0,2.0,4.0,6.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,92.46,33.33,25.0,50.0,0.0,56.25,80.0,66.67,0.3878794662673084,0.4287163083039788,1.0,7.0,0.1566658899999999,2.0,16.0,15.0,0.3320313799999999,105.0,28.82562277580071,0.6405693950177936,30.747330960854093,0.9608540925266904,58.93238434163701,1.2811387900355873,1.2811387900355873,2.2419928825622777,0.9608540925266904,0.6405693950177936,0.6405693950177936,2.882562277580071,0.0,0.9608540925266904,0.3202846975088968,0.3202846975088968,0.6405693950177936,1.2811387900355873,1.9217081850533808,1.2811387900355873,0.0,0.0,0.9608540925266904,0.0,0.0,0.0,92.46,33.33,25.0,50.0,0.0,56.25,80.0,66.67,0.1242318575233372,0.1373112731222708,0.3202846975088968,2.2419928825622777,0.050177687188612,0.6405693950177936,5.124555160142349,4.804270462633452,0.1063445701067615,33.629893238434164,LB/LCB,71,75,71,19,67,52,77,100,92,25,21,10,40,40,12,33,19,98,27,52,42,48,100,46,52,52,96,25,73,56,40,54,96,52,92,79,67,56,54,38,60,54,25,83,88,79,96,29,88,54,83,100,100,33,25,8,40,46,12,42,21,100,38,67,42,48,100,46,52,52,96,25,73,56,40,54,96,52,96,92,79,75,62,54,83,71,42,88,La Liga
Athletic Club,3czravw89omgc9o4s0w3l1bg5,ccokndnkkyllbp5vb8nwnhdlg,Peio Canales,Peio Canales,21.0,Midfielder,Spain,Midfielder,49.0,1.0,49.0,0.0,97.0,0.0,4.0,3.0,0.0,8.0,8.0,11.0,205.0,2.0,1.0,5.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,85.09,0.0,25.0,50.0,66.67,55.0,0.0,100.0,0.1747322953190271,0.3657523722357808,1.0,8.0,0.40851251,3.0,9.0,8.0,0.19932146,54.0,21.51219512195122,0.4390243902439024,21.51219512195122,0.0,42.58536585365854,0.0,1.7560975609756098,1.3170731707317074,0.0,3.5121951219512195,3.5121951219512195,4.829268292682927,0.8780487804878049,0.4390243902439024,2.1951219512195124,1.7560975609756098,0.8780487804878049,1.3170731707317074,0.4390243902439024,0.4390243902439024,0.0,0.0,0.4390243902439024,0.0,0.0,0.0,85.09,0.0,25.0,50.0,66.67,55.0,0.0,100.0,0.0767117394083533,0.1605742122010744,0.4390243902439024,3.5121951219512195,0.1793469556097561,1.3170731707317074,3.951219512195122,3.5121951219512195,0.0875069824390244,23.70731707317073,CM/AM,62,34,26,5,41,12,26,17,5,53,52,26,41,3,47,57,24,53,36,33,29,52,47,26,48,52,55,5,50,50,84,69,17,95,10,24,26,47,83,34,31,28,28,59,86,41,48,5,76,12,55,34,5,79,79,41,62,3,76,83,41,79,55,55,29,52,62,26,48,52,55,5,50,50,84,69,17,95,17,48,38,72,100,55,69,52,38,83,La Liga
Athletic Club,3czravw89omgc9o4s0w3l1bg5,ddvvwqxpsqqboupi3gx1ijhed,I. Williams,Iñaki Williams,32.0,Attacker,Ghana,Striker,12.0,0.0,15.0,0.0,27.0,4.0,5.0,10.0,8.0,10.0,10.0,17.0,330.0,4.0,19.0,5.0,4.0,4.0,2.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,56.25,0.0,0.0,40.0,40.0,45.95,40.0,100.0,1.2562135592514765,0.3326782938753017,3.0,3.0,0.07182538,1.0,1.0,4.0,0.10623371,11.0,3.272727272727273,0.0,4.090909090909091,0.0,7.363636363636364,1.090909090909091,1.3636363636363638,2.7272727272727275,2.181818181818182,2.7272727272727275,2.7272727272727275,4.636363636363637,1.090909090909091,5.181818181818182,1.3636363636363638,1.090909090909091,1.090909090909091,0.5454545454545455,0.2727272727272727,0.2727272727272727,0.5454545454545455,0.0,0.8181818181818182,0.0,0.0,0.0,56.25,0.0,0.0,40.0,40.0,45.95,40.0,100.0,0.3426036979776754,0.0907304437841731,0.8181818181818182,0.8181818181818182,0.01958874,0.2727272727272727,0.2727272727272727,1.090909090909091,0.02897283,3.0,ST,25,33,9,12,9,45,72,62,67,75,70,48,55,69,47,69,83,52,28,72,91,50,75,16,50,50,6,12,33,44,34,62,50,92,66,69,70,41,31,20,11,45,38,28,25,33,3,12,9,47,75,53,59,72,69,47,53,69,47,62,84,50,22,78,94,50,72,16,50,50,6,12,33,44,34,62,50,92,59,66,72,38,31,16,3,44,34,19,La Liga
Athletic Club,3czravw89omgc9o4s0w3l1bg5,dfcbvsb7o18lavmonbp5ucwoa,Oihan Sancet,Oihan Sancet,26.0,Midfielder,Spain,Midfielder,28.0,0.0,77.0,4.0,105.0,6.0,8.0,15.0,11.0,17.0,17.0,27.0,425.0,4.0,26.0,8.0,11.0,2.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,79.55,57.14,0.0,64.71,26.67,49.09,50.0,100.0,1.663660722358806,0.7488385659331147,4.0,13.0,0.67265921,6.0,11.0,12.0,0.54743856,44.0,5.929411764705883,0.0,16.305882352941175,0.8470588235294118,22.23529411764705,1.2705882352941176,1.6941176470588235,3.176470588235294,2.3294117647058825,3.6,3.6,5.7176470588235295,0.8470588235294118,5.505882352941176,1.6941176470588235,2.3294117647058825,0.4235294117647059,0.8470588235294118,0.0,0.4235294117647059,0.0,0.0,0.4235294117647059,0.2117647058823529,0.0,0.0,79.55,57.14,0.0,64.71,26.67,49.09,50.0,100.0,0.3523046235583353,0.158577578668189,0.8470588235294118,2.752941176470588,0.1424454797647058,1.2705882352941176,2.3294117647058825,2.541176470588235,0.1159281656470588,9.31764705882353,CM/AM,28,14,59,40,48,97,72,97,95,93,91,88,83,97,74,95,24,69,10,60,29,52,71,67,48,52,24,62,14,83,22,48,86,95,97,69,84,76,100,66,43,41,66,38,14,14,38,31,21,93,45,95,93,83,83,76,59,93,59,86,14,55,10,50,29,52,59,55,48,52,24,62,14,83,22,48,86,95,93,45,79,59,90,50,28,28,52,21,La Liga
