Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total attempts obox_Total,total blocked scoring att_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total goals_Total,total interception_Total,total mins played,total ontarget attempt_Total,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total big chances saved_Total,total assists_Total,total direct corner goals_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total attempts obox_p90,total blocked scoring att_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total goals_p90,total interception_p90,total ontarget attempt_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total big chances saved_p90,total assists_p90,total direct corner goals_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total goals_TotalPR,total interception_TotalPR,total ontarget attempt_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total big chances saved_TotalPR,total assists_TotalPR,total direct corner goals_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total goals_p90PR,total interception_p90PR,total ontarget attempt_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total big chances saved_p90PR,total assists_p90PR,total direct corner goals_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,4gksusc509n6j8ljhyegzgxk9,C. Fassnacht,Christian Fassnacht,32,Midfielder,Switzerland,Midfielder,14.0,0.0,29.0,1.0,43.0,2.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,233.0,4.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,72.88,50.0,0.0,0.0,80.0,30.77,40.0,100.0,0.8167473795012256,0.1380140713711798,0.0,2.0,0.04130209,0.0,2.0,4.0,0.3343615199999999,18.0,5.407725321888412,0.0,11.201716738197424,0.3862660944206008,16.609442060085836,0.7725321888412017,1.1587982832618025,1.931330472103004,1.931330472103004,0.0,0.0,0.0,0.0,1.5450643776824031,0.0,1.1587982832618025,0.3862660944206008,1.5450643776824031,3.476394849785408,0.0,0.0,0.7725321888412017,0.0,0.0,0.0,0.0,72.88,50.0,0.0,0.0,80.0,30.77,40.0,100.0,0.3154818204081987,0.0533101563236316,0.0,0.7725321888412017,0.0159535969957081,0.0,0.7725321888412017,1.5450643776824031,0.1291525184549355,6.952789699570815,CM/AM,13,13,8,4,8,48,17,27,65,13,13,6,6,4,10,98,35,67,46,8,12,29,52,33,52,52,23,42,13,12,96,12,60,92,69,15,8,17,19,8,17,13,23,17,23,13,12,4,12,65,27,54,69,13,13,6,6,4,10,100,38,88,62,8,12,54,52,33,52,52,23,42,13,12,96,12,60,92,88,15,8,23,23,8,15,15,54,19,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,5anxcfh8hvwdbdc162ekgr52i,L. Blum,Lewin Blum,25,Defender,Switzerland,Defender,53.0,6.0,68.0,10.0,115.0,1.0,8.0,6.0,5.0,1.0,1.0,4.0,4.0,17.0,9.0,2.0,6.0,394.0,3.0,12.0,5.0,3.0,6.0,1.0,3.0,0.0,0.0,79.31,37.04,31.58,75.0,50.0,50.0,20.0,75.0,0.6339064724578711,0.8822382541952514,1.0,8.0,0.2179926399999999,3.0,16.0,21.0,1.31321187,61.0,12.106598984771573,1.3705583756345177,15.532994923857869,2.284263959390863,26.26903553299492,0.2284263959390862,1.8274111675126905,1.3705583756345177,1.1421319796954317,0.2284263959390862,0.2284263959390862,0.9137055837563453,0.9137055837563453,3.8832487309644654,2.0558375634517763,0.4568527918781725,1.3705583756345177,0.6852791878172588,2.741116751269036,1.1421319796954317,0.6852791878172588,1.3705583756345177,0.2284263959390862,0.6852791878172588,0.0,0.0,79.31,37.04,31.58,75.0,50.0,50.0,20.0,75.0,0.1448009708660111,0.2015265047654127,0.2284263959390862,1.8274111675126905,0.0497952730964466,0.6852791878172588,3.654822335025381,4.796954314720812,0.2999722545685279,13.934010152284262,RB/RCB,57,95,80,72,70,30,100,95,95,72,82,65,62,55,45,98,60,90,98,80,68,68,95,100,52,50,60,40,85,82,68,35,30,68,95,100,78,85,85,70,90,90,100,70,30,90,60,45,30,30,90,80,85,65,70,50,50,15,25,100,55,90,80,65,65,40,100,95,52,50,60,40,85,82,68,35,30,68,85,95,75,70,75,75,90,95,100,65,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,61r6igcudl4mbfr19doqr4n3d,S. Lauper,Sandro Lauper,29,Midfielder,Switzerland,Midfielder,99.0,0.0,67.0,15.0,166.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,9.0,11.0,0.0,4.0,313.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,90.22,53.57,0.0,100.0,0.0,50.0,40.0,75.0,0.0641494276355145,0.0986516941253028,1.0,3.0,0.05294479,0.0,22.0,22.0,0.4886865699999999,118.0,28.466453674121404,0.0,19.26517571884984,4.313099041533547,47.73162939297124,0.5750798722044729,0.5750798722044729,0.2875399361022364,0.0,0.2875399361022364,0.0,0.5750798722044729,0.5750798722044729,2.587859424920128,3.1629392971246006,0.0,1.1501597444089458,0.0,0.5750798722044729,0.2875399361022364,0.5750798722044729,0.8626198083067093,0.0,0.0,0.0,0.0,90.22,53.57,0.0,100.0,0.0,50.0,40.0,75.0,0.0184455223233108,0.0283663018251669,0.2875399361022364,0.8626198083067093,0.0152237415335463,0.0,6.325878594249201,6.325878594249201,0.140516905111821,33.9297124600639,DM/CM,92,35,62,79,67,44,38,17,12,42,25,35,33,23,90,44,52,31,27,10,65,42,52,31,52,50,92,56,35,94,31,46,33,52,17,25,58,27,25,12,77,75,62,75,92,35,58,83,67,38,38,17,12,38,25,42,42,21,96,44,50,31,33,8,62,33,52,31,52,50,92,56,35,94,31,46,33,52,17,29,50,33,21,12,83,83,71,88,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,6qb4ce3qzlcvjdaluqom2vhuc,S. Bukinac,Stefan Bukinac,21,Defender,Serbia,Defender,38.0,7.0,68.0,9.0,99.0,1.0,5.0,3.0,2.0,1.0,0.0,5.0,5.0,6.0,8.0,0.0,4.0,328.0,2.0,3.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,79.84,52.94,38.89,20.0,66.67,42.86,50.0,100.0,0.1496994499640682,0.6202981772770388,0.0,3.0,0.0637704,5.0,8.0,13.0,1.01192054,47.0,10.426829268292684,1.920731707317073,18.65853658536585,2.4695121951219514,27.164634146341463,0.274390243902439,1.3719512195121952,0.8231707317073171,0.5487804878048781,0.274390243902439,0.0,1.3719512195121952,1.3719512195121952,1.6463414634146345,2.1951219512195124,0.0,1.0975609756097562,0.5487804878048781,0.8231707317073171,0.5487804878048781,0.274390243902439,0.5487804878048781,0.0,0.5487804878048781,0.0,0.0,79.84,52.94,38.89,20.0,66.67,42.86,50.0,100.0,0.0410760685877016,0.170203768155285,0.0,0.8231707317073171,0.0174979756097561,1.3719512195121952,2.1951219512195124,3.567073170731708,0.2776611237804878,12.896341463414634,LB/LCB,28,95,75,72,45,12,72,75,90,57,35,80,80,12,42,45,60,92,55,45,55,25,50,100,50,50,50,85,95,45,90,18,35,95,60,85,32,62,65,92,57,70,100,50,15,90,70,70,25,10,70,75,85,55,35,65,65,5,25,45,65,90,50,40,50,20,50,100,50,50,50,85,95,45,90,18,35,95,50,85,32,55,55,95,50,60,90,40,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,6uurhe88nry4hyelll8ifzd91,E. Fernandes,Edimilson Fernandes,30,Midfielder,Switzerland,Midfielder,113.0,0.0,126.0,11.0,239.0,3.0,3.0,6.0,2.0,4.0,2.0,6.0,6.0,9.0,2.0,1.0,3.0,394.0,2.0,5.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,89.85,52.38,0.0,50.0,33.33,45.0,0.0,33.33,0.519187066279867,0.1893502641390557,3.0,12.0,0.2472878099999998,6.0,21.0,18.0,0.4954071799999998,130.0,25.81218274111675,0.0,28.78172588832487,2.512690355329949,54.59390862944162,0.6852791878172588,0.6852791878172588,1.3705583756345177,0.4568527918781725,0.9137055837563453,0.4568527918781725,1.3705583756345177,1.3705583756345177,2.0558375634517763,0.4568527918781725,0.2284263959390862,0.6852791878172588,0.4568527918781725,1.1421319796954317,0.0,0.6852791878172588,0.2284263959390862,0.0,0.2284263959390862,0.0,0.0,89.85,52.38,0.0,50.0,33.33,45.0,0.0,33.33,0.1185960303684975,0.0432525984073985,0.6852791878172588,2.741116751269036,0.0564870631979694,1.3705583756345177,4.796954314720812,4.1116751269035525,0.1131640766497461,29.69543147208121,CM/AM,100,13,96,87,100,65,17,44,29,71,62,50,42,13,48,46,71,38,25,8,54,10,52,79,52,52,96,54,13,62,37,46,15,8,38,23,65,81,65,81,92,81,54,100,100,13,96,85,100,58,12,31,27,69,58,35,35,8,46,38,73,27,19,8,42,12,52,77,52,52,96,54,13,62,37,46,15,8,38,12,58,77,58,73,85,81,38,100,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,7z00z2y66vadv1ge09y6ypixg,A. Sanches,Alvyn Sanches,23,Midfielder,Switzerland,Midfielder,44.0,8.0,145.0,7.0,181.0,0.0,20.0,17.0,13.0,4.0,2.0,22.0,23.0,31.0,0.0,3.0,2.0,503.0,9.0,27.0,6.0,12.0,11.0,0.0,2.0,0.0,0.0,84.98,77.78,32.0,54.55,52.94,42.47,0.0,84.62,1.7262356630030409,1.7745752809016069,7.0,16.0,0.48816269,3.0,28.0,34.0,1.56253783,108.0,7.872763419483101,1.4314115308151094,25.944333996023857,1.252485089463221,32.38568588469185,0.0,3.5785288270377738,3.041749502982108,2.326043737574553,0.7157057654075547,0.3578528827037773,3.936381709741551,4.11530815109344,5.546719681908549,0.0,0.5367793240556661,0.3578528827037773,1.610337972166998,4.831013916500995,1.0735586481113322,2.1471172962226643,1.968190854870776,0.0,0.3578528827037773,0.0,0.0,84.98,77.78,32.0,54.55,52.94,42.47,0.0,84.62,0.3088692041158523,0.3175184399227527,1.252485089463221,2.862823061630219,0.0873452129224652,0.5367793240556661,5.009940357852883,6.083499005964215,0.2795793333996024,19.32405566600398,CM/AM,63,85,100,60,88,12,100,98,96,71,62,92,92,96,10,98,52,100,92,62,96,100,52,96,52,52,73,100,54,73,77,38,15,77,100,92,100,92,96,46,100,96,96,92,35,73,92,42,62,12,92,81,92,46,50,85,85,73,10,85,35,96,88,50,88,88,52,92,52,52,73,100,54,73,77,38,15,77,81,77,92,85,77,27,92,88,88,85,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,9km5yidmp0mbjrqqxlapdztre,A. Gigović,Armin Gigovic,24,Midfielder,Bosnia and Herzegovina,Midfielder,88.0,1.0,97.0,9.0,184.0,5.0,6.0,8.0,1.0,7.0,3.0,3.0,3.0,19.0,5.0,1.0,6.0,440.0,3.0,5.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,87.2,75.0,25.0,100.0,37.5,55.88,83.33,66.67,0.4524651369220302,0.5084226122120472,4.0,9.0,0.2328904099999998,6.0,14.0,17.0,0.67175443,98.0,18.0,0.2045454545454545,19.84090909090909,1.8409090909090908,37.63636363636363,1.0227272727272727,1.227272727272727,1.6363636363636362,0.2045454545454545,1.4318181818181817,0.6136363636363635,0.6136363636363635,0.6136363636363635,3.886363636363636,1.0227272727272727,0.2045454545454545,1.227272727272727,0.6136363636363635,1.0227272727272727,1.6363636363636362,0.6136363636363635,0.409090909090909,0.0,0.0,0.0,0.0,87.2,75.0,25.0,100.0,37.5,55.88,83.33,66.67,0.0925496870976879,0.1039955343161005,0.8181818181818181,1.8409090909090908,0.0476366747727272,1.227272727272727,2.863636363636364,3.477272727272727,0.1374043152272727,20.045454545454543,CM/AM,92,31,77,73,92,87,42,65,23,98,85,31,31,63,75,46,100,58,25,81,54,29,52,33,52,52,85,88,42,94,52,75,100,50,23,38,79,63,54,81,67,77,65,88,92,27,50,69,88,85,31,38,23,92,65,31,27,35,73,35,92,42,12,65,38,27,52,33,52,52,85,88,42,94,52,75,100,50,23,35,69,50,54,69,58,65,58,92,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,afk5qdami9yzapywig6ds4quh,C. Zesiger,Cédric Zesiger,28,Defender,Switzerland,Defender,79.0,0.0,40.0,16.0,119.0,10.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,16.0,19.0,1.0,4.0,256.0,2.0,5.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,80.95,53.33,0.0,0.0,100.0,66.67,90.91,75.0,0.2492647583748562,0.1641459454927511,0.0,2.0,0.03867417,1.0,8.0,10.0,0.1812928,66.0,27.7734375,0.0,14.0625,5.625,41.8359375,3.515625,0.3515625,0.703125,0.703125,0.0,0.0,0.0,0.0,5.625,6.6796875,0.3515625,1.40625,0.703125,1.7578125,1.0546875,0.0,1.0546875,0.0,0.0,0.0,0.0,80.95,53.33,0.0,0.0,100.0,66.67,90.91,75.0,0.0876321416161603,0.0577075589622953,0.0,0.703125,0.013596387890625,0.3515625,2.8125,3.515625,0.06373575,23.203125,CB,53,42,43,82,50,70,65,57,63,43,42,22,22,40,53,92,43,93,75,52,27,38,40,45,52,52,30,67,42,27,97,73,100,78,73,83,45,67,60,68,50,57,50,53,57,42,50,100,57,77,77,67,68,43,42,22,22,53,53,97,53,100,90,55,27,57,40,45,52,52,30,67,42,27,97,73,100,78,77,87,45,77,80,75,57,67,57,60,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,bf6s84lavpij33riqec7y8445,S. Essende,Samuel Essende,28,Attacker,Congo DR,Striker,19.0,2.0,59.0,2.0,76.0,27.0,12.0,27.0,23.0,4.0,8.0,18.0,18.0,60.0,6.0,5.0,0.0,529.0,11.0,48.0,15.0,12.0,4.0,0.0,3.0,0.0,0.0,80.0,100.0,50.0,66.67,40.74,51.72,54.0,57.14,2.7024051612306703,0.6172456722301201,4.0,6.0,0.2357054599999999,4.0,16.0,13.0,0.2893421099999999,34.0,3.2325141776937616,0.3402646502835538,10.03780718336484,0.3402646502835538,12.930056710775046,4.593572778827977,2.041587901701323,4.593572778827977,3.913043478260869,0.6805293005671077,1.3610586011342154,3.062381852551985,3.062381852551985,10.207939508506616,1.0207939508506616,0.8506616257088846,0.0,1.8714555765595464,8.166351606805293,2.551984877126654,2.041587901701323,0.6805293005671077,0.0,0.5103969754253308,0.0,0.0,80.0,100.0,50.0,66.67,40.74,51.72,54.0,57.14,0.4597664735553124,0.1050134414002094,0.6805293005671077,1.0207939508506616,0.040101117958412,0.6805293005671077,2.722117202268431,2.2117202268431,0.0492264459357277,5.784499054820415,ST,88,90,94,72,97,100,100,100,100,88,100,93,91,100,99,100,28,100,100,100,97,90,51,100,50,50,79,90,94,87,65,88,88,49,100,91,87,82,88,93,100,100,71,97,47,76,53,47,50,91,65,88,88,68,85,74,65,91,76,88,28,88,79,91,82,56,51,79,50,50,79,90,94,87,65,88,88,49,82,47,50,47,65,68,100,88,50,74,Swiss Super League
Young Boys,5fd9f9bti2cdgb6r1lf8l2bc7,cag46lcr9rbj6593ftfegc0lw,D. Pech,Dominik Pech,19,Midfielder,Czechia,Midfielder,33.0,0.0,62.0,4.0,95.0,1.0,2.0,4.0,2.0,2.0,0.0,8.0,8.0,20.0,4.0,1.0,7.0,247.0,3.0,4.0,5.0,7.0,4.0,0.0,1.0,0.0,0.0,87.96,50.0,0.0,87.5,75.0,64.52,50.0,57.14,0.2694847883520589,0.1688966564973359,2.0,8.0,0.19672893,4.0,12.0,11.0,0.1837976499999998,40.0,12.024291497975709,0.0,22.591093117408903,1.45748987854251,34.61538461538461,0.3643724696356275,0.728744939271255,1.45748987854251,0.728744939271255,0.728744939271255,0.0,2.91497975708502,2.91497975708502,7.287449392712551,1.45748987854251,0.3643724696356275,2.5506072874493926,1.0931174089068827,1.45748987854251,1.8218623481781373,2.5506072874493926,1.45748987854251,0.0,0.3643724696356275,0.0,0.0,87.96,50.0,0.0,87.5,75.0,64.52,50.0,57.14,0.098192837861074,0.0615412918411345,0.728744939271255,2.91497975708502,0.0716826060728745,1.45748987854251,4.372469635627531,4.008097165991903,0.0669708036437246,14.574898785425102,DM/CM,21,35,56,15,42,21,38,81,75,71,25,94,92,79,48,92,79,100,67,60,98,58,52,73,52,50,71,44,35,83,96,83,46,38,71,50,83,79,79,75,54,50,29,40,29,35,71,29,58,25,46,92,75,79,25,92,88,88,50,92,92,96,71,62,100,75,52,79,52,50,71,44,35,83,96,83,46,38,75,54,100,79,83,83,62,50,25,38,Swiss Super League
