Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate fwd zone pass_Total,total accurate pass_Total,total att assist_Total,total mins played,total accurate long balls_Total,total aerial won_Total,total attempt_Total,total attempts ibox_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total interception_Total,total touches in opposition box_Total,total won contest_Total,total won tackle_Total,total accurate cross_Total,total attempts obox_Total,total blocked scoring att_Total,total goals_Total,total ontarget attempt_Total,total was fouled_Total,total assists_Total,total big chances saved_Total,total direct setpiece goals_Total,total direct corner goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate fwd zone pass_p90,total accurate pass_p90,total att assist_p90,total accurate long balls_p90,total aerial won_p90,total attempt_p90,total attempts ibox_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total interception_p90,total touches in opposition box_p90,total won contest_p90,total won tackle_p90,total accurate cross_p90,total attempts obox_p90,total blocked scoring att_p90,total goals_p90,total ontarget attempt_p90,total was fouled_p90,total assists_p90,total big chances saved_p90,total direct setpiece goals_p90,total direct corner goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate fwd zone pass_TotalPR,total accurate pass_TotalPR,total att assist_TotalPR,total accurate long balls_TotalPR,total aerial won_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total interception_TotalPR,total touches in opposition box_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total accurate cross_TotalPR,total attempts obox_TotalPR,total blocked scoring att_TotalPR,total goals_TotalPR,total ontarget attempt_TotalPR,total was fouled_TotalPR,total assists_TotalPR,total big chances saved_TotalPR,total direct setpiece goals_TotalPR,total direct corner goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate fwd zone pass_p90PR,total accurate pass_p90PR,total att assist_p90PR,total accurate long balls_p90PR,total aerial won_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total interception_p90PR,total touches in opposition box_p90PR,total won contest_p90PR,total won tackle_p90PR,total accurate cross_p90PR,total attempts obox_p90PR,total blocked scoring att_p90PR,total goals_p90PR,total ontarget attempt_p90PR,total was fouled_p90PR,total assists_p90PR,total big chances saved_p90PR,total direct setpiece goals_p90PR,total direct corner goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,2uyo09o5dotyzlme4pxosx591,F. Aliti,Fidan Aliti,32,Defender,Kosovo,Defender,97.0,34.0,131.0,1.0,450.0,13.0,11.0,0.0,0.0,1.0,1.0,22.0,16.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,84.52,54.17,0.0,100.0,0.0,64.71,78.57,50.0,0.0,0.066245035610734,0.0,0.0,0.0,1.0,5.0,5.0,0.13273206,53.0,19.4,6.8,26.2,0.2,2.6,2.2,0.0,0.0,0.2,0.2,4.4,3.2,2.2,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,84.52,54.17,0.0,100.0,0.0,64.71,78.57,50.0,0.0,0.0132490071221468,0.0,0.0,0.0,0.2,1.0,1.0,0.026546412,10.6,CB,27,21,30,42,56,79,6,9,45,45,76,41,100,6,58,24,41,32,33,39,24,89,41,48,52,52,18,52,41,85,24,70,85,33,6,52,33,18,18,58,23,27,18,24,24,15,15,33,50,74,6,9,41,41,64,27,100,6,52,17,41,32,33,39,24,80,41,48,52,52,18,52,41,85,24,70,85,33,6,48,33,18,18,48,15,18,12,6,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,5wnt4q34ojngvtxturq18rvmd,Hwang Ui-Jo,Ui-Jo Hwang,34,Attacker,Korea Republic,Striker,16.0,25.0,41.0,0.0,218.0,2.0,2.0,5.0,2.0,4.0,4.0,6.0,2.0,1.0,4.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,77.36,50.0,0.0,25.0,20.0,33.33,66.67,0.0,0.4611586077159574,0.0,2.0,1.0,0.02855202,2.0,4.0,5.0,0.0630793699999999,16.0,6.605504587155964,10.321100917431194,16.926605504587158,0.0,0.8256880733944955,0.8256880733944955,2.064220183486239,0.8256880733944955,1.651376146788991,1.651376146788991,2.4770642201834865,0.8256880733944955,0.4128440366972477,1.651376146788991,0.4128440366972477,0.0,0.0,1.2385321100917432,0.8256880733944955,0.0,0.4128440366972477,1.651376146788991,0.0,0.0,0.0,0.0,77.36,50.0,0.0,25.0,20.0,33.33,66.67,0.0,0.1903865811671383,0.0,0.8256880733944955,0.4128440366972477,0.0117875311926605,0.8256880733944955,1.651376146788991,2.064220183486239,0.0260419417431192,6.605504587155964,ST,37,41,41,6,48,26,13,9,30,28,15,52,48,4,28,15,26,57,54,17,13,46,35,52,52,52,52,41,26,28,24,19,96,15,19,6,39,15,19,44,54,57,19,43,67,59,67,6,67,30,41,11,59,59,15,70,67,4,44,15,26,93,74,17,22,63,35,52,52,52,52,41,26,28,24,19,96,15,33,6,63,19,26,63,67,74,22,70,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,btdiw5i7gt94ikdrhv91dgcus,B. Gezek,Baran Gezek,21,Midfielder,Türkiye,Midfielder,42.0,39.0,81.0,0.0,329.0,3.0,5.0,0.0,0.0,1.0,1.0,13.0,7.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,84.38,33.33,0.0,100.0,0.0,52.0,83.33,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.48936170212766,10.668693009118542,22.1580547112462,0.0,0.8206686930091186,1.3677811550151977,0.0,0.0,0.2735562310030395,0.2735562310030395,3.556231003039514,1.9148936170212767,0.547112462006079,0.0,0.2735562310030395,0.547112462006079,0.0,0.0,0.0,0.0,0.0,0.547112462006079,0.0,0.0,0.0,0.0,84.38,33.33,0.0,100.0,0.0,52.0,83.33,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DM/CM,15,15,12,4,12,84,7,18,24,24,43,79,12,9,41,29,37,18,28,41,22,24,43,51,51,51,32,6,37,88,22,50,94,19,7,6,19,4,4,13,3,3,3,3,9,6,6,4,6,85,7,18,18,18,29,79,12,9,35,29,37,18,28,41,22,24,43,51,51,51,32,6,37,88,22,50,94,19,7,6,19,4,4,13,3,3,3,3,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,bv9ejevyrwdqc1j5rw4tkiy1h,F. Hadërgjonaj,Florent Hadërgjonaj,32,Defender,Kosovo,Defender,50.0,93.0,128.0,14.0,450.0,16.0,6.0,1.0,0.0,2.0,3.0,12.0,9.0,2.0,2.0,2.0,2.0,15.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,73.99,48.48,34.09,100.0,0.0,48.0,66.67,100.0,0.0492809810965786,1.6418955178909258,0.0,2.0,0.11090316,2.0,21.0,34.0,1.51824793,78.0,10.0,18.6,25.6,2.8,3.2,1.2,0.2,0.0,0.4,0.6,2.4,1.8,0.4,0.4,0.4,0.4,3.0,0.2,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,73.99,48.48,34.09,100.0,0.0,48.0,66.67,100.0,0.0098561962193157,0.3283791035781851,0.0,0.4,0.022180632,0.4,4.2,6.8,0.303649586,15.6,RB/RCB,7,87,40,100,80,60,27,17,47,57,13,43,17,23,60,10,100,77,33,43,27,30,83,47,53,53,13,47,93,93,27,27,90,93,20,100,40,23,40,50,93,93,100,60,7,80,20,100,73,47,17,17,40,57,13,33,13,23,57,7,100,67,33,43,27,20,73,47,53,53,13,47,93,93,27,27,90,93,20,100,40,20,33,50,87,93,100,40,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,c7ktjbc3jqj8kiwc8ru6sat5g,Ruan,Ruan Pereira Duarte,21,Attacker,Brazil,Striker,35.0,45.0,80.0,0.0,402.0,3.0,3.0,9.0,7.0,7.0,8.0,17.0,3.0,5.0,13.0,2.0,4.0,0.0,2.0,2.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,80.81,42.86,0.0,28.57,44.44,45.95,75.0,57.14,0.9703515810028748,0.0,3.0,5.0,0.10857373,2.0,10.0,11.0,0.2122681,44.0,7.835820895522388,10.07462686567164,17.91044776119403,0.0,0.6716417910447761,0.6716417910447761,2.014925373134328,1.5671641791044777,1.5671641791044777,1.791044776119403,3.805970149253731,0.6716417910447761,1.1194029850746268,2.9104477611940296,0.4477611940298507,0.8955223880597015,0.0,0.4477611940298507,0.4477611940298507,0.2238805970149253,0.8955223880597015,1.1194029850746268,0.0,0.0,0.0,0.0,80.81,42.86,0.0,28.57,44.44,45.95,75.0,57.14,0.2172428912693003,0.0,0.6716417910447761,1.1194029850746268,0.0243075514925373,0.4477611940298507,2.238805970149253,2.462686567164179,0.0475227089552238,9.850746268656716,LW,89,33,67,11,33,78,72,89,33,39,67,89,94,61,17,78,28,28,56,72,83,78,44,56,56,56,56,11,28,22,72,33,89,44,67,11,44,11,11,28,67,56,33,78,44,22,22,11,22,67,22,56,22,22,44,78,67,44,11,44,28,22,44,56,56,56,44,56,56,56,56,11,28,22,72,33,89,44,56,11,22,11,11,22,67,22,11,67,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,c7uxn96yuy4m7s2ibr80hgc4q,İ. Kaya,Ibrahim Kaya,25,Attacker,Türkiye,Striker,11.0,24.0,35.0,4.0,235.0,3.0,4.0,6.0,3.0,4.0,4.0,19.0,2.0,0.0,9.0,1.0,2.0,0.0,3.0,4.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,76.09,75.0,0.0,25.0,16.67,61.29,44.44,66.67,0.4080903487665842,0.3135706831338319,5.0,6.0,0.20841711,3.0,0.0,2.0,0.08411207,6.0,4.212765957446808,9.191489361702128,13.404255319148936,1.5319148936170213,1.1489361702127658,1.5319148936170213,2.297872340425532,1.1489361702127658,1.5319148936170213,1.5319148936170213,7.276595744680851,0.7659574468085106,0.0,3.4468085106382977,0.3829787234042553,0.7659574468085106,0.0,1.1489361702127658,1.5319148936170213,0.0,0.3829787234042553,4.212765957446808,0.0,0.0,0.0,0.0,76.09,75.0,0.0,25.0,16.67,61.29,44.44,66.67,0.1562899208042237,0.1200908999235952,1.9148936170212765,2.297872340425532,0.0798193187234042,1.1489361702127658,0.0,0.7659574468085106,0.0322131331914893,2.297872340425532,ST,22,33,30,52,72,37,28,19,30,28,59,52,15,20,28,70,26,57,85,17,13,96,35,52,52,52,48,83,26,28,11,100,48,61,11,56,89,74,81,65,6,22,22,4,30,52,44,74,93,44,52,26,56,52,93,63,15,52,41,81,26,81,96,17,19,100,35,52,52,52,48,83,26,28,11,100,48,61,22,63,100,85,81,85,6,30,26,11,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,eyllkbdemtx2seh48r9l3czbp,G. Makouta,Gaïus Makouta,29,Midfielder,Congo,Midfielder,68.0,84.0,152.0,5.0,438.0,8.0,10.0,4.0,2.0,6.0,6.0,23.0,5.0,3.0,4.0,2.0,4.0,0.0,2.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,86.86,50.0,0.0,33.33,25.0,62.16,83.33,66.67,0.4090749234871652,0.4773495483847595,1.0,18.0,0.4975295499999999,9.0,14.0,16.0,0.4913028999999999,82.0,13.972602739726028,17.26027397260274,31.23287671232877,1.0273972602739727,1.6438356164383563,2.054794520547945,0.8219178082191781,0.4109589041095891,1.2328767123287672,1.2328767123287672,4.726027397260275,1.0273972602739727,0.6164383561643836,0.8219178082191781,0.4109589041095891,0.8219178082191781,0.0,0.4109589041095891,0.0,0.2054794520547945,0.2054794520547945,1.0273972602739727,0.0,0.0,0.0,0.0,86.86,50.0,0.0,33.33,25.0,62.16,83.33,66.67,0.0840564911274997,0.098085523640704,0.2054794520547945,3.6986301369863015,0.1022320993150684,1.8493150684931507,2.876712328767124,3.2876712328767126,0.1009526506849314,16.84931506849315,DM/CM,41,62,57,76,40,100,72,72,90,88,87,57,32,62,66,57,37,69,28,91,60,57,43,51,51,51,53,25,37,40,49,88,94,71,76,79,53,100,100,100,50,57,76,56,24,44,35,74,32,100,53,59,82,79,74,47,18,53,65,47,37,65,28,85,50,44,43,51,51,51,53,25,37,40,49,88,94,71,71,79,41,97,100,100,32,32,62,32,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,fwnnz9wriid0xznpbpdy82s4,Nuno Lima,Nuno Miguel Reis Lima,25,Defender,Portugal,Defender,129.0,62.0,191.0,2.0,449.0,21.0,15.0,2.0,2.0,1.0,1.0,27.0,26.0,7.0,5.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,88.02,61.76,0.0,0.0,50.0,58.7,65.22,75.0,0.2057995692781244,0.0433163640651391,0.0,2.0,0.03301341,0.0,13.0,11.0,0.2455443899999999,99.0,25.857461024498885,12.42761692650334,38.28507795100223,0.4008908685968819,4.20935412026726,3.0066815144766146,0.4008908685968819,0.4008908685968819,0.2004454342984409,0.2004454342984409,5.412026726057906,5.211581291759465,1.4031180400890868,1.0022271714922049,0.0,1.2026726057906458,0.0,0.0,0.0,0.2004454342984409,0.2004454342984409,1.0022271714922049,0.0,0.0,0.0,0.0,88.02,61.76,0.0,0.0,50.0,58.7,65.22,75.0,0.0412515840423857,0.0086825674072661,0.0,0.4008908685968819,0.0066173873051224,0.0,2.6057906458797326,2.2048997772828507,0.0492182518930957,19.844097995545656,RB/RCB,93,47,87,33,90,100,60,67,27,20,87,93,87,57,13,77,20,33,33,93,73,70,37,47,53,53,67,93,20,13,83,73,80,60,60,27,40,23,20,20,57,40,27,93,87,27,73,27,93,100,50,57,27,20,80,87,87,47,13,67,20,33,33,90,57,60,37,47,53,53,67,93,20,13,83,73,80,60,60,27,40,27,20,20,40,20,13,80,Süper Lig
Alanyaspor,84fpe0iynjdghwysyo5tizdkk,ray2bklw80bcyydzk7wmgutw,A. Usluoğlu,Arda Usluoglu,19,Attacker,Türkiye,Striker,14.0,15.0,29.0,1.0,267.0,1.0,6.0,5.0,4.0,4.0,4.0,17.0,1.0,0.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,65.91,100.0,0.0,25.0,40.0,38.64,40.0,50.0,0.8546304539677128,0.0885576440067671,1.0,0.0,0.0,0.0,4.0,3.0,0.10383939,8.0,4.719101123595506,5.056179775280898,9.775280898876405,0.3370786516853932,0.3370786516853932,2.02247191011236,1.6853932584269662,1.348314606741573,1.348314606741573,1.348314606741573,5.730337078651685,0.3370786516853932,0.0,2.02247191011236,0.3370786516853932,0.3370786516853932,0.0,0.3370786516853932,0.3370786516853932,0.3370786516853932,0.6741573033707865,2.696629213483146,0.0,0.0,0.0,0.0,65.91,100.0,0.0,25.0,40.0,38.64,40.0,50.0,0.2880776811127121,0.0298508912382361,0.3370786516853932,0.0,0.0,0.0,1.348314606741573,1.0112359550561798,0.0350020415730337,2.696629213483146,ST,30,7,19,11,19,44,13,30,30,28,44,26,15,7,28,44,26,20,30,43,37,74,35,52,52,52,19,98,26,28,69,30,28,41,48,15,17,6,6,9,54,35,30,13,41,11,26,11,24,63,13,44,43,43,70,37,15,7,33,59,26,19,35,46,48,96,35,52,52,52,19,98,26,28,69,30,28,41,59,22,19,6,6,9,59,37,30,22,Süper Lig
Amed,2154uhyeun0lm781iiiijqhwo,19htxtc8lmbfsv83py7hzqb8q,Y. Sor,Yira Sor,26,Attacker,Nigeria,Striker,18.0,47.0,65.0,2.0,217.0,1.0,0.0,5.0,4.0,6.0,7.0,9.0,0.0,4.0,14.0,4.0,3.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,86.67,50.0,0.0,66.67,60.0,52.94,0.0,100.0,0.3719120599227687,0.1689594064966278,2.0,7.0,0.19278699,4.0,3.0,1.0,0.12681127,18.0,7.465437788018433,19.493087557603687,26.95852534562212,0.8294930875576038,0.4147465437788019,0.0,2.0737327188940093,1.6589861751152075,2.4884792626728114,2.903225806451613,3.7327188940092166,0.0,1.6589861751152075,5.806451612903226,1.6589861751152075,1.2442396313364057,0.0,0.4147465437788019,0.4147465437788019,0.4147465437788019,1.2442396313364057,0.8294930875576038,0.0,0.0,0.0,0.0,86.67,50.0,0.0,66.67,60.0,52.94,0.0,100.0,0.1542492414426229,0.070075329883394,0.8294930875576038,2.903225806451613,0.0799577377880184,1.6589861751152075,1.2442396313364057,0.4147465437788019,0.0525945359447004,7.465437788018433,LW,22,44,44,33,11,22,28,39,22,22,11,28,72,78,56,50,28,11,22,72,50,28,44,56,56,56,78,28,28,89,100,89,28,83,22,33,17,22,22,44,22,11,11,22,22,89,67,33,11,22,33,67,33,33,33,28,100,78,56,78,28,11,22,78,89,33,44,56,56,56,78,28,28,89,100,89,28,83,22,33,33,33,33,56,22,11,22,33,Süper Lig
